,company_name,company_location,company_country
954,J.C.B. SERVICE,LAKESIDE WORKS ROCESTER,UNITED KINGDOM
955,TENABLE NETWORK SECURITY NETHERLANDS B.V.,VIA LUDOVISI 16,ITALY
956,ALIBABA.COM US LLC,525 ALMANOR AVE STE 400,UNITED STATES
957,JCB FINANCE LTD,"The Mill High Street, Rocester",UNITED KINGDOM
958,ABET SPA,VIALE INDUSTRIA 19,ITALY
959,"KAPLAN, INC.",750 3RD AVE FL 8,UNITED STATES
960,SHELL U.K. LIMITED,SHELL CENTRE,UNITED KINGDOM
961,TOWER SPA,VIA DELL'OREFICERIA 32,ITALY
962,FR. MEYER'S SOHN NORTH AMERICA LLC,5 COMMERCE DR,UNITED STATES
963,LIGHTSOURCE SIMBA LIMITED,7th Floor 33 Holborn,UNITED KINGDOM
964,PFCH LUXE ITALIA SRL,VIA CERESIO 7,ITALY
965,"ROCKET SCIENCE GROUP LLC, THE",675 PONCE DE LEON AVE NE STE 5000,UNITED STATES
966,LEGALZOOM INTERNATIONAL HOLDINGS LTD,20 St. Thomas Street,UNITED KINGDOM
967,COMPAGNIA AEREA ITALIANA SPA,VIALE LIEGI 41,ITALY
968,CURVATURE TECHNOLOGIES LLC,2810 COLISEUM CENTRE DR,UNITED STATES
969,LIVERPOOL FOOTBALL CLUB LIMITED,Anfield Road,UNITED KINGDOM
970,ALITALIA SOCIETA' AEREA ITALIANA SPA,PIAZZA ALMERICO DA SCHIO 3,ITALY
971,ALTERA CORPORATION,101 INNOVATION DR,UNITED STATES
972,RUBIX U.K. LIMITED,DAKOTA HOUSE CONCORD BUSINESS PARK,UNITED KINGDOM
973,RIGONI DI ASIAGO SRL,VIA GUGLIELMO OBERDAN 28,ITALY
974,HAVI GLOBAL SOLUTIONS LLC,3500 LACEY RD STE 600,UNITED STATES
975,RUBIX INTERNATIONAL LIMITED,Accurist House 44 Baker Street,UNITED KINGDOM
976,RIGONI SRL,VIA BRENNERO 15,ITALY
977,"HAVI GROUP LIMITED PARTNERSHIP, THE",3500 LACEY RD STE 600,UNITED STATES
978,RUBIX GROUP INTERNATIONAL LIMITED,Accurist House 44 Baker Street,UNITED KINGDOM
979,TOI TOI ITALIA SRL,VIA CASCINA NUOVA 1,ITALY
980,HAVI EUROPE HOLDING LLC,3500 LACEY RD,UNITED STATES
981,VIRTUS (DATA CENTRES) LTD,4TH FLOOR 20 BALDERTON STREET,UNITED KINGDOM
982,OPIS SRL,VIA GIACOMO MATTEOTTI 10,ITALY
983,SONDER HOLDINGS INC.,101 15TH ST,UNITED STATES
984,LOMBARD ODIER ASSET MANAGEMENT (EUROPE) LIMITED,Queensberry House 3 Old Burlington Street,UNITED KINGDOM
985,CF ASSICURAZIONI SPA COMPAGNIA DI ASSICURAZIONE PER IL CREDITO E LA FAMIGLIA,VIA PAOLO DI DONO 73,ITALY
986,"AMERICAN TIRE DISTRIBUTORS HOLDINGS, INC.",12200 HERBERT WAYNE CRT 150,UNITED STATES
987,QUILTER INTERNATIONAL HOLDINGS LIMITED,King Edward Bay House King Edward Road Onchan,UNITED KINGDOM
988,TOMATIS LAMIERE SRL,VIA MATTEO CAMPIA 46,ITALY
989,SHOPPERTRAK RCT CORPORATION,433 W VAN BUREN ST,UNITED STATES
990,INEOS LIMITED,"FIRST NAMES HOUSE VICTORIA ROAD, DOUGLAS",UNITED KINGDOM
991,SOCIETA' ITALIANA COLORANTI NATURALI AFFINI SRL,VICOLO MADONNA 9,ITALY
992,NC INTERACTIVE LLC,3180 139TH AVE SE STE 500,UNITED STATES
993,GF FINANCIAL MARKETS (UK) LIMITED,Milbank House 1 Finsbury Square,UNITED KINGDOM
994,INTESA SANPAOLO SPA,VIA MONTE DI PIETA' 8,ITALY
995,NORFOLK SOUTHERN CORPORATION,650 W PEACHTREE ST NW,UNITED STATES
996,"SUMITOMO MITSUI TRUST BANK, LIMITED",155 Bishopsgate,UNITED KINGDOM
997,INDUSTRIES SPA,VIA VENEZIA 1,ITALY
998,"BNY MELLON, NATIONAL ASSOCIATION",48 WALL ST,UNITED STATES
999,MITSUI & CO. EUROPE PLC,9Th Floor 1 St. Martin's Le Grand,UNITED KINGDOM
1000,MULTIMARINE SERVICES SRL IN FORMA ABBREVIATO MMS SRL,CORSO CONCORDIA 11,ITALY
1001,"SAILPOINT TECHNOLOGIES, INC.",11120 FOUR PTS DR STE 100,UNITED STATES
1002,"MITSUI O.S.K. LINES, LIMITED",3 Thomas More Square,UNITED KINGDOM
1003,VALEO SERVICE ITALIA SPA,VIA ASTI 89,ITALY
1004,"SAILPOINT TECHNOLOGIES HOLDINGS, INC.",11120 FOUR POINTS DR STE 100,UNITED STATES
1005,MITSUI & COMPANY LIMITED,8Th And 9Th Floors 1 St. Martin's Le Grand,UNITED KINGDOM
1006,FINLAV SPA,VIA BOLOGNA 32,ITALY
1007,"SAILPOINT TECHNOLOGIES INTERMEDIATE HOLDINGS, LLC",11120 FOUR POINTS DR # 10,UNITED STATES
1008,MITSUI BUSSAN COMMODITIES LTD,6Th Floor 1 St. Martin's Le Grand,UNITED KINGDOM
1009,GEWISS SPA,VIA ALESSANDRO VOLTA 1,ITALY
1010,ELLWOOD QUALITY STEELS COMPANY,700 MORAVIA ST STE 7,UNITED STATES
1011,JONES LANG LASALLE LIMITED,22 College Approach,UNITED KINGDOM
1012,AGRICOLA PIANO VERDE SRL SOCIETA' AGRICOLA,VIA SAN PIO X 111,ITALY
1013,LE LABO HOLDING LLC,120 N 6TH ST,UNITED STATES
1014,JONES LANG LASALLE EUROPE LIMITED,30 Warwick Street,UNITED KINGDOM
1015,ITALIA TRASPORTO AEREO SPA,VIA XX SETTEMBRE 97,ITALY
1016,ALFA INSURANCE CORPORATION,2108 E S BLVD,UNITED STATES
1017,JONES LANG LASALLE SERVICES LIMITED,30 Warwick Street,UNITED KINGDOM
1018,RICHEMONT ITALIA SPA,VIA BENIGNO CRESPI 26,ITALY
1019,"HERSHEY COMPANY, THE",19 E CHOCOLATE AVE,UNITED STATES
1020,THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2 Savoy Place,UNITED KINGDOM
1021,PATEK PHILIPPE ITALIA SRL,CORSO VENEZIA 16,ITALY
1022,IBM WORLD TRADE CORPORATION,1 NEW ORCHARD RD,UNITED STATES
1023,VOLANTE GLOBAL LIMITED,30 St. Mary Axe,UNITED KINGDOM
1024,VIASAT GROUP SPA,VIA AOSTA 23,ITALY
1025,"SALZGITTER MANNESMANN STAINLESS TUBES USA, INC.",12050 W LITTLE YORK RD,UNITED STATES
1026,AB AGRI LIMITED,64 Innovation Way Lynch Wood Lynch Wood,UNITED KINGDOM
1027,ONCLUSIVE MEDIA SRL,VIA ALBERTO DOMINUTTI 20,ITALY
1028,"LIONSGATE PRODUCTIONS, INC.",2700 COLORADO AVE,UNITED STATES
1029,NATWEST MARKETS N.V.,280 Bishopsgate,UNITED KINGDOM
1030,DYNACAST ITALIA TORINO SPA,LOCALITA' VAUDA DI GROSSO 24/BIS,ITALY
1031,"STARZPLAY US, LLC",2700 COLORADO AVE,UNITED STATES
1032,RB UK COMMERCIAL LIMITED,103-105 Bath Road,UNITED KINGDOM
1033,VOSSLOH-SCHWABE ITALIA SPA,VIA SAN MARTINO 15,ITALY
1034,"REMOTE TECHNOLOGY, INC.",18 BARTOL ST STE 1128,UNITED STATES
1035,ABELLIO EAST ANGLIA LIMITED,"2nd Floor St Andrews House, 18-20 St. Andrew Street",UNITED KINGDOM
1036,TRE ALTAMIRA SRL,RIPA DI PORTA TICINESE 79,ITALY
1037,"WELOCALIZE, INC.",15 W 37TH ST FL 4,UNITED STATES
1038,ABELLIO EAST MIDLANDS LIMITED,2nd Floor St Andrew's House 18-20 St Andrew Street,UNITED KINGDOM
1039,DELUXE ETS ITALY SRL,VIA DEI CAIROLI 9,ITALY
1040,"VEOLIA WATER NORTH AMERICA OPERATING SERVICES, LLC",53 STATE ST STE 14,UNITED STATES
1041,DB CARGO (UK) HOLDINGS LIMITED,310 Goswell Road,UNITED KINGDOM
1042,GRENKE LOCAZIONE SRL,VIA GAETANO DE CASTILLIA 23,ITALY
1043,"VEOLIA NORTH AMERICA, LLC",53 STATE ST STE 14,UNITED STATES
1044,AZELIS UK LIMITED,"AXIS HOUSE TUDOR ROAD, MANOR PARK",UNITED KINGDOM
1045,AMAZON ITALIA SERVICES SRL,VIALE MONTE GRAPPA 3/5,ITALY
1046,"VEOLIA NORTH AMERICA, INC.",53 STATE ST 14TH FL,UNITED STATES
1047,DOLFIN FINANCIAL (UK) LTD,C/O Evelyn Partners LLP 45 Gresham Street,UNITED KINGDOM
1048,AMAZON ITALIA LOGISTICA SRL,VIALE MONTE GRAPPA 3/5,ITALY
1049,"ANAPLAN, INC.",50 HAWTHORNE ST,UNITED STATES
1050,INEOS ACETYLS UK LIMITED,Hawkslease Chapel Lane,UNITED KINGDOM
1051,AMAZON ITALIA CUSTOMER SERVICES SRL,VIALE MONTE GRAPPA 3/5,ITALY
1052,"BUSINESS WIRE, INC.",101 CALIFORNIA ST FL 20,UNITED STATES
1053,ABN AMRO CLEARING LONDON LIMITED,5 Aldermanbury Square,UNITED KINGDOM
1054,AMAZON EU S.A RL,VIALE MONTE GRAPPA 3/5,ITALY
1055,BRUNSWICK GROUP LLP,1114 AVENUE OF THE AMERICAS,UNITED STATES
1056,SHELL INTERNATIONAL PETROLEUM COMPANY LIMITED,Shell Centre York Road,UNITED KINGDOM
1057,AMAZON ITALIA TRANSPORT SRL,VIALE MONTE GRAPPA 3/5,ITALY
1058,PORTMAN RIDGE FINANCE CORPORATION,650 MADISON AVE FL 23,UNITED STATES
1059,CROWN PACKAGING MANUFACTURING UK LIMITED,Borland Avenue,UNITED KINGDOM
1060,AMAZON ONLINE ITALY SRL,VIALE MONTE GRAPPA 3/5,ITALY
1061,ARCHETYPE AGENCY LLC,666 3RD AVE FL 7,UNITED STATES
1062,CROWN HOLDINGS LIMITED,The Maltings Norton Heath,UNITED KINGDOM
1063,LIBERTY SPECIALTY MARKETS EUROPE SARL FILIALE ITALIANA,VIA FABIO FILZI 29,ITALY
1064,PIXAR,1200 PK AVE,UNITED STATES
1065,ECOATM INTERNATIONAL LIMITED,5A Frascati Way,UNITED KINGDOM
1066,DIRECT CHANNEL SPA,VIA ARNOLDO MONDADORI 1,ITALY
1067,ZIP CO US INC.,228 PARK AVE S,UNITED STATES
1068,A-PLAN HOLDINGS,2 Des Roches Square,UNITED KINGDOM
1069,WIND TRE SPA,LARGO METROPOLITANA 5,ITALY
1070,LUCASFILM LTD. LLC,1110 GORGAS AVE BLDG C HR,UNITED STATES
1071,TESCO PLC,TESCO HOUSE SHIRE PARK KESTREL WAY,UNITED KINGDOM
1072,ESPRINET SPA,VIA ENERGY PARK 20,ITALY
1073,LUCASFILM ENTERTAINMENT COMPANY LTD. LLC,1110 GORGAS AVE,UNITED STATES
1074,BOOHOO.COM UK LIMITED,49-51 Dale Street,UNITED KINGDOM
1075,DUPESSEY ITALIA SRL,VIA MOLINO DELLA SPLUA 2,ITALY
1076,UNIFORM COLOR COMPANY,942 BROOKS AVE,UNITED STATES
1077,BOOHOO GROUP PLC,49-51 Dale Street,UNITED KINGDOM
1078,LNS ITALIA SRL,VIA MONSIGNORE ROBERTO COLOMBO 34,ITALY
1079,"TWITCH INTERACTIVE, INC.",350 BUSH ST 2ND FL,UNITED STATES
1080,URENCO LIMITED,Sefton Park Bells Hill Stoke Poges,UNITED KINGDOM
1081,ARUBA SPA,LOCALITA' PALAZZETTO 4,ITALY
1082,"INFOR, INC.",641 AVENUE OF THE AMERICAS,UNITED STATES
1083,LNRS DATA SERVICES LIMITED,Quadrant House The Quadrant,UNITED KINGDOM
1084,GESTIONI SPA,VIA ROMA 110,ITALY
1085,PHILIP MORRIS INTERNATIONAL INC.,120 PARK AVE,UNITED STATES
1086,ASCENT FLIGHT TRAINING (HOLDINGS) LIMITED,33 WIGMORE STREET,UNITED KINGDOM
1087,A.A. MODELLERIA SRL,VIA ROMA 142,ITALY
1088,"APTIV SERVICES US, LLC",5725 INNOVATION DR,UNITED STATES
1089,CHR ESTATES LIMITED,1 Montpellier Gardens,UNITED KINGDOM
1090,FLOS SPA,VIA ANGELO FAINI 2,ITALY
1091,WALT DISNEY MUSIC COMPANY,500 S BUENA VISTA,UNITED STATES
1092,SHIMADZU UK LIMITED,"Unit 1a Mill Court Featherstone Road, Wolverton Mill",UNITED KINGDOM
1093,FLOS ROMA SRL,VIA DEL BABUINO 84,ITALY
1094,"WALT DISNEY IMAGINEERING RESEARCH & DEVELOPMENT, INC.",1401 FLOWER ST,UNITED STATES
1095,DFDS LOGISTICS LIMITED,"Norfolk House South Osborne Way, Immingham Dock",UNITED KINGDOM
1096,ESSECO GROUP SRL,VIA SAN CASSIANO 99,ITALY
1097,"MAJOR LEAGUE BASEBALL PROPERTIES, INC.",1271 AVE OF THE AMERICAS,UNITED STATES
1098,DFDS LOGISTICS CONTRACTS LIMITED,Nordic House Felixstowe Road,UNITED KINGDOM
1099,ESSECO SRL,VIA SAN CASSIANO 99,ITALY
1100,"MLB ADVANCED MEDIA, L.P.",1271 AVE OF THE AMERICAS,UNITED STATES
1101,DFDS PENSION LIMITED,Norfolk House South Osborne Way,UNITED KINGDOM
1102,ELBA ITALY SPA,VIA MATTEO FABBIAN 7,ITALY
1103,"DISNEY/ABC INTERNATIONAL TELEVISION, INC.",111 EIGHTH AVE,UNITED STATES
1104,DFDS FRESH LOGISTICS LIMITED,"Hsf Logistics LTD UK Dfds Killingholme Airfield, North Killingholme",UNITED KINGDOM
1105,SUPPLY@ME SRL,VIA GIOSUE' CARDUCCI 36,ITALY
1106,"WALL STREET SYSTEMS DELAWARE, INC.",1345 AVEN OF THE AMERICAS 49TH FL,UNITED STATES
1107,COLT TECHNOLOGY SERVICES,Colt House 20 Great Eastern Street,UNITED KINGDOM
1108,HOWDEN ITALIA SPA,VIA DELLA POSTA 7,ITALY
1109,"MACY'S, INC.",151 W 34TH ST,UNITED STATES
1110,COLT TECHNOLOGY SERVICES EUROPE LIMITED,Colt House 20 Great Eastern Street,UNITED KINGDOM
1111,BARILLA HOLDING SRL,VIA MANTOVA 166,ITALY
1112,UNIVISION COMMUNICATIONS INC.,114 5TH AVE,UNITED STATES
1113,COLT DATA CENTRE SERVICES UK LIMITED,Colt House 20 Great Eastern Street,UNITED KINGDOM
1114,BARILLA G. E R. FRATELLI SPA,VIA MANTOVA 166,ITALY
1115,"SIRIUS INTERNATIONAL HOLDING COMPANY, INC.",140 BROADWAY 32ND FL,UNITED STATES
1116,PRINCIPAL REAL ESTATE EUROPE LIMITED,65 GROSVENOR ST,UNITED KINGDOM
1117,FIRST SPA,VIA MANTOVA 166,ITALY
1118,SIRIUS XM HOLDINGS INC.,1221 AVENUE OF THE AMERICAS FL 35,UNITED STATES
1119,ZODIA CUSTODY LIMITED,Thomas House 84 Eccleston Square,UNITED KINGDOM
1120,INTEGRA DOCUMENT MANAGEMENT SRL,STRADA PROVINCIALE 11 PADANA SUPERIORE 2/B,ITALY
1121,SCHOLASTIC CORPORATION,557 BROADWAY,UNITED STATES
1122,CML F & L [TELFORD] LTD,Unit 2 Brockton Business Park Halesfield 10,UNITED KINGDOM
1123,ELETTROSYSTEM SRL,"STRADA PROVINCIALE ASTI-CASORZO 38, KM.5 SNC",ITALY
1124,"TRUMP ORGANIZATION, INC., THE",725 5TH AVE FL 16,UNITED STATES
1125,ZIGZAG GLOBAL LTD,14th Floor 33 Cavendish Square,UNITED KINGDOM
1126,ARISTON HOLDING N.V.,VIA BROLETTO 44,ITALY
1127,"TRUMP CORPORATION, THE",725 FIFTH AVE,UNITED STATES
1128,XODUS GROUP LIMITED,Xodus House 50 Huntly Street,UNITED KINGDOM
1129,CEMENTIR HOLDING N.V.,CORSO DI FRANCIA 200,ITALY
1130,TRUMP INTERNATIONAL MANAGEMENT CORP.,ONE CENTRAL PARK W,UNITED STATES
1131,DIGNITY FUNERALS LIMITED,4-10 King Edwards Court King Edwards Square,UNITED KINGDOM
1132,ITALCER SPA,VIA EMILIA OVEST 53/A,ITALY
1133,VIACOM INTERNATIONAL INC.,1515 BROADWAY,UNITED STATES
1134,SMITH & NEPHEW UK LIMITED,"BUILDING 5, CROXLEY PARK HATTERS LANE",UNITED KINGDOM
1135,POMELLATO SPA,VIA ANNA NEERA 37,ITALY
1136,ENTERCOM MEDIA CORP.,345 HUDSON ST,UNITED STATES
1137,DS SMITH PAPER LIMITED,Kemsley Mill Kemsley,UNITED KINGDOM
1138,POMELLATO EUROPA SPA,VIA ANNA NEERA 37,ITALY
1139,NBC NEWS WORLDWIDE LLC,30 ROCKEFELLER PLZ,UNITED STATES
1140,DS SMITH LOGISTICS LIMITED,350 EUSTON ROAD,UNITED KINGDOM
1141,GENERAL ELECTRIC INTERNATIONAL INC.,VIA CLAUDIO GALENO 36,ITALY
1142,FLIGHTSAFETY INTERNATIONAL INC.,290 BROADHOLLOW RD STE 402 E,UNITED STATES
1143,DS SMITH PACKAGING LIMITED,350 Euston Road,UNITED KINGDOM
1144,TREVES ITALIA SRL,VIA CAVALIER PIETRO RADICI 19,ITALY
1145,DISNEY INCORPORATED,500 S BUENA VISTA ST,UNITED STATES
1146,DS SMITH RECYCLING UK LIMITED,Ty Gwrydd 11 Beddau Way,UNITED KINGDOM
1147,COVA MONTENAPOLEONE SRL,VIA MONTE NAPOLEONE 8,ITALY
1148,TUCSON ELECTRIC POWER COMPANY,88 E BROADWAY BLVD,UNITED STATES
1149,HILL & SMITH HOLDINGS PLC,"Westhaven House Arleston Way, Shirley",UNITED KINGDOM
1150,PASTICCERIA CONFETTERIA COVA SRL,VIA PIETRO COSSA 2,ITALY
1151,"TAKEDA DEVELOPMENT CENTER AMERICAS, INC.",10410 SCIENCE CTR DR,UNITED STATES
1152,SMITHS GROUP PLC,4th Floor 11 - 12 St. James's Square,UNITED KINGDOM
1153,SALDI PRIVATI SRL,VIA VINCENZO FORCELLA 3,ITALY
1154,GEISINGER MEDICAL CENTER,100 N ACADEMY AVE,UNITED STATES
1155,BIORELIANCE BIOTECH LIMITED,"Building 5 Todd Campus, West Of Scotland Science Pk",UNITED KINGDOM
1156,GIANNI VERSACE SRL,PIAZZA LUIGI EINAUDI 4,ITALY
1157,GEISINGER HEALTH,100 N ACADEMY AVE,UNITED STATES
1158,DURA-ID SOLUTIONS LIMITED,Boscawen House St Stephen,UNITED KINGDOM
1159,MICROBIAL CONTROL ITALY SRL,VIA SAN BOVIO 1/3,ITALY
1160,"OSI GROUP, LLC",1225 CORPORATE BLVD STE 300,UNITED STATES
1161,"DURA AUTOMOTIVE HOLDINGS U.K., LTD",Castle Bromwich Business Park Tameside Drive,UNITED KINGDOM
1162,ITALIA T1 RONCOLO SRL,PIAZZA WALTHER VON DER VOGELWEIDE 8,ITALY
1163,BARCLAYS FINANCIAL CORPORATION,125 S W ST,UNITED STATES
1164,TOTAL MARKETING SUPPORT GLOBAL LIMITED,350 EUSTON ROAD,UNITED KINGDOM
1165,AUTODIS ITALIA SRL,VIA ISACCO NEWTON 12,ITALY
1166,"NEW ENGLAND ASSET MANAGEMENT, INC.",74 BATTERSON PARK RD,UNITED STATES
1167,TOTAL MARKETING SUPPORT LIMITED,7th Floor 350 Euston Road,UNITED KINGDOM
1168,LUXOTTICA GROUP SPA,PIAZZALE LUIGI CADORNA 3,ITALY
1169,AMWAY INTERNATIONAL INC.,7575 FULTON ST E,UNITED STATES
1170,BE II INVESTMENTS (GP) LIMITED,95 WIGMORE STREET,UNITED KINGDOM
1171,BULGARI SPA,VIA MONTE NAPOLEONE 27,ITALY
1172,ALTICOR INC.,7575 FULTON ST E,UNITED STATES
1173,BRIDGEPOINT ADVISERS EUROPE LIMITED,5 Marble Arch,UNITED KINGDOM
1174,BULGARI ROMA SRL,LUNGOTEVERE MARZIO 11,ITALY
1175,AMWAY CORP.,7575 FULTON ST E,UNITED STATES
1176,CNH INDUSTRIAL OLDCO CAPITAL LIMITED,32/521 Cranes Farm Road,UNITED KINGDOM
1177,MASCHIO GASPARDO SPA,VIA MARCELLO 73,ITALY
1178,"AMWAY INTERNATIONAL DEVELOPMENT, INC.",7575 FULTON ST E,UNITED STATES
1179,CNH U.K. LIMITED,Cranes Farm Road,UNITED KINGDOM
1180,UNIVERSITA' DEGLI STUDI DI FOGGIA,VIA ANTONIO GRAMSCI 89/91,ITALY
1181,"FIRECOM, INC.",39-27 59TH ST,UNITED STATES
1182,IC FINANCIAL SERVICES UK LIMITED,Cranes Farm Road,UNITED KINGDOM
1183,DATA FLOW SRL,VIA LUIGI NATALE VERNAZZI 26/A,ITALY
1184,CHUBB GROUP OF INSURANCE COMPANIES,202 HALLS MILL RD,UNITED STATES
1185,CNH INDUSTRIAL N.V.,25 St. James's Street,UNITED KINGDOM
1186,MADIC ITALIA SPA,VIA ALESSANDRO VOLTA 39,ITALY
1187,SHI INTERNATIONAL CORP.,290 DAVIDSON AVE,UNITED STATES
1188,NATIXIS,Cannon Bridge House 25 Dowgate Hill,UNITED KINGDOM
1189,PIRELLI & C. SPA,VIALE PIERO E ALBERTO PIRELLI 25,ITALY
1190,3M COMPANY,3M CENTER,UNITED STATES
1191,NATIXIS INVESTMENT MANAGERS UK LIMITED,1 Carter Lane,UNITED KINGDOM
1192,SKF INDUSTRIE SPA,VIA PINEROLO 44,ITALY
1193,3M INNOVATIVE PROPERTIES COMPANY,3M CENTER BLDG 225 3S 06,UNITED STATES
1194,PRAMEX INTERNATIONAL LTD,11 Old Jewry 8Th Floor South,UNITED KINGDOM
1195,SKF SEALS ITALY SPA,STRADA PER POIRINO 41,ITALY
1196,"3M INTERAMERICA, INC.",2501 OLD HUDSON RD,UNITED STATES
1197,DHL INTERNATIONAL (UK) LIMITED,"Unit 1 Southern Hub, Horton Road, Colnbrook",UNITED KINGDOM
1198,U.C.I.T. SRL,VIALE GIUSEPPE DUODO 5,ITALY
1199,"AMETEK, INC.",1100 CASSATT RD,UNITED STATES
1200,DHL SUPPLY CHAIN LIMITED,251 MIDSUMMER BOULEVARD,UNITED KINGDOM
1201,WOOD ITALIANA SRL,VIA SEBASTIANO CABOTO 15,ITALY
1202,"NEATO ROBOTICS, INC.",50 RIO ROBLES,UNITED STATES
1203,GOOGLE UK LIMITED,Belgrave House 76 Buckingham Palace Road,UNITED KINGDOM
1204,GEODIS HOLDING ITALIA SPA,PIAZZALE GIORGIO AMBROSOLI SNC,ITALY
1205,INTER-CONTINENTAL HOTELS CORPORATION,35016 AVE D,UNITED STATES
1206,ACCOR (U.K.) LIMITED,10 Hammersmith Grove,UNITED KINGDOM
1207,KAYSER FILTERTECH ITALY SRL,STRADA COMMENDA 4/B,ITALY
1208,TIMKEN GEARS & SERVICES INC.,935 1ST AVE STE 200,UNITED STATES
1209,ACCOR UK BUSINESS & LEISURE HOTELS LIMITED,10 Hammersmith Grove,UNITED KINGDOM
1210,ABOVE COMPARISON SRL,VIA FELICE CASATI 1 A,ITALY
1211,"GETTY IMAGES, INC.",605 5TH AVE S STE 400,UNITED STATES
1212,ACCOR UK ECONOMY HOTELS LIMITED,10 Hammersmith Grove,UNITED KINGDOM
1213,MAGNAKI SRL,VIA AURELIO SAFFI 21,ITALY
1214,"GETTY IMAGES (SEATTLE), INC.",605 5TH AVE S STE 400,UNITED STATES
1215,GB3 LIMITED,The Root House Clifton Fields Lytham Road,UNITED KINGDOM
1216,MAGNAKI HOLDING SRL,VIA AURELIO SAFFI 21,ITALY
1217,ARCH SPECIALTY INSURANCE COMPANY,300 PLAZA THREE 3RD FL,UNITED STATES
1218,SSE Insurance Limited,"Tower Ho Loch Promenade, Douglas",UNITED KINGDOM
1219,GL EVENTS ITALIA EXPO SRL,VIA NIZZA 294,ITALY
1220,NEW YORK LIFE INSURANCE COMPANY,51 MADISON AVE,UNITED STATES
1221,LUCECO PLC,Caparo House 101-103 Baker Street,UNITED KINGDOM
1222,GL EVENTS ITALIA SPA,VIA NIZZA 294,ITALY
1223,CIVIL & BUILDING NORTH AMERICA INC.,2 S BISCAYNE BLVD STE 2000,UNITED STATES
1224,LUCECO LIGHTING LIMITED,BUILDING E.  STAFFORD PARK 1 STAFFORD PARK,UNITED KINGDOM
1225,FALCONERI SRL,VIA DEL LAVORO 18,ITALY
1226,PALACE INDUSTRIES PUBLIC BENEFIT CORPORATION,311 N FRONT ST,UNITED STATES
1227,BRE GLOBAL LIMITED,Bucknalls Lane,UNITED KINGDOM
1228,DUCATI MOTOR HOLDING SPA,VIA ANTONIO CAVALIERI DUCATI 3,ITALY
1229,"FRESH MARKET, INC., THE",300 N GREENE ST STE 1100,UNITED STATES
1230,ALLIANCE PHARMA PLC,Avonbridge House Bath Road,UNITED KINGDOM
1231,ALBERGHI GOLD SRL,VIA FRANCESCO CARACCIOLO 14,ITALY
1232,"BROWN & BROWN OF FLORIDA, INC.",655 N FRANKLIN ST STE 1900,UNITED STATES
1233,CORPORATE TRAVEL MANAGEMENT (UNITED KINGDOM) LIMITED,One Carter Lane,UNITED KINGDOM
1234,SDF SPA,VIALE FRANCESCO CASSANI 14,ITALY
1235,"DATASTAX, INC.",2755 AUGUSTINE DR,UNITED STATES
1236,KEYLINE TRAVEL MANAGEMENT LIMITED,Wellington House 39A Piccadilly,UNITED KINGDOM
1237,SAME DEUTZ FAHR ITALIA SPA,VIALE FRANCESCO CASSANI 15,ITALY
1238,"SHIPT, INC.",420 20TH ST N STE 100,UNITED STATES
1239,CORPORATE TRAVEL MANAGEMENT (EUROPE) LIMITED,Senator House 85 Queen Victoria Street,UNITED KINGDOM
1240,CD 24121 SRL,VIA UMBERTO BARBARO 24,ITALY
1241,"AUTONATION, INC.",200 SW 1ST AVE STE 1600,UNITED STATES
1242,EGENCIA UK LTD,3 Piccadilly Place,UNITED KINGDOM
1243,C&D SPA,VIA CASAMASSIMA ZONA INDUSTRIALE 3,ITALY
1244,"DYNETICS, INC.",1002 EXPLORER BLVD,UNITED STATES
1245,DE AGOSTINI UK LIMITED,C/O Rwk Goodman LLP 69 Carter Lane,UNITED KINGDOM
1246,METSA BOARD ITALIA SRL,PIAZZA DON ENRICO MAPELLI 1,ITALY
1247,"FRANKLIN TEMPLETON COMPANIES, LLC",ONE FRANKLIN PKWY BLD 970 1ST FL,UNITED STATES
1248,COMPUTERSHARE INVESTOR SERVICES PLC,THE PAVILIONS BRIDGEWATER ROAD,UNITED KINGDOM
1249,METSO SPA,VIA VITTOR PISANI 20,ITALY
1250,"PENNSY SUPPLY, INC.",1001 PAXTON ST,UNITED STATES
1251,COMPUTERSHARE LIMITED,The Pavilions Bridgwater Road,UNITED KINGDOM
1252,FAMECCANICA.DATA SPA,VIA ATERNO 136,ITALY
1253,"KOCH FERTILIZER, LLC",4111 E 37TH ST N,UNITED STATES
1254,COMPUTERSHARE VOUCHER SERVICES LIMITED,The Pavilions Bridgwater Road,UNITED KINGDOM
1255,GIVE BACK BEAUTY SRL,CORSO ITALIA 13,ITALY
1256,MICROFLEX CORPORATION,2301 ROBB DR,UNITED STATES
1257,COMPUTERSHARE MORTGAGE SERVICES LIMITED,The Pavilions Bridgwater Road,UNITED KINGDOM
1258,ENDEMOL SHINE ITALY SPA,VIA MONTE ZEBIO 32,ITALY
1259,WARNER MUSIC GROUP CORP.,1633 BROADWAY,UNITED STATES
1260,COMPUTERSHARE TRUSTEES (C.I.) LIMITED,"Queensway House Hilgrove Street, St Helier",UNITED KINGDOM
1261,NOVATRANS ITALIA SRL,VIA TORINO 61,ITALY
1262,WARNER/CHAPPELL MUSIC INC.,75 ROCKEFELLER PLZ BSMT 1,UNITED STATES
1263,HOMELOAN MANAGEMENT LIMITED,Gateway House,UNITED KINGDOM
