,company_industry,company_founded,company_revenue,company_name,company_location
336,Insurance,1905.0,$20.3B,Marsh & McLennan,"New York, New York"
337,Diversified Financials,1894.0,$13.9B,Ameriprise Financial,"Minneapolis, Minnesota"
338,Health Care Equipment & Services,1897.0,$19.9B,Becton Dickinson,"Franklin Lakes, New Jersey"
339,Consumer Durables,1918.0,$66B,Panasonic,"Osaka, Japan"
340,Insurance,2008.0,$41.9B,MS&AD Insurance,"Tokyo, Japan"
341,Business Services & Supplies,1964.0,$22.7B,Orix,"Tokyo, Japan"
342,Diversified Financials,1995.0,$11.7B,Citic Securities,"Shenzhen, China"
343,Banking,1968.0,$8.3B,First Abu Dhabi Bank,"Abu Dhabi, United Arab Emirates"
344,Telecommunications Services,1970.0,$18.7B,BCE,"Verdun, Canada"
345,Oil & Gas Operations,1926.0,$23.7B,Schlumberger,"Sugar Land, Texas"
346,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1930.0,$18.3B,Texas Instruments,"Dallas, Texas"
347,Banking,1895.0,$12.8B,Bank Rakyat Indonesia (BRI),"Jakarta, Indonesia"
348,Banking,1969.0,$18.9B,Standard Chartered,"London, United Kingdom"
349,"Construction, Oil & Gas Operations, Mining and Chemicals",1970.0,$31B,CRH,"Dublin, Ireland"
350,Banking,1995.0,$19.4B,Bank of Beijing,"Beijing, China"
351,Media,2019.0,$28.6B,Paramount,"Norwood, New York"
352,Banking,2007.0,$17.9B,Bank Of Jiangsu,"Nanjing, China"
353,"Construction, Oil & Gas Operations, Mining and Chemicals",2017.0,$16.7B,DuPont de Nemours,"Wilmington, Delaware"
354,Consumer Durables,1991.0,$27.9B,Gree Electric Appliances,"Zhuhai, China"
355,Oil & Gas Operations,1959.0,$72.2B,Indian Oil,"New Delhi, India"
356,Retailing,1939.0,$34.2B,Dollar General,"Goodlettsville, Tennessee"
357,"Food, Soft Beverages, Alcohol & Tobacco",2015.0,$26B,Kraft Heinz Company,"Chicago, Illinois"
358,"Food, Drink & Tobacco",1991.0,$65.8B,Wilmar International,"Singapore, Singapore"
359,Business Services & Supplies,1970.0,$62.2B,Freddie Mac,"McLean, Virginia"
360,"IT, Internet, Software & Services",2015.0,$27.9B,Hewlett Packard Enterprise,"Spring, Texas"
361,"Food, Drink & Tobacco",1985.0,$21.2B,Japan Tobacco,"Tokyo, Japan"
362,Insurance,1925.0,$37.5B,Poste Italiane,"Rome, Italy"
363,Banking,1935.0,$8.9B,United Overseas Bank,"Singapore, Singapore"
364,Telecommunications Services,2000.0,$50.8B,China Unicom,"Victoria, Hong Kong"
365,Oil & Gas Operations,1980.0,$114B,Valero Energy,"San Antonio, Texas"
366,Transportation,1827.0,$13.1B,CSX,"Jacksonville, Florida"
367,Banking,1871.0,$24.8B,Danske Bank,"Copenhagen, Denmark"
368,Materials,2003.0,$20.9B,Fortescue Metals Group,"East Perth, Australia"
369,Construction,1948.0,$157.7B,China Railway Construction,"Beijing, China"
370,Drugs & Biotechnology,2010.0,$18.4B,Moderna,"Camebridge, Massachusetts"
371,Food Markets,1924.0,$38.8B,Woolworths,"Sydney, Australia"
372,Construction,1997.0,$26B,Anhui Conch Cement,"Wuhu City, China"
373,"IT, Internet, Software & Services",1982.0,$16.1B,Adobe,"San Jose, California"
374,Insurance,1810.0,$22.4B,Hartford Financial Services,"Hartford, Connecticut"
375,Diversified Financials,1792.0,$11.5B,State Street,"Boston, Massachusetts"
376,Banking,1957.0,$6.7B,Al Rajhi Bank,"Riyadh, Saudi Arabia"
377,Construction,2009.0,$70.3B,Power Construction Corporation of China,"Beijing, China"
378,Chemicals,1926.0,$17.2B,Shin-Etsu Chemical,"Tokyo, Japan"
379,Business Services & Supplies,1984.0,$16.2B,Fiserv,"Brookfield, Wisconsin"
380,Drugs & Biotechnology,1988.0,$16.1B,Regeneron Pharmaceuticals,"Tarrytown, New York"
381,Oil & Gas Operations,2010.0,$90.3B,ENEOS Holdings,"Tokyo, Japan"
382,IT Software & Services,1968.0,$25.7B,Tata Consultancy Services,"Mumbai, India"
383,Insurance,2010.0,$35.7B,Sompo,"Tokyo, Japan"
384,Oil & Gas Operations,1956.0,$42B,OMV Group,"Vienna, Austria"
385,Insurance,1857.0,$23.5B,Swiss Life Holding,"ZÃ¼rich, Switzerland"
386,Banking,1995.0,$15.9B,Bank Of Shanghai,"Shanghai, China"
387,"Telecommunications Services, Cable Supplier",1995.0,$9.4B,American Tower,"Boston, Massachusetts"
388,Oil & Gas Operations,1997.0,$17.9B,Pioneer Natural Resources,"Irving, Texas"
389,Construction,1963.0,$10.3B,Sun Hung Kai Properties,"Hong Kong, Hong Kong"
390,Chemicals,1998.0,$22.4B,Wanhua Chemical Group,"Yantai, China"
391,Insurance,1909.0,$15.9B,Sampo,"Helsinki, Finland"
392,Construction,,$23.4B,China Merchants Shekou Industrial Zone Holdings,"Shenzhen, China"
393,Consumer Durables,1984.0,$35.2B,Haier Smart Home,"Shangdong, China"
394,Capital Goods,1911.0,$19.6B,Eaton,"Dublin, Ireland"
395,Oil & Gas Operations,1962.0,$85.9B,SK,"Seoul, South Korea"
396,Business Services & Supplies,1885.0,$24.2B,Johnson Controls International,"Cork, Ireland"
397,"Food, Drink & Tobacco",1953.0,$65B,JBS,"Vila Jaguara, Brazil"
398,Telecommunications Services,1998.0,$16.9B,Saudi Telecom,"Riyadh, Saudi Arabia"
399,Conglomerates,1832.0,$35.9B,Jardine Matheson,"Hamilton, Bermuda"
400,Transportation,1832.0,$11.5B,Canadian National Railway,"Montreal, Canada"
401,Health Care Equipment & Services,1941.0,$17.1B,Stryker,"Kalamazoo, Michigan"
402,"Telecommunications Services, Cable Supplier",1865.0,$26.2B,Nokia,"Espoo, Finland"
403,Capital Goods,1921.0,$40.3B,Mitsubishi Electric,"Tokyo, Japan"
404,Consumer Durables,1933.0,$79.2B,Nissan Motor,"Yokohama, Japan"
405,Materials,1907.0,$31.1B,Tata Steel,"Mumbai, India"
406,"Food, Drink & Tobacco",1864.0,$25.9B,Heineken,"Amsterdam, Netherlands"
407,Aerospace & Defense,1999.0,$26.8B,BAE Systems,"Farnborough, United Kingdom"
408,Telecommunications Services,2004.0,$14.5B,Etisalat,"Abu Dhabi, United Arab Emirates"
409,"Telecommunications Services, Cable Supplier",1980.0,$28.8B,BT Group,"London, United Kingdom"
410,Banking,1966.0,$14.9B,CTBC Financial,"Taipei, Taiwan"
411,Oil & Gas Operations,1994.0,$15.4B,Novatek,"Moscow, Russia"
412,Construction,,$84.5B,Greenland Holdings Group,"Shanghai, China"
413,Utilities,1898.0,$29B,RWE Group,"Essen, Germany"
414,"Engineering, Manufacturing",1924.0,$26.9B,Daikin Industries,"Osaka, Japan"
415,Insurance,1844.0,$26.3B,Aegon,"The Hague, Netherlands"
416,IT Software & Services,2000.0,$19.3B,Baidu,"Beijing, China"
417,Technology Hardware & Equipment,1876.0,$27B,Ericsson,"Stockholm, Sweden"
418,Business Services & Supplies,1937.0,$32B,Canon,"Tokyo, Japan"
419,Construction,1954.0,$28.4B,Lennar,"Miami, Florida"
420,Banking,1996.0,$12.2B,Bank of Nanjing,"Nanjing, China"
421,Health Care Equipment & Services,1891.0,$20.3B,Philips,"Amsterdam, Netherlands"
422,"Food, Drink & Tobacco",2018.0,$12.7B,Keurig Dr Pepper,"Plano, Texas"
423,Utilities,2002.0,$8.5B,China Yangtze Power,"Beijing, China"
424,Banking,2003.0,$7.8B,DNB Bank,"Oslo, Norway"
425,Capital Goods,1890.0,$18.5B,Emerson Electric,"St. Louis, Missouri"
426,"Food, Drink & Tobacco",1901.0,$22.7B,Imperial Brands,"Bristol, United Kingdom"
427,Aerospace & Defense,1916.0,$62.3B,Boeing,"Arlington, Virginia"
428,"Food, Soft Beverages, Alcohol & Tobacco",1866.0,$18.6B,General Mills,"Minneapolis, Minnesota"
429,Banking,1993.0,$11.4B,Axis Bank,"Mumbai, India"
430,Banking and Financial Services,1979.0,$9B,National Bank of Canada,"Montreal, Canada"
431,Media & Advertising,1946.0,$17.8B,The EstÃ©e Lauder Companies,"New York, New York"
432,Capital Goods,1996.0,$33.4B,CNH Industrial,"London, United Kingdom"
433,Insurance,1951.0,$23.6B,Fairfax Financial,"Toronto, Canada"
434,"Clothing, Shoes, Sports Equipment",1949.0,$25.1B,Adidas,"Herzogenaurach, Germany"
435,Automotive (Automotive and Suppliers),1889.0,$28.1B,Michelin Group,"Clermont-Ferrand, France"
436,Transportation,1883.0,$11.1B,Norfolk Southern,"Atlanta, Georgia"
437,Banking and Financial Services,1879.0,$14.3B,Principal Financial Group,"Des Moines, Iowa"
438,Oil & Gas Operations,1998.0,$13.1B,Sempra,"San Diego, California"
439,Utilities,1998.0,$132.9B,Fortum,"Espoo, Finland"
440,Materials,1942.0,$14.8B,Grupo Mexico,"Mexico City, Mexico"
441,Construction,1978.0,$28.9B,D.R. Horton,"Arlington, Texas"
442,Aerospace & Defense,2019.0,$17.8B,L3Harris Technologies,"Melbourne, Florida"
443,Media,1915.0,$7B,Naspers,"Cape Town, South Africa"
444,Banking,1862.0,$15.9B,Standard Bank Group,"Johannesburg, South Africa"
445,Oil & Gas Operations,1951.0,$10.5B,TC Energy,"Calgary, Canada"
446,Materials,1993.0,$17.8B,Norilsk Nickel,"Moscow, Russia"
447,Oil & Gas Operations,1843.0,$26.2B,Naturgy Energy Group,"Barcelona, Spain"
448,Household & Personal Products,1876.0,$23.7B,Henkel,"DÃ¼sseldorf, Germany"
449,Semiconductors,1997.0,$17.7B,MediaTek,"Hsinchu, Taiwan"
450,Business Services & Supplies,1960.0,$24.8B,Recruit Holdings,"Tokyo, Japan"
451,Capital Goods,1999.0,$30.2B,Hengli Petrochemical,"Dalian, China"
452,Utilities,1909.0,$13.4B,Xcel Energy,"Minneapolis, Minnesota"
453,Chemicals,2019.0,$15.7B,Corteva,"Wilmington, Delaware"
454,Business Services & Supplies,2003.0,$11.4B,Synchrony Financial,"Stamford, Connecticut"
455,Trading Companies,1948.0,$69.5B,Toyota Tsusho,"Nagoya, Japan"
456,Consumer Durables,1926.0,$23.3B,Toyota Industries,"Kariya, Japan"
457,Drugs & Biotechnology,1999.0,$38.7B,AstraZeneca,"Cambridge, United Kingdom"
458,Construction,2003.0,$38.5B,Sunac China Holdings,"Tianjin, China"
459,Construction,2006.0,$70.4B,China Evergrande Group,"Shenzhen, China"
460,Consumer Durables,1931.0,$29.5B,Bridgestone,"Tokyo, Japan"
461,Banking,1963.0,$8.6B,Emirates NBD,"Dubai, United Arab Emirates"
462,Construction,1947.0,$38.9B,Daiwa House Industry,"Osaka, Japan"
463,Retailing,1998.0,$147.6B,JD.com,"Beijing, China"
464,"Construction, Oil & Gas Operations, Mining and Chemicals",1997.0,$16.6B,Kinder Morgan,"Houston, Texas"
465,Construction,2005.0,$42.6B,China National Building,"Beijing, China"
466,Diversified Financials,1966.0,$10.2B,FirstRand,"Johannesburg, South Africa"
467,Retail and Wholesale,1959.0,$87.8B,Carrefour,"Massy, France"
468,Technology Hardware & Equipment,1935.0,$32.8B,Fujitsu,"Tokyo, Japan"
469,Banking,1972.0,$7.6B,SEB AB,"Stockholm, Sweden"
470,Oil & Gas Operations,1990.0,$19.3B,Surgutneftegas,"Surgut, Russia"
471,Insurance,1996.0,$34.4B,New China Life Insurance,"Beijing, China"
472,Materials,1983.0,$11.9B,Barrick Gold,"Toronto, Canada"
473,Transportation,1976.0,$29B,DSV Panalpina,"Hedehusene, Denmark"
474,Insurance,1990.0,$51.7B,Talanx,"Hannover, Germany"
475,"Telecommunications Services, Cable Supplier",1984.0,$53.6B,Vodafone,"Berkshire, United Kingdom"
476,Consumer Durables,1889.0,$15.2B,Nintendo,"Kyoto, Japan"
477,Banking,2005.0,$13.7B,Hana Financial Group,"Seoul, South Korea"
478,Capital Goods,1977.0,$36.4B,Hyundai Mobis,"Seoul, South Korea"
479,Utilities,1975.0,$17B,NTPC,"New Delhi, India"
480,Banking and Financial Services,1960.0,$9.2B,Maybank,"Kuala Lumpur, Malaysia"
481,Diversified Financials,1898.0,$4.7B,CME Group,"Chicago, Illinois"
482,Utilities,2005.0,$12.4B,TAQA,"Abu Dhabi, United Arab Emirates"
483,"Food, Soft Beverages, Alcohol & Tobacco",1975.0,$11.6B,Pernod Ricard,"Paris, France"
484,Banking,1824.0,$9.5B,Bank Mandiri,"Jakarta, Indonesia"
485,"Food, Drink & Tobacco",1890.0,$27.4B,Femsa,"Monterrey , Mexico"
486,Automotive (Automotive and Suppliers),1972.0,$23.5B,Paccar,"Bellevue, Washington"
487,Utilities,1823.0,$13.7B,Consolidated Edison,"New York, New York"
488,Construction,1941.0,$18.3B,Mitsui Fudosan,"Tokyo, Japan"
489,Transportation,,$17.5B,Evergreen Marine Corp. (Taiwan),"Taipei, Taiwan"
490,Capital Goods,1921.0,$24.5B,Komatsu,"Tokyo, Japan"
491,Materials,2008.0,$22.3B,Shaanxi Coal Industry,"Xi'an, China"
492,Technology Hardware & Equipment,1984.0,$70.6B,Lenovo Group,"Quarry Bay, Hong Kong"
493,Retailing,1963.0,$19.3B,Fast Retailing,"Yamaguchi, Japan"
494,Diversified Financials,1802.0,$9.3B,London Stock Exchange,"London, United Kingdom"
495,Construction,1998.0,$6.6B,Vonovia,"Bochum, Germany"
496,Insurance,2000.0,$45.1B,Aviva,"London, United Kingdom"
497,"Construction, Oil & Gas Operations, Mining and Chemicals",1866.0,$19.9B,Sherwin-Williams,"Cleveland, Ohio"
498,Consumer Durables,1934.0,$22.6B,Fujifilm Holdings,"Tokyo, Japan"
499,IT Software & Services,1983.0,$11.4B,Intuit,"Mountain View, California"
500,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1980.0,$16.7B,Lam Research,"Fremont, California"
501,Banking and Financial Services,2008.0,$11.4B,Erste Group Bank,"Vienna, Austria"
502,Insurance,1968.0,$19.2B,Lincoln National,"Radnor, Pennsylvania"
503,Capital Goods,1915.0,$20.6B,Carrier Global,"Palm Beach Gardens, Florida"
504,Media,1980.0,$17.9B,DISH Network,"Englewood, Colorado"
505,Materials,2006.0,$35.9B,China Coal Energy,"Beijing, China"
506,Automotive (Automotive and Suppliers),1871.0,$39.9B,Continental,"Hanover, Germany"
507,Banking,1990.0,$21.3B,VTB Bank,"Moscow, Russia"
508,Technology Hardware & Equipment,1944.0,$16.3B,Murata Manufacturing,"Nagaokakyo, Japan"
509,Construction,1938.0,$20.5B,Larsen & Toubro,"Mumbai, India"
510,Banking and Financial Services,1919.0,$10.8B,Ally Financial,"Detroit, Michigan"
511,IT Software & Services,1997.0,$13.6B,NetEase,"Hangzhou, China"
512,Banking,1955.0,$6.1B,Bank Central Asia,"Jakarta, Indonesia"
513,Consumer Durables,2010.0,$32.9B,Volvo Car,"Gothenburg, Sweden"
514,Insurance,1809.0,$14.6B,Intact Financial,"Toronto, Canada"
515,Oil & Gas Operations,1972.0,$11B,Orsted,"Fredericia, Denmark"
516,"Engineering, Manufacturing",1919.0,$24B,Cummins,"Columbus, Ohio"
517,Oil & Gas Operations,1908.0,$10.6B,Williams,"Tulsa, Oklahoma"
518,IT Software & Services,1967.0,$21.5B,Capgemini,"Paris, France"
519,Real Estate,1993.0,$4.8B,Prologis,"Denver, Colorado"
520,Aerospace & Defense,1949.0,$19.1B,Thales,"Paris, France"
521,Construction,1952.0,$44.4B,Bouygues,"Paris, France"
522,Banking,1899.0,$10.6B,Banorte,"San Pedro Garza GarcÃ­a, Mexico"
523,Construction,2015.0,$8.3B,CK Asset Holdings,"Hong Kong, Hong Kong"
524,Telecommunications Services,1988.0,$50.3B,Orange,"Paris, France"
525,Transportation,1890.0,$35.9B,Kuehne & Nagel International,"Schindellegi, Switzerland"
526,"Food, Drink & Tobacco",1818.0,$59.2B,Bunge,"St. Louis, Missouri"
527,Insurance,1957.0,$25.4B,Samsung Life Insurance,"Seoul, South Korea"
528,IT Software & Services,1998.0,$12.9B,VMware,"Palo Alto, California"
529,Food Markets,1939.0,$71.9B,Albertsons,"Boise, Idaho"
530,Capital Goods,2007.0,$34.8B,CRRC,"Beijing, China"
531,Construction,1906.0,$27.7B,CBRE Group,"Dallas, Texas"
532,Conglomerate,1875.0,$30.1B,Toshiba,"Tokyo, Japan"
533,Trading Companies,1963.0,$30.1B,Samsung C&T,"Seoul, South Korea"
534,IT Software & Services,1981.0,$16.3B,Infosys,"Bangalore, India"
535,Banking and Financial Services,1848.0,$26.5B,Prudential,"Hong Kong, London, United Kingdom"
536,Materials,1997.0,$16.9B,Yankuang Energy Group,"Zoucheng, China"
537,Transportation,1881.0,$6.4B,Canadian Pacific Railway,"Calgary, Canada"
538,Insurance,1954.0,$14.7B,Loews,"New York, New York"
539,Semiconductors,1963.0,$17.1B,Tokyo Electron,"Tokyo, Japan"
540,Consumer Durables,1958.0,$66.1B,LG Electronics,"Seoul, South Korea"
541,Drugs & Biotechnology,1916.0,$10.6B,CSL,"Parkville, Australia"
542,Consumer Durables,1957.0,$36.2B,Magna International,"Aurora, Canada"
543,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1965.0,$8.4B,Analog Devices,"Wilmington, Massachusetts"
544,Capital Goods,1890.0,$20B,Kubota,"Osaka, Japan"
545,Chemicals,1940.0,$10.9B,Air Products & Chemicals,"Allentown, Pennsylvania"
546,Materials,1921.0,$12.2B,Newmont Mining,"Denver, Colorado"
547,Technology Hardware & Equipment,2007.0,$15.2B,TE Connectivity,"Schaffhausen, Switzerland"
548,Insurance,1982.0,$12.2B,Aon,"Dublin, Ireland"
549,Business Services & Supplies,1990.0,$13.4B,TELUS,"Vancouver, Canada"
550,Retailing,1986.0,$26.3B,Dollar Tree,"Chesapeake, Virginia"
551,Banking,1958.0,$7.4B,KeyCorp,"Cleveland, Ohio"
552,Insurance,1828.0,$9.6B,WTW,"London, United Kingdom"
553,Banking,1993.0,$16B,China Zheshang Bank,"Hangzhou, China"
554,Food Markets,1914.0,$25.4B,Wesfarmers,"Perth, Australia"
555,Consumer Durables,1909.0,$32.6B,Suzuki Motor,"Hamamatsu, Japan"
556,Retail and Wholesale,1966.0,$51.8B,Best Buy,"Richfield, Minnesota"
557,Banking,1983.0,$6.1B,SVB Financial Group,"Santa Clara, California"
558,Semiconductors,1969.0,$16.4B,Advanced Micro Devices,"Santa Clara, California"
559,Banking and Financial Services,1930.0,$12.8B,Markel,"Glen Allen, Virginia"
560,"Food, Drink & Tobacco",2000.0,$11.3B,Muyuan Foodstuff,"Nanyang, China"
561,Packaged Goods,1872.0,$19.8B,Kimberly-Clark,"Irving, Texas"
562,Banking,1991.0,$6.7B,Swedbank,"Sundbyberg, Sweden"
563,IT Software & Services,1994.0,$18.5B,Cognizant,"Teaneck, New Jersey"
564,"Engineering, Manufacturing",1851.0,$14.1B,Corning,"Corning, New York"
565,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1999.0,$13.7B,Infineon Technologies,"Neubiberg, Germany"
566,Banking,1828.0,$6.9B,Citizens Financial Group,"Providence, Rhode Island"
567,Oil & Gas Operations,1971.0,$13.7B,Devon Energy,"Oklahoma City, Oklahoma"
568,"Food, Drink & Tobacco",1949.0,$20.4B,Asahi Group Holdings,"Tokyo, Japan"
569,Materials,1994.0,$17.1B,JSW Steel,"Mumbai, India"
570,"Telecommunications Services, Cable Supplier",1968.0,$19.7B,Lumen Technologies,"Monroe, Louisiana"
571,Banking and Financial Services,1971.0,$6.6B,Regions Financial,"Birmingham, Alabama"
572,Banking and Financial Services,1871.0,$6.3B,Svenska Handelsbanken,"Stockholm, Sweden"
573,Diversified Financials,1962.0,$10.4B,Raymond James Financial,"Saint Petersburg, Florida"
574,Consumer Durables,1995.0,$32.8B,BYD,"Shenzhen, China"
575,Capital Goods,1912.0,$14.5B,Illinois Tool Works,"Glenview, Illinois"
576,Retailing,,$14.6B,Pinduoduo,"Shanghai, China"
577,Consumer Durables,2008.0,$8.8B,Activision Blizzard,"Santa Monica, California"
578,Media,2005.0,$10.5B,Liberty Global,"London, United Kingdom"
579,Household & Personal Products,1806.0,$17.4B,Colgate-Palmolive,"New York, New York"
580,Utilities,1989.0,$10.3B,SSE,"Perth, United Kingdom"
581,Chemicals,1958.0,$14.7B,Nan Ya Plastics,"Kaohsiung City, Taiwan"
582,Telecommunications Services,1853.0,$11.3B,Vivendi,"Paris, France"
583,Health Care Equipment & Services,1931.0,$12.8B,Baxter International,"Deerfield, Illinois"
584,Insurance,1992.0,$25B,Fosun International,"Shanghai, China"
585,Capital Goods,2002.0,$31.4B,Weichai Power,"Weifang, China"
586,Insurance,1847.0,$15.6B,Fidelity National Financial,"Jacksonville, Florida"
587,Capital Goods,1918.0,$15.3B,Parker-Hannifin,"Cleveland, Ohio"
588,Materials,1976.0,$16.4B,Vedanta Limited,"Mumbai, India"
589,Diversified Financials,2001.0,$11.5B,Woori Financial Group,"Seoul, South Korea"
590,Food Markets,1969.0,$60.7B,Sysco,"Houston, Texas"
591,Telecommunications Services,1975.0,$15.8B,Telstra,"Melbourne, Australia"
592,Banking,1856.0,$30.1B,Credit Suisse Group,"Zurich, Switzerland"
593,Telecommunications Services,1960.0,$11.8B,Rogers Communications,"Toronto, Canada"
594,Banking,1856.0,$5.9B,M&T Bank,"Buffalo, New York"
595,Health Care Equipment & Services,1979.0,$11.9B,Boston Scientific,"Marlborough, Massachusetts"
596,Utilities,1886.0,$14.9B,Edison International,"Rosemead, California"
597,Transportation,1929.0,$23.4B,Financiere de l'Odet,"Paris, France"
598,Banking,2002.0,$10.7B,Sumitomo Mitsui Trust,"Tokyo, Japan"
599,Utilities,1913.0,$11.7B,Entergy,"New Orleans, Louisiana"
600,Telecommunications Services,1998.0,$12.2B,Swisscom,"Worblaufen, Switzerland"
601,Utilities,1997.0,$38B,EnBW-Energie Baden,"Karlsruhe, Germany"
602,Technology Hardware & Equipment,2001.0,$13B,Hikvision,"Hangzhou, China"
603,Transportation,1885.0,$19.5B,Nippon Yusen,"Tokyo, Japan"
604,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1843.0,$16.8B,Stanley Black & Decker,"New Britain, Connecticut"
605,Oil & Gas Operations,1906.0,$17.3B,Oneok,"Tulsa, Oklahoma"
606,Travel & Leisure,1927.0,$13.9B,Marriott International,"Bethesda, Maryland"
607,Media,2022.0,$12.2B,Warner Bros. Discovery,"New York, New York"
608,Business Services & Supplies,1993.0,$32.1B,S.F. Holding,"Shenzhen, China"
609,Transportation and Logistics,1924.0,$35.1B,Delta Air Lines,"Atlanta, Georgia"
610,Oil & Gas Operations,1928.0,$43.2B,Bharat Petroleum,"Mumbai, India"
611,Oil & Gas Operations,1919.0,$16.1B,Halliburton,"Houston, Texas"
612,Construction,2008.0,$77.3B,Metallurgical Corp of China,"Beijing, China"
613,Banking,1889.0,$6.6B,Northern Trust,"Chicago, Illinois"
614,Construction,1874.0,$22.1B,HeidelbergCement,"Heidelberg, Germany"
615,Materials,1971.0,$16.8B,China Steel,"Kaohsiung City, Taiwan"
616,Utilities,1996.0,$9.9B,Eversource Energy,"Hartford, Connecticut"
617,Capital Goods,1994.0,$17.6B,Sany Heavy Industry,"Beijing, China"
618,Retail and Wholesale,1837.0,$10.6B,HermÃ¨s International,"Paris, France"
619,Materials,1898.0,$21.8B,International Paper,"Memphis, Tennessee"
620,Oil & Gas Operations,1963.0,$38.8B,KoÃ§ Holding,"Istanbul, Turkey"
621,Capital Goods,1973.0,$17.1B,Nidec,"Kyoto, Japan"
622,IT Software & Services,2010.0,$27.8B,Meituan,"Beijing, China"
623,Diversified Financials,1985.0,$7.9B,Kotak Mahindra Bank,"Mumbai, India"
624,Materials,1906.0,$10.8B,Teck Resources,"Vancouver, Canada"
625,Transportation and Logistics,1967.0,$15.8B,Southwest Airlines,"Dallas, Texas"
626,Diversified Financials,1990.0,$5.3B,Deutsche Boerse,"Eschborn, Germany"
627,Health Care Equipment & Services,1978.0,$16.1B,Labcorp,"Burlington, North Carolina"
628,Telecommunications Services,2014.0,$13.4B,China Tower Corp.,"Beijing, China"
629,Oil & Gas Operations,2006.0,$11.3B,Inpex,"Tokyo, Japan"
630,"Food, Soft Beverages, Alcohol & Tobacco",2016.0,$16.2B,Coca-Cola European Partners,"Uxbridge, United Kingdom"
631,"Food, Drink & Tobacco",1998.0,$8.5B,Wuliangye Yibin,"Yibin, China"
632,Construction,2004.0,$21.8B,Shimao Property Holdings,"Hong Kong, Hong Kong"
633,Oil & Gas Operations,1911.0,$54.5B,Idemitsu Kosan,"Tokyo, Japan"
634,Oil & Gas Operations,1992.0,$22.2B,Formosa Petrochemical,"Taipei, Taiwan"
635,Diversified Financials,1994.0,$6.6B,Crown Castle International,"Houston, Texas"
636,Utilities,1997.0,$11.4B,FirstEnergy,"Akron, Ohio"
637,Household & Personal Products,1995.0,$27.2B,Rongsheng Petrochemical,"Hangzhou, China"
638,Materials,1958.0,$24.3B,Hindalco Industries,"Mumbai, India"
639,Banking,1996.0,$8.7B,Bank Of Hangzhou,"Hangzhou, China"
640,Consumer Durables,1898.0,$54.6B,Renault,"Boulogne-Billancourt, France"
641,"Food, Drink & Tobacco",1998.0,$7.7B,International Holding Company,"Abu Dhabi, United Arab Emirates"
642,Insurance,1950.0,$9.6B,Cincinnati Financial,"Fairfield, Ohio"
643,Construction,1937.0,$12.1B,Mitsubishi Estate,"Tokyo, Japan"
644,"Construction, Oil & Gas Operations, Mining and Chemicals",1847.0,$22.4B,Cleveland-Cliffs,"Cleveland, Ohio"
645,Construction,1997.0,$32.9B,Grupo ACS,"Madrid, Spain"
646,Utilities,2014.0,$12.5B,CGN Power,"Shenzhen, China"
647,Semiconductors,1984.0,$21.3B,ASE Technology Holding,"Kaohsiung City, Taiwan"
648,Materials,2002.0,$36.5B,JFE Holdings,"Tokyo, Japan"
649,Utilities,1996.0,$15.5B,DTE Energy,"Detroit, Michigan"
650,Materials,1994.0,$17.8B,China Hongqiao Group,"Binzhou, China"
651,Semiconductors,2006.0,$11.1B,NXP Semiconductors,"Eindhoven, Netherlands"
652,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1970.0,$18.9B,Western Digital,"San JosÃ©, California"
653,Business Services & Supplies,1996.0,$11B,Booking Holdings,"Norwalk, Connecticut"
654,Food Markets,1926.0,$78.2B,Aeon,"Chiba, Japan"
655,Banking,1985.0,$5.5B,First Republic Bank,"San Francisco, California"
656,IT Software & Services,2005.0,$9.7B,Lufax Holding,"Shanghai, China"
657,"Engineering, Manufacturing",1873.0,$12.9B,Atlas Copco,"Nacka, Sweden"
658,"IT, Internet, Software & Services",2006.0,$13.9B,Fidelity National Information (FIS),"Jacksonville, Florida"
659,Chemicals,2005.0,$34.6B,Mitsubishi Chemical,"Tokyo, Japan"
660,Utilities,1976.0,$17.9B,Edp-energias De Portugal,"Lisbon, Portugal"
661,Technology Hardware & Equipment,1959.0,$16.2B,Kyocera,"Kyoto, Japan"
662,Trading Companies,1998.0,$109.6B,Xiamen C&D,"Xiamen, China"
663,Retailing,1979.0,$15.6B,AutoZone,"Memphis, Tennessee"
664,Insurance,1931.0,$40.9B,China Taiping Insurance,"Hong Kong, Hong Kong"
665,Oil & Gas Operations,1881.0,$37B,Cenovus Energy,"Calgary, Canada"
666,Oil & Gas Operations,1948.0,$17.9B,Neste,"Espoo, Finland"
667,Consumer Durables,1930.0,$151M,Porsche Automobil Holding,"Stuttgart, Germany"
668,"Clothing, Shoes, Sports Equipment",1947.0,$23.8B,H&M - Hennes & Mauritz,"Stockholm, Sweden"
669,Business Services & Supplies,1903.0,$10B,RELX,"London, United Kingdom"
670,Utilities,1995.0,$20.6B,PG&E,"San Francisco, California"
671,Business Services & Supplies,1998.0,$11.3B,Republic Services,"Phoenix, Arizona"
