,company_ceo,company_country,company_employees,company_founded,company_location,company_industry,company_revenue,company_name,company_ipo_code
178, Mr. Juan Ricardo Luciano,United States," 39,218"," Minneapolis, Minnesota, U.S.1902","Chicago,IL,UnitedStates",Farm Products,$51.03 B,Archer-Daniels-Midland Company,ADM
179,,United Kingdom,,,,InsuranceâProperty & Casualty,$51.43 B,General Accident plc,GACA
180,,United States,,,"SaintPaul,MN,UnitedStates",Credit Services,$51.49 B,"AgriBank, FCB",AGRIP
181," Mr. Christopher E. Kubasik CPA, CPA",United States," 47,000"," JuneÂ 29, 2019","Melbourne,FL,UnitedStates",Aerospace & Defense,$51.51 B,"L3Harris Technologies, Inc.",LHX
182, Mr. Akio  Toyoda,Japan," 371,365"," AugustÂ 28, 1937","Toyota,Japan",Auto Manufacturers,$51.55 B,Toyota Motor Corporation,7203
183, Mr. Koji  Arima,Japan," 168,391",,"Kariya,Japan",Auto Parts,$51.58 B,DENSO Corp,6902
184, Mr. Mirko  Bibic,Canada," 49,781", 1983,"Verdun,QC,Canada",Telecom Services,$51.71 B,BCE Inc.,BCE
185, Mr. Carlos  Tavares,Netherlands," 281,595",,"Amsterdam,Netherlands",Auto Manufacturers,$51.80 B,Stellantis N.V.,STLA
186, Mr. Claudio  Descalzi,Italy," 31,495", 10Â February 1953,"Rome,RM,Italy",Oil & Gas Integrated,$52.00 B,Eni S.p.A.,ENI
187, Mr. Masahiro  Okafuji,Japan," 125,944",,"Tokyo,Japan",Conglomerates,$52.19 B,ITOCHU Corp,8001
188, Mr. Victor  Peng,United States," 4,890", 1984,"SanJose,CA,UnitedStates",Semiconductors,$52.19 B,"Xilinx, Inc.",XLNX
189, Mr. Kurt  Sievers,Netherlands," 31,000", Established in 2006,"Eindhoven,Netherlands",Semiconductors,$52.28 B,NXP Semiconductors N.V.,NXPI
190, Mr. Tadashi  Yanai,Japan," 55,589",,"Yamaguchi,Japan",Apparel Retail,$52.29 B,Fast Retailing Co. Ltd,9983
191, Mr. Ronald L. Zimmerly Jr.,United States,,,"Ada,OH,UnitedStates",Banks,$52.30 B,"Liberty Bancshares, Inc. (OH)",LBSI
192, Ms. Vicki A. Hollub,United States," 11,678", JuneÂ 1909,"Houston,TX,UnitedStates",Oil & Gas E&P,$52.30 B,Occidental Petroleum Corporation,OXY
193, Mr. Jeffrey Walker Martin,United States," 15,390", 1998,"SanDiego,CA,UnitedStates",UtilitiesâDiversified,$52.47 B,Sempra Energy,SRE
194, Dr. Martin  Brudermuller,Germany," 108,718",,"LudwigshafenamRhein,Germany",Chemicals,$52.76 B,BASF SE,BAS
195," Mr. Stephen John Hasker B.Com., M.B.A.",Canada," 24,400",,"Toronto,ON,Canada",Consulting Services,$53.30 B,Thomson Reuters Corporation,TRI
196, Mr. David A. Schwimmer,United Kingdom," 24,158", 23Â June 2007,"London,UnitedKingdom",Financial Data & Stock Exchanges,$53.33 B,London Stock Exchange Group plc,LSEG
197,,Switzerland," 16,218",,"Basel,Switzerland",Diagnostics & Research,$53.76 B,Lonza Group Ltd,LONN
198, Mr. Benedetto  Vigna,Italy," 4,609", 13Â September 1939,"Maranello,MO,Italy",Auto Manufacturers,$53.78 B,Ferrari N.V.,RACE
199, Mr. Evan  Spiegel,United States," 5,661"," SeptemberÂ 16, 2011","SantaMonica,CA,UnitedStates",Internet Content & Information,$53.86 B,Snap Inc.,SNAP
200, Mr. Ken  Xie,United States," 10,195", 2000,"Sunnyvale,CA,UnitedStates",SoftwareâInfrastructure,$53.86 B,"Fortinet, Inc.",FTNT
201, Mr. Todd J. Vasos,United States," 163,000", OctoberÂ 1939,"Goodlettsville,TN,UnitedStates",Discount Stores,$54.30 B,Dollar General Corporation,DG
202, Mr. Peter Salvatore Zaffino,United States," 36,600"," DecemberÂ 19, 1919","NewYork,NY,UnitedStates",InsuranceâDiversified,$54.31 B,"American International Group, Inc.",AIG
203, Mr. Michael J. Hennigan,United States," 17,700"," NovemberÂ 9, 2009","Findlay,OH,UnitedStates",Oil & Gas Refining & Marketing,$54.54 B,Marathon Petroleum Corporation,MPC
204, Mr. Keith E. Creel,Canada," 11,834", 16Â February 1881,"Calgary,AB,Canada",Railroads,$54.59 B,Canadian Pacific Railway Limited,CP
205, Mr. Jean Jereissati Neto,Brazil," 53,000",,"SÃÂ£oPaulo,SP,Brazil",BeveragesâBrewers,$54.69 B,Ambev SA,ABEV3
206, Mr. Rudolf Gijsbert Servaas van den Brink,Netherlands," 81,070",,"Amsterdam,Netherlands",BeveragesâBrewers,$54.87 B,Heineken N.V.,HEIA
207, Mr. Masayoshi  Son,Japan," 58,786",,"Tokyo,Japan",Telecom Services,$54.93 B,SoftBank Group Corp.,9984
208,,United States,,,"NorthAndover,MA,UnitedStates",Staffing & Employment Services,$55.23 B,Ergo Science Corp,ERGN
209, Mr. Robert J. Gamgort,United States," 27,500", 1981,"Burlington,MA,UnitedStates",BeveragesâNon-Alcoholic,$55.28 B,Keurig Dr Pepper Inc.,KDP
210, Dr. Osamu  Okuda,Japan," 7,664",,"Tokyo,Japan",Drug ManufacturersâGeneral,$55.31 B,Chugai Pharmaceutical Co. Ltd,4519
211, Mr. Masanori  Togawa,Japan," 84,870",,"Osaka,Japan",Building Products & Equipment,$55.58 B,"Daikin Industries,Ltd.",6367
212,,United Kingdom," 23,683", 1990,"London,UnitedKingdom",UtilitiesâDiversified,$55.88 B,National Grid plc,NG.
213,,China," 43,876",,"Longyan,China",Gold,$43.93 B,Zijin Mining Group Co Ltd,601899
214, Mr. Thierry  Delaporte,India," 220,000", 29 December 1945,"Bengaluru,India",Information Technology Services,$43.98 B,Wipro Limited,WIPRO
215, Mr. John Chongbo  Rim,South Korea," 3,247",,"Incheon,SouthKorea",Biotechnology,$44.01 B,"Samsung Biologics Co.,Ltd.",207940
216, Mr. Jun  Ohta,Japan," 86,800"," June 6, 1996","Tokyo,Japan",Banks,$44.06 B,"Sumitomo Mitsui Financial Group, Inc.",8316
217, Mr. Brian R. Niccol,United States," 97,660"," JulyÂ 13, 1993","NewportBeach,CA,UnitedStates",Restaurants,$44.11 B,"Chipotle Mexican Grill, Inc.",CMG
218, Dr. Anirudh  Devgan Ph.D.,United States," 9,300", 1988,"SanJose,CA,UnitedStates",SoftwareâApplication,$44.23 B,"Cadence Design Systems, Inc.",CDNS
219, Mr. Todd M. Schneider,United States," 40,000", 1929,"Cincinnati,OH,UnitedStates",Specialty Business Services,$44.32 B,Cintas Corporation,CTAS
220, Mr. Ari  Bousbib,United States," 79,000", 1982,"Durham,NC,UnitedStates",Diagnostics & Research,$44.32 B,IQVIA Holdings Inc.,IQV
221, Mr. William C. Rhodes III,United States," 65,100"," JulyÂ 4, 1979","Memphis,TN,UnitedStates",Specialty Retail,$44.39 B,"AutoZone, Inc.",AZO
222, Mr. Terrence R. Curtin CPA,Switzerland," 85,000", 2007,"Schaffhausen,Switzerland",Electronic Components,$44.78 B,TE Connectivity Ltd.,TEL
223, Mr. Carlo  Messina,Italy," 78,000",,"Turin,TO,Italy",Banks,$44.95 B,Intesa Sanpaolo S.p.A.,ISP
224, Mr. Vagit Yusufovich Alekperov,Russia," 101,374",,"Moscow,Russia",Oil & Gas Integrated,$44.96 B,PJSC Lukoil,LKOH
225, Mr. Robert G. Wilt,Saudi Arabia,,,"Riyadh,SaudiArabia",Other Industrial Metals & Mining,$45.00 B,Saudi Arabian Mining Company,1211
226, Mr. Kenichi  Hori,Japan," 44,509",,"Tokyo,Japan",Oil & Gas E&P,$45.09 B,Mitsui & Co. Ltd,8031
227, Mr. Olivier  Pomel,United States," 3,200", 2010,"NewYork,NY,UnitedStates",SoftwareâApplication,$45.13 B,"Datadog, Inc.",DDOG
228, Mr. William A. Newlands,United States," 9,300", 1945,"Victor,NY,UnitedStates",BeveragesâWineries & Distilleries,$45.21 B,"Constellation Brands, Inc.",STZ
229, Dr. Reinhard  Ploss,Germany," 50,280",,"Munich,Germany",Semiconductors,$45.35 B,Infineon Technologies AG,IFXA
230, Mr. Alan David Schnitzer,United States," 30,184", 1853,"NewYork,NY,UnitedStates",InsuranceâProperty & Casualty,$45.56 B,"The Travelers Companies, Inc.",TRV
231, Mr. Jonathan J. Mazelsky,United States," 10,350", 1983,"Westbrook,ME,UnitedStates",Diagnostics & Research,$45.64 B,"IDEXX Laboratories, Inc.",IDXX
232, Mr. Nicholas Jonathan Read,United Kingdom," 105,000", 16Â September 1991,"Newbury,UnitedKingdom",Telecom Services,$45.74 B,Vodafone Group plc,VOD
233, Ms. Su Hua Tian,United States,,,"Houston,TX,UnitedStates",Residential Construction,$45.74 B,Vanjia Corp,VNJA
234, Mr. Richard Adam Norwitt,United States," 90,000", 1932,"Wallingford,CT,UnitedStates",Electronic Components,$45.77 B,Amphenol Corporation,APH
235, Ms. Michele Gross Buck,United States," 16,620"," FebruaryÂ 8, 1894","Hershey,PA,UnitedStates",Confectioners,$45.83 B,The Hershey Company,HSY
236, Mr. Christophe  Weber,Japan," 47,099"," Doshomachi, Osaka, Japan JuneÂ 12,Â 1781","Tokyo,Japan",Drug ManufacturersâSpecialty & Generic,$45.89 B,Takeda Pharmaceutical Company Limited,4502
237, Mr. Yanhong  Li,China," 45,500"," JanuaryÂ 1, 2000","Beijing,China",Internet Content & Information,$45.98 B,"Baidu, Inc.",9888
238,,Switzerland," 26,272",,"Baar,Switzerland",Specialty Chemicals,$46.01 B,Sika AG,SIKA
239, Mr. Kasper Bo Rorsted,Germany," 53,870",,"Herzogenaurach,Germany",Footwear & Accessories,$46.13 B,adidas AG,ADS1
240, Mr. Jun  Seki,Japan, 758,,"Kyoto,Japan",Specialty Industrial Machinery,$46.33 B,Nidec Corp,6594
241," Mr. Octavio  de Lazari Jr., Junior",Brazil," 85,264"," MarchÂ 10, 1943","Osasco,SP,Brazil",Banks,$46.71 B,Banco Bradesco SA,BBDC3
242, Mr. Kevin Ronald Sayer,United States," 6,300", 1999,"SanDiego,CA,UnitedStates",Diagnostics & Research,$46.86 B,"DexCom, Inc.",DXCM
243, Mr. Leon J. Topalian,United States," 28,800",,"Charlotte,NC,UnitedStates",Steel,$46.86 B,Nucor Corporation,NUE
244, Mr. Brian  Humphries,United States," 330,600", 26Â January 1994,"Teaneck,NJ,UnitedStates",Information Technology Services,$47.07 B,Cognizant Technology Solutions Corporation,CTSH
245, Igor Y. Zhilkin,Russia,,,"Moscow,Russia",Specialty Industrial Machinery,$47.15 B,Open Joint Stock Company OMZ,OMZZP
246, Mr. Charles Frederick Lowrey Jr.,United States," 40,916", 1875,"Newark,NJ,UnitedStates",InsuranceâLife,$47.17 B,"Prudential Financial, Inc.",PRU
247, Dr. Andrew  Anagnost,United States," 12,600"," JanuaryÂ 30, 1982","SanRafael,CA,UnitedStates",SoftwareâApplication,$47.69 B,"Autodesk, Inc.",ADSK
248, Mr. Bob  van Dijk,South Africa," 28,445",,"CapeTown,SouthAfrica",Internet Content & Information,$47.73 B,Naspers Ltd,NPN
249, Mr. George R. Kurtz,United States," 4,965", 2011,"Sunnyvale,CA,UnitedStates",SoftwareâInfrastructure,$47.89 B,"CrowdStrike Holdings, Inc.",CRWD
250,,Mexico," 29,707",,"MexicoCity,DF,Mexico",Other Industrial Metals & Mining,$48.00 B,Grupo Mexico SAB de CV,GMEXICOB
251, Mr. Gregory D. Johnson,United States," 82,852"," DecemberÂ 2, 1957","Springfield,MO,UnitedStates",Specialty Retail,$48.14 B,"O'Reilly Automotive, Inc.",ORLY
252, Mr. George R. Oliver,Ireland," 101,000", 1885,"Cork,Ireland",Engineering & Construction,$48.15 B,Johnson Controls International plc,JCI
253, Mr. Rangarajan  Raghuram,United States," 34,000"," FebruaryÂ 10, 1998","PaloAlto,CA,UnitedStates",SoftwareâInfrastructure,$48.17 B,"VMware, Inc.",VMW
254, Mr. Mark S. Little,Canada," 16,922"," Montreal, Quebec, Canada in 1919","Calgary,AB,Canada",Oil & Gas Integrated,$48.27 B,Suncor Energy Inc.,SU
255, Mr. Brian S. Tyler Ph.D.,United States," 59,000"," New York City, United States1833","Irving,TX,UnitedStates",Medical Distribution,$48.46 B,McKesson Corporation,MCK
256, Mr. Igor Ivanovich Sechin,Russia,,,"Moscow,Russia",Oil & Gas Integrated,$48.50 B,Rosneft Oil Co PJSC,ROSN
257, Mr. James R. Fitterling,United States," 35,700"," AprilÂ 1, 2019","Midland,MI,UnitedStates",Chemicals,$48.50 B,Dow Inc.,DOW
258, Mr. Calvin R. McDonald,Canada," 25,000", 1998,"Vancouver,BC,Canada",Apparel Retail,$48.52 B,Lululemon Athletica Inc.,LULU
259, Dr. Lih Shyng  Tsai Ph.D.,Taiwan,,,"HsinchuCity,Taiwan",Semiconductors,$48.74 B,"MediaTek, Inc.",2454
260, Mr. Peter Kenneth Allen,Australia," 2,780", 2014,"Sydney,NSW,Australia",REITâRetail,$48.83 B,Scentre Group,SCG
261, Mr. Toshiaki  Higashihara,Japan," 350,864",,"Tokyo,Japan",Conglomerates,$48.92 B,Hitachi Ltd,6501
262,,China," 19,692",,"Yantai,China",Chemicals,$39.73 B,Wanhua Chemical Group Co. Ltd,600309
263," Mr. Ee Cheong  Wee B.Sc., M.A.",Singapore," 24,346",,"Singapore,Singapore",Banks,$39.73 B,United Overseas Bank Ltd,U11
264, Mr. Robert C. Frenzel,United States," 11,321", 1909,"Minneapolis,MN,UnitedStates",UtilitiesâRegulated Electric,$39.76 B,Xcel Energy Inc.,XEL
265, Mr. Shankh S. Mitra,United States, 464, 1970,"Toledo,OH,UnitedStates",REITâHealthcare Facilities,$39.96 B,Welltower Inc.,WELL
266, Mr. Henry A. Fernandez,United States," 4,303", 1968,"NewYork,NY,UnitedStates",Financial Data & Stock Exchanges,$39.97 B,MSCI Inc.,MSCI
267, Mr. Yu  Sun,Hong Kong," 14,462",,"Central,HongKong",Banks,$39.99 B,BOC Hong Kong Holdings Ltd,2388
268, Mr. Jose E. Almeida,United States," 60,000", 1931,"Deerfield,IL,UnitedStates",Medical Instruments & Supplies,$40.13 B,Baxter International Inc.,BAX
269,,China," 11,380",,"Shenzhen,China",Capital Markets,$40.17 B,CITIC Securities Company Ltd,600030
270, Mr. Jeffrey S. Sloan J.D.,United States," 25,000", 2000,"Atlanta,GA,UnitedStates",Specialty Business Services,$40.35 B,Global Payments Inc.,GPN
271, Mr. Michael R. McMullen,United States," 17,200", 1999,"SantaClara,CA,UnitedStates",Diagnostics & Research,$40.49 B,"Agilent Technologies, Inc.",A
272, Ms. Rosalind Gates Brewer,United States," 202,000"," DecemberÂ 31, 2014","Deerfield,IL,UnitedStates",Pharmaceutical Retailers,$40.55 B,"Walgreens Boots Alliance, Inc.",WBA
273, Mr. Arthur William Stein,United States," 3,030", 2004,"SanFrancisco,CA,UnitedStates",REITâOffice,$40.64 B,"Digital Realty Trust, Inc.",DLR
274,,Singapore," 29,622",,"Singapore,Singapore",Banks,$40.77 B,Oversea-Chinese Banking Corp Ltd,O39
275, Mr. David L. Gitlin,United States," 58,000"," JuneÂ 26, 1915","PalmBeachGardens,FL,UnitedStates",Building Products & Equipment,$40.79 B,Carrier Global Corporation,CARR
276, Mr. Thomas P. Gibbons,United States," 49,100"," JulyÂ 1, 2007","NewYork,NY,UnitedStates",Asset Management,$40.83 B,The Bank of New York Mellon Corporation,BK
277,,China," 5,696",,"Shanghai,China",Internet Content & Information,$40.83 B,"East Money Information Co.,Ltd.",300059
278, Mr. Gregory Q. Brown,United States," 18,700"," January 4, 2011","Chicago,IL,UnitedStates",Communication Equipment,$40.87 B,"Motorola Solutions, Inc.",MSI
279,,Russia,,,"Moscow,Russia",Other Industrial Metals & Mining,$41.16 B,MMC Norilsk Nickel PJSC,GMKN
280, Mr. Steven J. A. van Rijswijk,Netherlands," 57,000",,"Amsterdam,Netherlands",Banks,$41.25 B,ING Groep N.V.,INGA
281, Mr. Joseph W. Gorder,United States," 9,794"," JanuaryÂ 1, 1980","SanAntonio,TX,UnitedStates",Oil & Gas Refining & Marketing,$41.27 B,Valero Energy Corporation,VLO
282,,Hong Kong," 9,396",,"Central,HongKong",Banks,$41.47 B,Hang Seng Bank Limited,0011
283, Mr. Thomas Joseph Wilson II,United States," 54,300"," AprilÂ 17, 1931","Northbrook,IL,UnitedStates",InsuranceâProperty & Casualty,$41.54 B,The Allstate Corporation,ALL
284, Mr. Alan S. Armstrong,United States," 4,783", 1908,"Tulsa,OK,UnitedStates",Oil & Gas Midstream,$41.60 B,"The Williams Companies, Inc.",WMB
285, Mr. Richard E. Muncrief,United States," 1,600", 1971,"OklahomaCity,OK,UnitedStates",Oil & Gas E&P,$41.82 B,Devon Energy Corporation,DVN
286, Mr. Jean-Marc  Chery,Switzerland," 48,254",,"Geneva,Switzerland",Semiconductors,$41.91 B,STMicroelectronics N.V.,STM
287, Prof. Ugur  Sahin M.D.,Germany," 2,800", 2008,"Mainz,Germany",Biotechnology,$41.93 B,BioNTech SE,22UA
288, Mr. Rocco  Gori,Canada," 38,000"," JuneÂ 23, 1887","Toronto,ON,Canada",InsuranceâLife,$41.98 B,Manulife Financial Corporation,MFC
289, Mr. William Rodney McMullen,United States," 500,000", 1883,"Cincinnati,OH,UnitedStates",Grocery Stores,$42.03 B,The Kroger Co.,KR
290, Mr. Kevin P. Hourican,United States," 58,000"," MarchÂ 19, 1969","Houston,TX,UnitedStates",Food Distribution,$42.22 B,Sysco Corporation,SYY
291, Dr. Ge  Li Ph.D.,China," 34,912",,"Shanghai,China",Diagnostics & Research,$42.25 B,WuXi AppTec Co. Ltd,603259
292, Mr. Christopher J. Nassetta,United States," 142,000"," MayÂ 31, 1919","McLean,VA,UnitedStates",Lodging,$42.39 B,Hilton Worldwide Holdings Inc.,HLT
293, Mr. Jens Bjorn Andersen,Denmark," 77,958",,"Hedehusene,Denmark",Integrated Freight & Logistics,$42.49 B,DSV PANALPINA A-S,DSV
294,,Japan," 58,975",,"Tokyo,Japan",Grocery Stores,$42.53 B,Seven & i Holdings Co. Ltd,3382
295, Mr. Jeffrey L. Harmening,United States," 35,000"," JuneÂ 20, 1866","Minneapolis,MN,UnitedStates",Packaged Foods,$42.65 B,"General Mills, Inc.",GIS
296," Mr. Charles Victor Magro B.Sc. (Chem), MBA",United States," 21,000", 2019,"Wilmington,DE,UnitedStates",Agricultural Inputs,$42.66 B,"Corteva, Inc.",CTVA
297,,China," 46,631",,"Xi'an,China",Semiconductor Equipment & Materials,$42.68 B,LONGi Green Energy Technology Co. Ltd,601012
298, Mr. Rodney Cyril Sacks,United States," 3,458", 1935,"Corona,CA,UnitedStates",BeveragesâNon-Alcoholic,$42.81 B,Monster Beverage Corporation,MNST
299,,China," 34,389",,"Shanghai,China",Packaged Foods,$42.84 B,Yihai Kerry Arawana Holdings Co. Ltd,300999
300, Mr. Eiichiro  Ikeda,Japan," 37,245",,"Tokyo,Japan",Medical Instruments & Supplies,$42.88 B,HOYA Corp,7741
301, Mr. Jon  Vander Ark,United States," 35,000"," JulyÂ 2, 1998","Phoenix,AZ,UnitedStates",Waste Management,$42.91 B,"Republic Services, Inc.",RSG
302, Mr. Robert G. Scott,Australia," 122,000", 1914,"Perth,WA,Australia",Home Improvement Retail,$43.09 B,Wesfarmers Limited,WES
303, Mr. Jun  Lei,China," 33,427",,"Beijing,China",Consumer Electronics,$43.10 B,Xiaomi Corp,1810
304, Mr. Michael D. Hsu,United States," 45,000", 1872,"Dallas,TX,UnitedStates",Household & Personal Products,$43.21 B,Kimberly-Clark Corporation,KMB
305, Mr. Steven J. Kean,United States," 10,529", 1997,"Houston,TX,UnitedStates",Oil & Gas Midstream,$43.38 B,"Kinder Morgan, Inc.",KMI
306,,Japan," 77,398",,"Nagaokakyo,Japan",Electronic Components,$43.41 B,Murata Manufacturing Co. Ltd,6981
307, Dr. Dennis Mark Bristow,Canada," 18,421", 1983,"Toronto,ON,Canada",Gold,$43.50 B,Barrick Gold Corporation,ABX
308, Mr. Daniel Paul Amos,United States," 12,447"," NovemberÂ 17, 1955","Columbus,GA,UnitedStates",InsuranceâLife,$43.59 B,Aflac Incorporated,AFL
309, Mr. David E. Simon,United States," 2,400", 1993,"Indianapolis,IN,UnitedStates",REITâRetail,$43.69 B,"Simon Property Group, Inc.",SPG
310,,United Kingdom," 57,955",,"London,UnitedKingdom",Banks,$43.70 B,Lloyds Banking Group plc,LLOY
311," Mr. Bradford Leon Banducci BComm (Acc), LLB, MBA",Australia," 210,067", 22Â September 1924,"BellaVista,NSW,Australia",Grocery Stores,$35.33 B,Woolworths Group Limited,WOW
312, Dr. Gary S. Guthart Ph.D.,United States," 9,793", 1995,"Sunnyvale,CA,UnitedStates",Medical Instruments & Supplies,$35.37 B,"Intuitive Surgical, Inc.",ISRG
313, Mr. Brian J. Cassin,Ireland," 20,000", 1996,"Dublin,Ireland",Consulting Services,$35.40 B,Experian plc,EXPN
314," Mr. Michael J. Farrell BE, MBA, SM",United States," 7,970", 1989,"SanDiego,CA,UnitedStates",Medical Instruments & Supplies,$35.44 B,ResMed Inc.,RMD
315, Mr. Peter Z. E. Vanacker,Finland," 4,719",,"Espoo,Finland",Oil & Gas Refining & Marketing,$35.57 B,Neste Oyj,NESTE
316,,China," 12,614",,"Fenyang,China",BeveragesâWineries & Distilleries,$35.84 B,"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",600809
317, Mr. Brian  Armstrong,United States," 3,730",,"Wilmington,DE,UnitedStates",SoftwareâApplication,$35.86 B,"Coinbase Global, Inc.",COIN
318, Mr. William  Li,China," 7,763", NovemberÂ 2014,"Shanghai,China",Auto Manufacturers,$35.86 B,NIO Limited,NIO
319, Mr. Matthew  Prince,United States," 2,440", JulyÂ 2009,"SanFrancisco,CA,UnitedStates",SoftwareâInfrastructure,$35.92 B,"Cloudflare, Inc.",NET
320,,France," 98,105",,"Paris,France",Packaged Foods,$35.93 B,Danone SA,BN
321, Mr. Kenneth Todd Lane,United States," 19,100", 2007,"Houston,TX,UnitedStates",Specialty Chemicals,$35.96 B,LyondellBasell Industries N.V.,LYB
322, Mr. Worthing F. Jackman,United States," 19,998"," 1997 in Folsom, California",,Waste Management,$36.14 B,"Waste Connections, Inc.",WCN
323, Dr. Kevin M. Stein Ph.D.,United States," 13,300", 1993,"Cleveland,OH,UnitedStates",Aerospace & Defense,$36.14 B,TransDigm Group Incorporated,TDG
324, Dr. Ralph  Izzo Ph.D.,United States," 12,684", 1903,"Newark,NJ,UnitedStates",UtilitiesâDiversified,$36.28 B,Public Service Enterprise Group Incorporated,PEG
325," Mr. Darren  Entwistle B.A., LL.D., M.B.A.",Canada," 90,800", 1990,"Vancouver,BC,Canada",Telecom Services,$36.37 B,TELUS Corporation,T
326,,China," 59,159",,"Hohhot,China",Packaged Foods,$36.61 B,Inner Mongolia Yili Industrial Group Co. Ltd,600887
327,,Canada," 16,000", 1995,"Toronto,ON,Canada",SoftwareâApplication,$36.67 B,Constellation Software Inc.,CSU
328,,China," 61,686",,"Shanghai,China",Banks,$36.72 B,Shanghai Pudong Development Bank Co. Ltd,600000
329, Mr. Tony  Xu,United States," 8,600", JanuaryÂ 2013,"SanFrancisco,CA,UnitedStates",Internet Content & Information,$36.74 B,"DoorDash, Inc.",DASH
330, Dr. Torsten  Jeworrek,Germany," 39,281",,"Munich,Germany",InsuranceâReinsurance,$36.89 B,MÃ¼nchener RÃ¼ckversicherungs-Gesellschaft Aktiengesellschaft in MÃ¼nchen,MUV2
331,,China, 57,,"Beijing,China",Railroads,$36.90 B,"Beijing-Shanghai High-Speed Railway Co.,Ltd.",601816
332,,China," 28,903",,"Lianyungang,China",Drug ManufacturersâGeneral,$36.90 B,Jiangsu Hengrui Medicine Co. Ltd,600276
333, Mr. Satoru  Komiya,Japan," 43,257",,"Tokyo,Japan",InsuranceâProperty & Casualty,$36.99 B,"Tokio Marine Holdings, Inc.",8766
334, Mr. Thomas L. Williams,United States," 54,640"," 1917, Cleveland, Ohio, U.S.","Cleveland,OH,UnitedStates",Specialty Industrial Machinery,$37.05 B,Parker-Hannifin Corporation,PH
335,,Japan," 20,619",,"Tokyo,Japan",Specialty Industrial Machinery,$37.08 B,SMC Corp,6273
336, Mr. David S. Regnery,Ireland," 37,000", 1871,"Swords,Ireland",Specialty Industrial Machinery,$37.36 B,Trane Technologies plc,TT
337, Mr. Greg C. Garland,United States," 14,000", 1927,"Houston,TX,UnitedStates",Oil & Gas Refining & Marketing,$37.51 B,Phillips 66,PSX
338, Mr. Andrew  Wilson,United States," 11,000"," MayÂ 27, 1982","RedwoodCity,CA,UnitedStates",Electronic Gaming & Multimedia,$37.38 B,Electronic Arts Inc.,EA
339,,Indonesia," 79,398",,"Jakarta,Indonesia",Banks,$37.51 B,PT Bank Rakyat Indonesia (Persero) Tbk,BYRA
340, Dr. Joachim  Kreuzburg,France," 10,409",,"Aubagne,France",Medical Instruments & Supplies,$37.55 B,Sartorius Stedim Biotech SA,DIM
341, Mr. Dominic  Blakemore,United Kingdom," 480,000", 1941,"Chertsey,UnitedKingdom",Restaurants,$37.73 B,Compass Group plc,CPG
342," Mr. Sunao  Manabe D.V.M., Ph.D.",Japan," 16,033",,"Tokyo,Japan",Drug ManufacturersâGeneral,$37.79 B,Daiichi Sankyo Company Ltd,4568
343, Mr. Aiman  Ezzat,France," 324,700",,"Paris,France",Information Technology Services,$37.82 B,Capgemini SE,CAP
344, Mr. Jeffrey A. Stoops,United States," 1,596",,"BocaRaton,FL,UnitedStates",REITâSpecialty,$37.93 B,SBA Communications Corporation,SBAC
345, Mr. Michael A. Witynski,United States," 61,886", 1986,"Chesapeake,VA,UnitedStates",Discount Stores,$38.00 B,"Dollar Tree, Inc.",DLTR
346, Mr. Philippe  Brassac,France," 75,975",,"Montrouge,France",Banks,$38.01 B,CrÃ©dit Agricole SA,ACA
347, Mr. Martin  Lundstedt M.Sc.,Sweden," 92,144",,"Gothenburg,Sweden",Farm & Heavy Construction Machinery,$38.13 B,AB Volvo,VOL4
348, Mr. Yixiao  Cheng,China," 27,125",,"Beijing,China",Broadcasting,$38.15 B,Kuaishou Technology,1024
349, Mr. Michael Saul Dell,United States," 133,000"," SeptemberÂ 7, 2016","RoundRock,TX,UnitedStates",Computer Hardware,$38.16 B,Dell Technologies Inc.,DELL
350, Mr. Onur  Genc,Spain," 110,432",,"Bilbao,Spain",Banks,$38.25 B,"Banco Bilbao Vizcaya Argentaria, SA",BBVA
351, Mr. Lorenzo  Simonelli,United States," 54,000", 1907,"Houston,TX,UnitedStates",Oil & Gas Equipment & Services,$38.39 B,Baker Hughes Company,BKR
352,,Colombia," 18,000", 1921,"BogotÃÂ¡,Colombia",                                        Oil & Gas Integrated                                    ,$38.69 B,Ecopetrol SA,EC
353, Mr. David J. Endicott,Switzerland," 24,389"," 1945, Fort Worth, Texas, United States","Geneva,Switzerland",Medical Instruments & Supplies,$38.90 B,Alcon Inc.,ALC
354,,United Kingdom," 23,000", 1848,"London,UnitedKingdom",InsuranceâLife,$39.00 B,Prudential plc,PRU
355, Ms. Ester  Baiget,Denmark," 6,184",,"Bagsvaerd,Denmark",Chemicals,$39.03 B,Novozymes A-S,NZYM.B
356,,Switzerland," 16,842",,"Vernier,Switzerland",Specialty Chemicals,$39.29 B,Givaudan SA,GIVN
357, Mr. Jamie J. Iannone,United States," 10,800"," SeptemberÂ 3, 1995","SanJose,CA,UnitedStates",Internet Retail,$39.34 B,eBay Inc.,EBAY
358, Mr. Brian P. Hannasch,Canada," 98,000", 1980,"Laval,QC,Canada",Grocery Stores,$39.56 B,Alimentation Couche-Tard Inc.,ATD.B
359, Mr. Christian  Sinding,Japan," 1,059",,"Tokyo,Japan",Asset Management,$39.71 B,EQT AB,6EQ
