"IPO Year","Number of Employees","Country","CEO","Founded Year","Market Value","Name"
"","24,700",USA,Richard Adkerson,1988,61.50 Billion USD,FREEPORT-MCMORAN
"","191,189",Spain,Jose Antonio Alvarez,1857,61.03 Billion USD,BANCO SANTANDER
2021,"3,730",USA,Brian Armstrong,2012,60.85 Billion USD,"COINBASE GLOBAL, INC"
"","95,850",Sweden,Martin Lundstedt,1927,60.85 Billion USD,AB VOLVO
"","217,731",France,Xavier Huillard,1899,60.65 Billion USD,VINCI
"","18,500",France,Alexandre Ricard,1975,60.06 Billion USD,PERNOD RICARD
"","41,000",USA,Michael F. Mahoney,1979,60.01 Billion USD,BOSTON SCIENTIFIC CORPORATION
"","17,000",Saudi Arabia,Olayan M. Alwetaid,1998,59.86 Billion USD,SAUDI TELECOM COMPANY (STC)
"","90,000",UK,DUNCAN WANBLAD,1917,59.39 Billion USD,ANGLO AMERICAN
"","50,288",Germany,Reinhard Ploss,1999,59.35 Billion USD,INFINEON TECHNOLOGIES AG
"","101,000",Russia,Vagit Alekperov,1991,59.25 Billion USD,PJSC LUKOIL
"","47,313",Japan,Masayoshi Son,1981,59.24 Billion USD,SOFTBANK CORP.
"","103,100",USA,Phebe Novakovic,1952,59.22 Billion USD,GENERAL DYNAMICS CORPORATION
"","2,700",Australia,Peter Kenneth Allen,2014,59.07 Billion USD,SCENTRE GROUP
2010,"31,000",Netherlands,"Kurt Sievers
Richard L. Clemmer",2006,58.86 Billion USD,NXP SEMICONDUCTORS
"","245,642",India,Vinay M Tonse,1955,58.77 Billion USD,STATE BANK OF INDIA
2015,"33,500",UK,Erik Engstrom,1993,58.74 Billion USD,RELX
"","33,427",China,Lei Jun,2010,58.45 Billion USD,XIAOMI CORPORATION
"","17,209",Australia,Shemara Wikramanayake,1969,116.67 Billion USD,MACQUARIE GROUP
2000,"7,800",USA,Francis deSouza,1998,57.89 Billion USD,ILLUMINA
"","11,500",USA,Andrew Anagnost,1982,57.70 Billion USD,AUTODESK
"","16,218",Switzerland,Pierre-Alain Ruffieux,1897,57.62 Billion USD,LONZA GROUP
"","37,506",Australia,Shayne Elliott,1835,57.48 Billion USD,ANZ BANKING GROUP
"","2,800",USA,Ezra Yacob,1999,57.43 Billion USD,EOG RESOURCES
2002,"281,192",China,Jie Yang,1995,57.14 Billion USD,CHINA TELECOM CORPORATION
"","40,143",Australia,Peter King,1982,57.03 Billion USD,WESTPAC BANKING CORPORATION
"","86,700",USA,Lal Karsanbhai,1890,57.00 Billion USD,EMERSON ELECTRIC COMPANY
2000,"43,000",USA,Michel A. Khalaf,1868,56.58 Billion USD,METLIFE
1991,"3,900",USA,Reshma Kewalramani,1989,56.41 Billion USD,VERTEX PHARMACEUTICALS
"","9,276",China,"",1949,56.40 Billion USD,SHANXI XINGHUACUN FEN WINE FACTORY
1997,"57,000",Netherlands,Steven van Rijswijk,1991,56.18 Billion USD,ING GROUP
"","380,714",Japan,Toshiaki Higashihara,1910,56.15 Billion USD,HITACHI
"","14,100",Germany,Rolf Habben Jansen,1970,56.00 Billion USD,HAPAG-LLOYD
"","45,282",Canada,Victor G. Dodig,1961,55.94 Billion USD,CANADIAN IMPERIAL BANK OF COMMERCE
"","101,000",USA,George Oliver,1885,55.83 Billion USD,JOHNSON CONTROLS INTERNATIONAL
"","",China,"",2005,55.66 Billion USD,"YIHAI KERRY ARAWANA HOLDINGS CO., LTD"
"","9,709",Canada,Tim S McKay,1973,55.65 Billion USD,CANADIAN NATURAL RESOURCES
"","2,980",Austria,Michael Strugl,1947,55.64 Billion USD,VERBUND AG
"","24,848",Switzerland,Paul Schuler,1910,55.61 Billion USD,SIKA AG
"","31,518",USA,Christopher M. Crane,2000,55.41 Billion USD,EXELON CORPORATION
"","",Russia,"",1996,55.25 Billion USD,OPEN JOINT STOCK COMPANY OMZ
2009,"158,000",USA,Todd J Vasos,1939,55.21 Billion USD,DOLLAR GENERAL CORPORATION
"","5,451",UAE,Hana Al Rostamani,2017,55.05 Billion USD,FIRST ABU DHABI BANK
"","5,300",USA,Stefan Bird,1910,55.00 Billion USD,PACIFICORP
"","45,000",Canada,Steve Hasker,2008,54.85 Billion USD,THOMSON REUTERS CORPORATION
"","62,285",Germany,Kasper Rorsted,1924,54.84 Billion USD,ADIDAS
"","4,553",China,"",2004,54.82 Billion USD,EAST MONEY INFORMATION
2007,"15,500",Argentina,Stelleo Passos Tolda,1999,54.77 Billion USD,MERCADOLIBRE
"","6,574",Japan,Shuntaro Furukawa,1889,54.63 Billion USD,NINTENDO
"","99,538",Germany,Werner Baumann,1863,54.46 Billion USD,BAYER
"","76,800",France,Olivier Andries,2005,54.38 Billion USD,SAFRAN
"","3,228",China,"",1573,54.32 Billion USD,LUZHOU LAOJIAO
"","120,000",USA,Anthony Capuano,1927,54.28 Billion USD,MARRIOTT INTERNATIONAL
"","231,671",India,Thierry Delaporte,1945,54.26 Billion USD,WIPRO
"","105,615",Italy,Carlo Messina,2007,53.95 Billion USD,INTESA SANPAOLO
"","63,174",China,"",1984,53.66 Billion USD,GREAT WALL MOTOR COMPANY
"","57,727",Japan,Tadashi Yanai,1963,53.64 Billion USD,FAST RETAILING
"","24,158",UK,David Schwimmer,2007,53.54 Billion USD,LONDON STOCK EXCHANGE GROUP
"","601,276",Taiwan,Yang-wei Liu,1974,53.43 Billion USD,HON HAI PRECISION INDUSTRY
2005,"41,000",China,Robin Li,2000,53.37 Billion USD,BAIDU
"","7,664",Japan,Tatsuro Kosaka,1943,53.00 Billion USD,CHUGAI PHARMACEUTICAL
"","3,300",USA,David Simon,1993,53.00 Billion USD,SIMON PROPERTY GROUP
"","27,500",USA,Robert Gamgort,1981,52.89 Billion USD,KEURIG DR PEPPER
"","121,925",China,"",1993,52.74 Billion USD,S.F. HOLDING
"","211,000",USA,"","","",IKEA
"","56,000",Denmark,Jens Bjorn Andersen,1976,52.51 Billion USD,DSV PANALPINA
"","38,600",China,XIE Yonglin,1995,52.30 Billion USD,PING AN BANK
"","23,683",UK,John Pettigrew,1990,52.12 Billion USD,NATIONAL GRID TRANSCO
2012,"10,473",USA,Nikesh Arora,2005,51.85 Billion USD,PALO ALTO NETWORKS
"","89,000",Switzerland,Terrence Curtin,2007,51.74 Billion USD,TE CONNECTIVITY
"","31,495",Italy,Claudio Descalzi,1953,51.73 Billion USD,ENI S.P.A.
"","137,284",China,"",2004,51.65 Billion USD,LUXSHARE PRECISION INDUSTRY
"","17,917",India,Gopal Vittal,1995,51.52 Billion USD,BHARTI AIRTEL
"","49,100",USA,Thomas P Gibbons,2007,51.47 Billion USD,THE BANK OF NEW YORK MELLON CORPORATION
2009,"9,700",USA,Ken Xie,2000,51.45 Billion USD,FORTINET
"","1,941",Germany,"",2008,51.38 Billion USD,BIONTECH SE
"","37,245",Japan,Hiroshi Suzuki,1941,51.22 Billion USD,HOYA CORPORATION
"","28,000",Qatar,Abdulla Mubarak Al-Khalifa,1964,51.15 Billion USD,QATAR NATIONAL BANK
"","6,269",USA,Eric Yuan,2011,51.14 Billion USD,ZOOM VIDEO COMMUNICATIONS
"","7,130",USA,A. James Teague,1968,51.06 Billion USD,ENTERPRISE PRODUCTS PARTNERS
"","87,828",China,Deqi Ren,1908,51.06 Billion USD,BANK OF COMMUNICATIONS
"","24,431",China,"",1997,51.00 Billion USD,JIANGSU HENGRUI MEDICINE
"","61,576",UK,Charlie Nunn,2009,51.00 Billion USD,LLOYDS BANKING GROUP
"","211,374",Japan,Toshihiro Mibe,1946,50.89 Billion USD,HONDA MOTOR
"","75,184",Japan,Tsuneo Murata,1944,50.87 Billion USD,MURATA MANUFACTURING
1992,"16,361",USA,Chi-Foon Chan,1986,50.69 Billion USD,SYNOPSYS
"","15,392",China,"",1998,50.60 Billion USD,WANHUA CHEMICAL GROUP
2007,"34,000",USA,Rangarajan Raghuram,1998,50.55 Billion USD,VMWARE
"","8,034",Japan,Toshio Kagami,1960,50.54 Billion USD,ORIENTAL LAND
"","71,000",India,Uday Kotak,2003,50.49 Billion USD,KOTAK MAHINDRA BANK
"","36,600",USA,Peter Zaffino,1919,50.43 Billion USD,AMERICAN INTERNATIONAL GROUP (AIG)
1996,"16,000",UK,Lance Uggla,1959,50.25 Billion USD,IHS MARKIT
"","33,305",China,"",2000,50.14 Billion USD,WUXI APPTEC
"","9,800",USA,Bobby Kotick,2008,49.88 Billion USD,ACTIVISION BLIZZARD
"","4,092",USA,Hilton Schlosberg,1935,49.77 Billion USD,MONSTER BEVERAGE CORPORATION
"","",UAE,"","","",FIRST GULF BANK
"","13,777",Mexico,Oscar Gonzalez Rocha,1952,49.75 Billion USD,SOUTHERN COPPER CORPORATION
"","28,051",Finland,"Frank Vang-Jensen
Casper von Koskull",2000,49.61 Billion USD,NORDEA BANK ABP
"","18,687",UK,Charles F. Lowrey,1848,49.34 Billion USD,PRUDENTIAL
"","86,800",Japan,Makoto Takashima,2002,49.24 Billion USD,SUMITOMO MITSUI FINANCIAL GROUP
2001,"18,703",China,Yang Hua,1999,49.17 Billion USD,CNOOC LIMITED
"","92,000",USA,Olivier Le Peuch,1926,49.13 Billion USD,SCHLUMBERGER
"","90,000",USA,Richard Adam Norwitt,1932,49.11 Billion USD,AMPHENOL CORPORATION
2013,"79,000",USA,Ari Bousbib,1982,49.08 Billion USD,IQVIA HOLDINGS
2021,"1,600",USA,David Baszucki,2004,48.84 Billion USD,ROBLOX CORP
"","11,380",China,"",1995,48.79 Billion USD,CITIC SECURITIES COMPANY
1992,"18,400",USA,Neil Hunn,1981,48.67 Billion USD,ROPER TECHNOLOGIES
"","1,932",USA,Scott D. Sheffield,1997,48.60 Billion USD,PIONEER NATURAL RESOURCES COMPANY
"","45,000",USA,Michael D. Hsu,1872,48.40 Billion USD,KIMBERLY-CLARK CORPORATION
"",710,Sweden,Christian Sinding,1994,48.28 Billion USD,EQT AB (PUBL)
1990,"4,891",USA,Victor Peng,1984,48.22 Billion USD,XILINX
"","82,997",Japan,Takehiko Kakiuchi,1950,48.17 Billion USD,MITSUBISHI CORPORATION
"","7,283",Canada,Francois Poirier,1951,47.88 Billion USD,TC ENERGY CORPORATION
"","402,000",Germany,"","","",EDEKA GROUP
"","122,000",Australia,Rob Scott,1914,47.59 Billion USD,WESFARMERS
"","83,000",UK,C. S. Venkatakrishnan,1896,47.54 Billion USD,BARCLAYS PLC
"","52,100",Canada,Mirko Bibic,1983,47.39 Billion USD,BCE (Bell Canada Enterprises)
"","14,400",USA,Tom Palmer,1921,47.39 Billion USD,NEWMONT CORPORATION
"",282,UK,Simon A Borrows,1945,47.30 Billion USD,3I GROUP
"","75,901",Russia,Vladimir Potanin,1993,47.23 Billion USD,MMC NORILSK NICKEL
"","210,966",India,C Vijayakumar,1976,46.93 Billion USD,HCL TECHNOLOGIES
"","6,429",Denmark,Mads Nipper,2006,46.81 Billion USD,ORSTED A/S
"","95,500",USA,Bruce D. Broussard,1961,46.68 Billion USD,HUMANA
1991,"10,350",USA,Jay Mazelsky,1983,46.66 Billion USD,IDEXX LABORATORIES
"","7,763",China,"",2014,46.60 Billion USD,NIO INC
"","2,730",South Korea,John Rim,2011,46.57 Billion USD,SAMSUNG BIOLOGICS
"","277,000",USA,Rosalind Brewer,2014,46.52 Billion USD,WALGREENS BOOTS ALLIANCE
1983,"15,000",USA,Martin Mucci,1971,46.48 Billion USD,PAYCHEX
"","50,319",China,"",1992,46.40 Billion USD,MUYUAN FOODS
"","73,037",France,Philippe Brassac,1894,46.25 Billion USD,CREDIT AGRICOLE
"","9,300",USA,Bill Newlands,1995,46.22 Billion USD,CONSTELLATION BRANDS
"","16,842",Switzerland,Gilles Andrier,1895,46.07 Billion USD,GIVAUDAN SA
"","9,300",USA,Anirudh Devgan,1988,46.01 Billion USD,CADENCE DESIGN SYSTEMS
1993,"83,636",USA,Gregory D. Johnson,1957,45.97 Billion USD,O'REILLY AUTOMOTIVE
"","7,600",India,Amit Syngle,1942,45.95 Billion USD,ASIAN PAINTS
2007,"25,000",Canada,"",1998,45.93 Billion USD,LULULEMON ATHLETICA
"","9,500",USA,"",2002,"",SPACEX
"","7,802",USA,"",2010,"",STRIPE
1998,"330,600",USA,Brian Humphries,1994,45.92 Billion USD,COGNIZANT TECHNOLOGY SOLUTIONS
"","128,146",Japan,Masahiro Okafuji,1949,45.88 Billion USD,ITOCHU CORPORATION
2011,"151,000",Ireland,Kevin P. Clark,1994,45.84 Billion USD,APTIV
"","36,000",USA,Miguel Patricio,2015,45.72 Billion USD,KRAFT HEINZ COMPANY
2004,"3,030",USA,A. William Stein,2001,45.71 Billion USD,DIGITAL REALTY TRUST
2005,"7,000",USA,Kevin R. Sayer,1999,45.70 Billion USD,DEXCOM
"","4,303",USA,Henry A. Fernandez,1969,45.51 Billion USD,MSCI
2021,"50,000",South Korea,Bom Suk Kim,2010,45.49 Billion USD,"COUPANG, INC."
1993,"19,500",USA,Ganesh Moorthy,1989,45.46 Billion USD,MICROCHIP TECHNOLOGY
"","48,254",Switzerland,Jean-Marc Chery,1987,45.43 Billion USD,STMICROELECTRONICS
2020,"8,600",USA,Tony Xu,2013,45.38 Billion USD,DOORDASH
"","16,688",USA,Nick Akins,1906,45.07 Billion USD,AMERICAN ELECTRIC POWER COMPANY
"","10,164",Australia,Elizabeth Gaines,2003,45.03 Billion USD,FORTESCUE METALS GROUP
2006,"97,660",USA,Brian Niccol,1993,44.96 Billion USD,CHIPOTLE MEXICAN GRILL
"","8,619",USA,"","","",TRAFIGURA
"","37,000",Ireland,"",1871,44.96 Billion USD,TRANE TECHNOLOGIES PLC
"","18,000",USA,"",2002,"",LINKEDIN
"","58,000",USA,David Gitlin,1915,44.92 Billion USD,CARRIER GLOBAL
"","3,200",USA,Olivier Pomel,2010,44.87 Billion USD,DATADOG
"","72,500",USA,Michael F. Neidorff,1984,44.55 Billion USD,CENTENE CORPORATION
"","403,000",Bermuda,Benjamin William Keswick,1832,44.51 Billion USD,JARDINE MATHESON HOLDINGS
"","158,000",USA,Michael S. Dell,1984,44.30 Billion USD,DELL TECHNOLOGIES
"","12,561",South Korea,Hak Cheol Shin,1947,44.15 Billion USD,LG CHEM
"","4,537",USA,Jeffrey W. Martin,1998,44.14 Billion USD,SEMPRA ENERGY
"","61,531",Indonesia,"",1895,44.01 Billion USD,PT BANK RAKYAT INDONESIA (PERSERO) TBK
1986,"7,529",USA,William J Stromberg,1937,43.91 Billion USD,T. ROWE PRICE GROUP
1999,"17,000",USA,Michael R. McMullen,1999,43.84 Billion USD,AGILENT TECHNOLOGIES
"","60,000",USA,Jose E. Almeida,1931,43.79 Billion USD,BAXTER INTERNATIONAL
"","35,700",USA,Fitterling,2019,43.71 Billion USD,DOW Inc
"","17,700",USA,Michael J. Hennigan,2009,43.66 Billion USD,MARATHON PETROLEUM CORPORATION
"","5,544",China,"",2014,43.63 Billion USD,WUXI BIOLOGICS (CAYMAN)
"","25,000",USA,Jeffrey S. Sloan,1967,43.58 Billion USD,GLOBAL PAYMENTS
"","26,852",China,"",2005,43.54 Billion USD,COSCO SHIPPING HOLDINGS
"","40,916",USA,Charles F. Lowrey,1875,43.39 Billion USD,PRUDENTIAL FINANCIAL
"","464,000",Hong Kong,David Hsu,1832,37.91 Billion USD,JARDINE STRATEGIC HOLDINGS
"","3,394",USA,George Kurtz,2011,43.34 Billion USD,CROWDSTRIKE HOLDINGS
"","99,299",China,"",1984,43.25 Billion USD,HAIER SMART HOME
"","21,456",Japan,Katsunori Maruyama,1959,43.22 Billion USD,SMC CORPORATION
"","39,642",Germany,Joachim Wenning,1880,43.18 Billion USD,MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT
2021,"",Brazil,David Velez Osorno,2013,43.14 Billion USD,NU HOLDINGS LTD.
2001,"22,540",USA,Joseph M. Hogan,1997,43.13 Billion USD,ALIGN TECHNOLOGY
"","47,000",USA,Chris Kubasik,2019,43.12 Billion USD,L3HARRIS TECHNOLOGIES
2017,"28,000",USA,Edward D. Breen,1897,43.10 Billion USD,DUPONT DE NEMOURS
"","47,000",Japan,Christophe Weber,1781,43.09 Billion USD,TAKEDA PHARMACEUTICAL COMPANY
"","6,567",USA,Gregory W. Becker,1983,43.03 Billion USD,SVB FINANCIAL GROUP
"","105,000",UK,Nick Read,1982,43.01 Billion USD,VODAFONE GROUP
2018,"6,617",Sweden,Daniel Ek,2006,42.83 Billion USD,SPOTIFY TECHNOLOGY
"","17,800",Ireland,Brian Cassin,1996,42.82 Billion USD,EXPERIAN
"","18,700",USA,Greg Brown,2011,42.66 Billion USD,MOTOROLA SOLUTIONS
1998,"35,000",USA,Jon Vander Ark,1998,42.42 Billion USD,REPUBLIC SERVICES
2016,"142,000",USA,Christopher J. Nassetta,1919,42.37 Billion USD,HILTON WORLDWIDE HOLDINGS
"","131,000",Canada,Brian P. Hannasch,1980,42.17 Billion USD,ALIMENTATION COUCHE-TARD
"","4,076",South Korea,Choi Soo-yeon,1999,42.08 Billion USD,NAVER CORPORATION
"","12,874",Japan,Kentaro Kawabe,1996,41.97 Billion USD,Z HOLDINGS CORPORATION
"","10,622",Germany,Rolf Eberhard Buch,2001,41.88 Billion USD,VONOVIA SE
"","51,000",USA,Enrique Lores,1939,41.85 Billion USD,HP INC
2014,"191,752",UK,"",2014,36.50 Billion USD,FIAT CHRYSLER AUTOMOBILES
"","54,640",USA,Thomas L. Williams,1918,41.61 Billion USD,PARKER-HANNIFIN CORPORATION
"","110,432",Spain,Onur Genc,1999,41.59 Billion USD,BANCO BILBAO VIZCAYA ARGENTARIA
"","100,000",USA,William C. Rhodes III,1979,41.57 Billion USD,AUTOZONE
1998,"10,800",USA,Jamie Iannone,1995,41.52 Billion USD,EBAY
2011,"2,153",USA,Marc Rowan,1990,41.38 Billion USD,APOLLO GLOBAL MANAGEMENT
"","35,000",USA,Jeff Harmening,1928,41.36 Billion USD,GENERAL MILLS
"","58,000",USA,Kevin Hourican,1969,41.25 Billion USD,SYSCO CORPORATION
1983,"40,000",USA,Todd M. Schneider,1968,41.23 Billion USD,CINTAS CORPORATION
"","8,256",Japan,Yoshiharu Inaba,1958,41.13 Billion USD,FANUC CORPORATION
"","12,447",USA,Dan Amos,1955,41.12 Billion USD,AFLAC
"","478,070",UK,Dominic Blakemore,1941,41.11 Billion USD,COMPASS GROUP
"","1,567",India,Ignatius Navil Noronha,2000,41.07 Billion USD,AVENUE SUPERMARTS
2016,"7,867",USA,Jeff Lawson,2008,41.05 Billion USD,TWILIO
"","79,200",Ireland,Albert Manifold,1970,41.04 Billion USD,CRH PLC
"","71,504",South Korea,Chang Jae-hoon,1967,41.03 Billion USD,HYUNDAI MOTOR COMPANY
"","41,101",Japan,Satoru Komiya,1879,40.96 Billion USD,TOKIO MARINE HOLDINGS
"","30,800",USA,Alan D. Schnitzer,1853,40.90 Billion USD,THE TRAVELERS COMPANIES
"","101,911",Switzerland,Veronique Penchienati Bosetta,1919,40.80 Billion USD,DANONE
"","16,033",Japan,Sunao Manabe,2005,40.77 Billion USD,DAIICHI SANKYO COMPANY
2013,"50,479",Brazil,Jean Jereissati,1999,40.76 Billion USD,AMBEV
"","17,337",China,"",1997,40.67 Billion USD,BANK OF NINGBO
"","3,238",USA,Henry R. Kravis,1976,40.66 Billion USD,KKR & CO
"","20,532",Sweden,Ola Rollen,1992,40.65 Billion USD,HEXAGON AB (PUBL)
"","1,519",Switzerland,David Layton,1996,40.54 Billion USD,PARTNERS GROUP HOLDING AG
"",371,USA,Sumit Roy,1969,40.40 Billion USD,REALTY INCOME CORPORATION
"","18,990",USA,Michele Buck,1894,40.35 Billion USD,THE HERSHEY COMPANY
"","59,052",China,"",1993,40.25 Billion USD,INNER MONGOLIA YILI INDUSTRIAL GROUP
2020,"3,676",China,"",2014,40.18 Billion USD,XPENG MOTORS
"","58,200",China,Ji Xiaohui,1993,40.06 Billion USD,SHANGHAI PUDONG DEVELOPMENT BANK
"","27,500",USA,Michael H. McGarry,1882,39.82 Billion USD,PPG INDUSTRIES
2014,"2,993",USA,Jayshree Ullal,2004,39.79 Billion USD,ARISTA NETWORKS
"","23,655",Switzerland,David J. Endicott,1945,39.77 Billion USD,ALCON
"","36,000",USA,David Gibbs,1997,39.68 Billion USD,YUM! BRANDS
2018,"23,100",Canada,"",2018,39.46 Billion USD,NUTRIEN
"","140,565",China,Yu Liang,1984,39.43 Billion USD,CHINA VANKE
"","30,538",Singapore,Helen Wong,1932,39.37 Billion USD,OVERSEA-CHINESE BANKING CORPORATION
"","37,000",Canada,Roy Gori,1887,39.26 Billion USD,MANULIFE FINANCIAL CORPORATION
2011,"10,529",USA,Steven J. Kean,1997,39.16 Billion USD,KINDER MORGAN
"","4,825",Finland,Peter Vanacker,2005,39.11 Billion USD,NESTE OYJ
"","138,808",Japan,Ryuichi Isaka,2005,39.10 Billion USD,SEVEN & I HOLDINGS
"","44,509",Japan,Tatsuo Yasunaga,1947,39.07 Billion USD,MITSUI & CO.
"","41,000",USA,Juan Ricardo Luciano,1902,39.06 Billion USD,ARCHER-DANIELS-MIDLAND COMPANY
1996,"3,837",USA,Ludwig N. Hantson,1992,39.00 Billion USD,ALEXION PHARMACEUTICALS
"","96,500",Brazil,Milton Maluhy Filho,2008,38.92 Billion USD,ITAU UNIBANCO HOLDING
"","15,026",China,"",2002,38.89 Billion USD,JIANGSU YANGHE BREWERY JOINT-STOCK
"","289,501",France,Aiman Ezzat,1967,38.88 Billion USD,CAPGEMINI SE
"","12,591",Canada,Mark S. Little,1917,38.70 Billion USD,SUNCOR ENERGY
"","9,016",Germany,Joachim Kreuzburg,1870,38.53 Billion USD,SARTORIUS STEDIM BIOTECH
"","111,247",China,Kong Qingwei,1991,38.51 Billion USD,CHINA PACIFIC INSURANCE GROUP (CPIC)
"","167,552",France,Benoit Bazin,1665,38.48 Billion USD,COMPAGNIE DE SAINT-GOBAIN
"","78,249",Switzerland,Dr. Detlef Trefzger,1890,38.47 Billion USD,KUEHNE + NAGEL INTERNATIONAL AG
"","34,352",UK,Kevin Murphy,1953,38.47 Billion USD,FERGUSON
1991,"23,663",USA,Greg C. Gantt,1934,38.25 Billion USD,OLD DOMINION FREIGHT LINE
"",464,USA,Shankh Mitra,1970,38.23 Billion USD,WELLTOWER
"","76,000",USA,Brian S. Tyler,1833,38.13 Billion USD,MCKESSON CORPORATION
"","33,300",China,"",2007,38.11 Billion USD,WILL SEMICONDUCTOR
"","24,500",USA,Blake D. Moret,1903,38.04 Billion USD,ROCKWELL AUTOMATION
"","33,916",Belgium,Johan Thijs,1935,38.02 Billion USD,KBC GROUP NV
2016,"1,967",USA,Jeff Green,2009,37.94 Billion USD,THE TRADE DESK
"",37,China,"","",37.94 Billion USD,"BEIJING-SHANGHAI HIGH-SPEED RAILWAY CO.,LTD."
"","26,969",India,Sanjiv Bajaj,2007,37.86 Billion USD,BAJAJ FINSERV
1999,"1,596",USA,Jeffrey Stoops,1989,37.85 Billion USD,SBA COMMUNICATIONS CORPORATION
"","204,815",China,Chen Hong,1995,37.82 Billion USD,SAIC MOTOR CORPORATION
"","14,915",Hong Kong,Gao Yingxin,2001,37.82 Billion USD,BOC HONG KONG
"","59,900",UK,Alison Rose,1968,37.79 Billion USD,NATWEST GROUP
"","",China,"",2011,37.73 Billion USD,KUAISHOU TECHNOLOCY
"","101,322",Sweden,Borje Ekholm,1876,37.53 Billion USD,ERICSSON
"","41,000",China,"",1994,37.36 Billion USD,ANTA SPORTS PRODUCTS
"","",China,"",1999,37.28 Billion USD,ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL. LTD
"","11,000",USA,Andrew Wilson,1982,37.27 Billion USD,ELECTRONIC ARTS
"","11,321",USA,Bob Frenzel,1999,37.22 Billion USD,XCEL ENERGY
"","88,846",China,Dong Mingzhu,1989,37.20 Billion USD,GREE ELECTRIC APPLIANCES
"","23,127",Netherlands,Dimitri de Vreeze,1902,37.19 Billion USD,DSM
"","39,000",USA,Ronald P. O'Hanley,1792,37.17 Billion USD,STATE STREET CORPORATION
"","24,315",USA,"","","",BLOOMBERG LP
"","10,000",Hong Kong,Louisa Cheang Wai Wan,1933,37.16 Billion USD,HANG SENG BANK
1985,"93,700",USA,Barbara Rentler,1982,37.10 Billion USD,ROSS STORES
"","34,523",Germany,"",2016,27.56 Billion USD,INNOGY SE
"","20,477",France,Jean-Bernard Levy,1946,37.06 Billion USD,EDF (ELECTRICITE DE FRANCE)
"","196,159",USA,Roger C Hochschild,1985,36.84 Billion USD,DISCOVER FINANCIAL SERVICES
"","803,126",China,"",2015,36.83 Billion USD,FOXCONN INDUSTRIAL INTERNET
"","61,380",Finland,Henrik Ehrnrooth,1910,36.77 Billion USD,KONE OYJ
"","19,386",UK,Brendan Horgan,1947,36.70 Billion USD,ASHTEAD GROUP
"","36,860",China,"",2000,36.68 Billion USD,ZIJIN MINING GROUP COMPANY
"","9,200",Norway,Kjerstin Braathen,1822,36.68 Billion USD,DNB ASA
2018,"3,153",USA,Jay Chaudhry,2007,36.64 Billion USD,ZSCALER
"","6,295",USA,Hafize Gaye Erkan,1985,36.59 Billion USD,FIRST REPUBLIC BANK
"","245,472",Japan,Masatsugu Nagato,2006,36.47 Billion USD,JAPAN POST BANK
"","171,000",France,Catherine MacGregor,2008,36.44 Billion USD,ENGIE
"","28,546",Hong Kong,Jan Craps,1888,36.33 Billion USD,BUDWEISER BREWING COMPANY APAC
"","2,837",South Korea,Yeo Min-soo,1995,36.17 Billion USD,KAKAO
"","3,400",USA,Andreas Fibig,1958,36.14 Billion USD,INTERNATIONAL FLAVORS & FRAGRANCES
2006,"13,300",USA,W. Nicholas Howley,1993,36.14 Billion USD,TRANSDIGM GROUP
"","70,000",USA,"",1853,36.13 Billion USD,OTIS WORLDWIDE CORPORATION
"","54,700",USA,Thomas J. Wilson,1931,36.11 Billion USD,ALLSTATE CORPORATION
"","36,500",India,Sanjiv Puri,1910,36.02 Billion USD,ITC
"","20,500",Canada,"",1995,35.94 Billion USD,CONSTELLATION SOFTWARE
"","14,000",USA,Greg C. Garland,2012,35.92 Billion USD,PHILLIPS 66
"","52,600",Germany,Carsten Knobel,1876,35.83 Billion USD,HENKEL AG
"","45,268",India,S N Subrahmanyan,1938,35.83 Billion USD,LARSEN & TOUBRO
"","58,300",Japan,Eddy Pirard,1999,35.81 Billion USD,JAPAN TOBACCO
"","90,836",Italy,Andrea Orcel,1998,35.78 Billion USD,UNICREDIT
"","12,000",USA,James Cracchiolo,1894,35.73 Billion USD,AMERIPRISE FINANCIAL
1994,"87,927",Finland,Pekka Lundmark,1865,35.65 Billion USD,NOKIA CORPORATION
2013,"4,506",USA,Peter Gassner,2007,35.59 Billion USD,VEEVA SYSTEMS
2015,"2,540",USA,Shar Dubey,2009,35.46 Billion USD,MATCH GROUP
1997,"17,800",USA,Patrick Kaltenbach,1989,35.45 Billion USD,METTLER-TOLEDO INTERNATIONAL
"","465,000",USA,Rodney McMullen,1883,35.38 Billion USD,KROGER
"","21,000",USA,"James C. Collins, Jr.",2018,35.29 Billion USD,CORTEVA
"","37,125",Sweden,Stefan Widing,1862,35.19 Billion USD,SANDVIK AB
2020,"5,245",USA,John Riccitiello,2004,35.18 Billion USD,UNITY SOFTWARE INC.
"","27,015",Australia,Andy Penn,1975,35.12 Billion USD,TELSTRA CORPORATION
"","11,107",South Korea,Jun Young-hyun,1970,35.11 Billion USD,SAMSUNG SDI
"","105,000",USA,Robert E. Sulentic,1906,35.07 Billion USD,CBRE GROUP
"","232,000",Netherlands,Frans Muller,1887,35.06 Billion USD,AHOLD DELHAIZE
"","24,346",Singapore,Wee Ee Cheong,1935,35.00 Billion USD,UNITED OVERSEAS BANK
"","39,500",Hong Kong,Raymond Kwok,1963,34.96 Billion USD,SUN HUNG KAI PROPERTIES
