founded,founders,headquarters,industry,key_people,name,number_of_employees,operating_income,revenue,services,total_assets,type,website
"['January\xa01, 1980']",['William Greehey'],"['San Antonio', 'Texas', 'United States']",['Oil and gas'],[],Valero Energy Corporation,"['10,015 ', '(January 2018)', '[1]']","[' ', 'US$4.572 billion', ' ', '(2018)', '[1]']","[' ', ' ']",[],"[' ', 'US$50.158 billion', ' ', '(2018)', '[1]']",['Public'],"['www', '.valero', '.com']"
['1947'],[],['Lodz'],['licensing'],[],Se-ma-for,[],[],[],[],[],[],"['www', '.se-ma-for', '.com']"
"['May\xa08,\xa01993', '1997']",[],"['ABS-CBN Broadcasting Center', 'ABS-CBN Broadcasting Center', 'Diliman', 'Quezon City', 'Philippines']","['Broadcast media', 'Television production']",[],Star Cinema,[],[],"['₱', 'FY']",['Film and television post-production'],[],['Subsidiary'],"['starcinema', '.abs-cbn', '.com']"
"['Quezon City', 'Philippines']",['Vicente del Rosario Jr.'],"['Pasig', 'Philippines']",['Motion pictures'],[],Viva Films,[],[],[],[],[],['Subsidiary'],[]
['1937'],[],"['Granada Street', 'New Manila', 'Quezon City', 'Philippines']",['Motion pictures'],[],"Sampaguita Pictures, Inc.",[],[],[],[],[],['Film production'],[]
"['1929', ' (as Arkansas Western Gas Company)']",[],"['Spring, Texas']",['Petroleum industry'],[],Southwestern Energy Company,['938 (2020)'],[],"[' ', ' (2021)']",[],[' US$11.848 billion (2021)'],['Public company'],"['www', '.swn', '.com']"
['1908'],[],['Denver'],['Petroleum industry'],[],SM Energy Company,['506 (2021)'],[],[' $2.622 billion (2021)'],[],[' $5.233 billion (2021)'],['Public company'],"['sm-energy', '.com']"
['U.S.'],[],"['Houston', 'Texas', 'United States']",['Oil and gas'],[],"Shell USA, Inc.","['12,100+ (2021)', '[3]']",[],['US$'],[],[],['Subsidiary'],"['www', '.shell', '.us']"
['2006'],['Tom L. Ward'],"[' ', 'SandRidge Center', 'Oklahoma City', ', ', 'Oklahoma', 'United States']",['Petroleum industry'],[],"SandRidge Energy, Inc.",['101 (2021)'],[],[' $168 million (2021)'],[],[' $352 million (2021)'],['Public company'],"['sandridgeenergy', '.com']"
['1938'],[],"['Quezon City, Metro Manila']",[],[],LVN Pictures,[],[],[],"['Film studio', 'Post-production']",[],['Private'],[]
['1989'],['Orlando R. Ilacad'],"['Quezon City', 'Philippines']","['Theatrical distribution', 'film production', 'marketing']",[],OctoArts Films,[],[],[],[],[],['Subsidiary'],[]
['1989'],[],['Norway'],[],[],SF Norge,[],[],[],[],[],['Film distribution'],[]
['1976'],[],"['Fort Worth, Texas']",['Petroleum industry'],[],Range Resources Corporation,['527 (2021)'],[],"[' ', ' (2021)']",[],[' US$6.660 billion (2021)'],['Public company'],"['rangeresources', '.com']"
['1995'],['Felipe Gozon'],"['GMA Network Center', 'EDSA', 'Timog Avenue', 'Quezon City', 'Philippines']","['Film distribution', 'Film production', 'Television production']",[],GMA Pictures,[],[],[],[],[],['Subsidiary'],"['gmanetwork', '.com', '/films']"
"['November 1, 2001']",[],"['Oslo', 'Norway']",['Entertainment'],[],Storm Studios,[],[],[],[],[],[],[]
['1997'],[],"['Irving, Texas']",['Petroleum industry'],[],Pioneer Natural Resources Company,"['1,932 (2021)']",[],[' $14.643 billion (2021)'],[],[' $36.811 billion (2021)'],['Public company'],"['pxd', '.com']"
"['Calgary', 'Alberta']",[],"['Denver, Colorado']",['Petroleum industry'],[],Ovintiv Inc.,"['1,713 (2021)']",[],"[' ', ' (2021)']",[],[' US$14.055 billion (2021)'],['Public company'],"['www', '.ovintiv', '.com']"
['June\xa01909'],[],"['Houston, Texas']",['Chemical industry'],[],Occidental Petroleum Corporation,"[' 11,618 (', 'Fiscal Year Ended December 31, 2021', ')', '[1]']","[' ', 'US$', '2.790 Billion (', 'Fiscal Year Ended December 31, 2021', ')', '[1]']",['US$'],[],"[' ', 'US$', '75.036 Billion (', 'Fiscal Year Ended December 31, 2021', ')', '[1]']",['Public company'],"['oxy', '.com']"
['1944'],['Charles H. Murphy Sr.'],"['Houston, Texas', 'United States']",['Petroleum industry'],[],Murphy Oil Corporation,['696 (2021)'],[],[' $2.801 billion (2021)'],[],[' $10.305 billion (2021)'],['Public company'],"['www', '.murphyoilcorp', '.com']"
"['1887', ' as ""The Ohio Oil Company""']",[],"['Marathon Oil Tower', 'Houston']",['Petroleum'],[],Marathon Oil Corporation,"['1,672 (2020)']",[],[' $3.086 billion (2020)'],[],[' $17.956 billion (2020)'],['Public company'],['marathonoil.com']
['2006'],['Randy A. Foutch'],"['Tulsa, Oklahoma']",['Petroleum industry'],[],"Laredo Petroleum, Inc.",['257 (2020)'],[],[' $677 million (2020)'],[],[' $1.442 billion (2020)'],['Public company'],"['laredopetro', '.com']"
"['February\xa08, 1940']",['Fred C. Koch'],"['Wichita, Kansas']",['Conglomerate'],[],"Koch Industries, Inc.","['120,000 (2022)', '[4]']",[],['US$'],[],[],['Private'],"['www', '.kochind', '.com']"
"['14 February 1987', ' (as an independent film company)', '17 March 2003', ' (as an incorporated company)']",['Michael Stephens'],['Wellington'],['Motion picture'],[],"WingNut Films, Inc.",[],[],[],[],[],['Public'],[]
['1973'],[],"['Southlake, Texas']",['Petroleum industry'],[],"HKN, Inc.",['18'],[],[' $385 thousand (2016)'],[],[' $11 million (2016)'],['Public company'],"['www', '.hkninc', '.com']"
[],[],[],[],[],New Zealand Film Commission,[],[],[],[],[],['Incentive'],[]
"['Kuala Lumpur', 'Malaysia']",[],"['Bukit Jalil', 'Kuala Lumpur', 'Malaysia']",[],[],KRU Studios,[],[],[],[],[],['Private Limited Company'],"['www', '.krustudios', '.com']"
['2005'],[],['Malaysia'],['Film'],[],Astro Shaw Sdn Bhd,[],[],[],"['Film production, distribution and marketing']",[],['Private Limited Company'],"['www', '.astroshaw', '.com', '.my']"
['Tokyu'],['Keita Goto'],"['Ginza', 'Chūō, Tokyo']","['Film and television', 'Video games']",[],"Toei Company, Ltd.","['343', '(as of March 1, 2019)', '[1]']",[],"['¥ 66,300,000,000', '(as of March 2006)']",['Film and TV distribution and marketing'],[],"['Public', 'KK']","['www', '.toei', '.co', '.jp']"
"['December\xa011, 1919']",['Leon Hess'],"['New York City', 'New York']",['Oil and gas'],[],Hess Corporation,"['1621', '[1]', '\xa0(2020)']","[' −', 'US$', '393', ' million', '[1]', '\xa0(2020)']","[' ', '\xa0(2020)']",[],"[' ', 'US$18.821 billion', '[1]', '\xa0(2020)']",['Public'],"['hess', '.com']"
"['Tokyo', 'Japan']",['Ichizō Kobayashi'],"['Yūrakuchō', 'Chiyoda']","['Motion picture, theatre, television, video games']",[],"Toho Company, Ltd.","['3,305', '[2]']",[],[],"['Film distribution', 'Film production', 'Movie theatres']",[],"['Public', 'KK']","['www', '.toho', '.co', '.jp']"
[],[],"['Midland, Texas']",['Petroleum industry'],[],"Diamondback Energy, Inc.",['870 (2021)'],[],"[' ', ' (2021)']",[],"[' ', 'US$22.898 billion', ' (2021)']",['Public company'],"['www', '.diamondbackenergy', '.com']"
['1888'],['Michael and Obediah Haymaker'],"['EQT Plaza', 'Pittsburgh, Pennsylvania']",['Petroleum industry'],[],EQT Corporation,['693 (Dec. 2021)'],[],"[' ', ' (2020)']",[],[' US$18.113 billion (2020)'],['Public company'],"['www', '.eqt', '.com']"
['1999'],['Mark G. Papa'],"['Heritage Plaza', 'Houston']",['Petroleum industry'],[],"EOG Resources, Inc.","['2,900 (2020)']",[],[' $11.032 billion (2020)'],[],[' $35.804 billion (2020)'],['Public company'],"['www', '.eogresources', '.com']"
['1971'],['J. Larry Nichols'],"['Devon Energy Center', 'Oklahoma City']",['Petroleum industry'],[],Devon Energy Corporation,"['1,600 (2021)']",[],[' $12.206 billion (2021)'],[],[' $21.025 billion (2021)'],['Public company'],"['www', '.devonenergy', '.com']"
[],['Harold Hamm'],['Oklahoma City'],['Petroleum'],[],"Continental Resources, Inc.","['1,254 (2021)']",[],[' $5.719 billion (2021)'],[],[' $18.591 billion (2021)'],['Public company'],"['clr', '.com']"
['1989'],[],"['Houston, Texas']",['Petroleum industry'],[],Coterra Energy Inc.,['936 (2021)'],[],"[' ', ' (2021)']",[],[' US$19.900 billion (2021)'],['Public company'],"['coterra', '.com']"
['1951'],[],"['Plano, Texas']",['Petroleum industry'],[],Denbury Inc.,['716 (2021)'],[],[' $1.258 billion (2021)'],[],[' $1.902 billion (2021)'],['Public company'],"['www', '.denbury', '.com']"
"['30\xa0August 2002', ' (as ConocoPhillips Co.)']",['Frank Phillips'],"['Houston Energy Corridor', 'Houston, Texas']",['Oil and gas'],[],ConocoPhillips Company,"['c.', '\u20099,900', ' (December 2021)']","[' ', 'US$11.16 billion', ' (2021)']","[' ', ' (2021)']",[],"[' ', 'US$90.66 billion', ' (2021)']",['Public'],['conocophillips.com']
"['Tokyo', 'Japan', 'kabuki']","['大谷竹次郎', '白井松次郎']",['Tsukiji'],['Entertainment (Movie)'],[],"Shochiku Co., Ltd.",['1427\xa0(2021)'],[],['5.4 billion Yen\xa0(2021)'],[],[],['Public'],"['www', '.shochiku', '.co', '.jp']"
['1912'],[],['Japan'],"['Television production', 'Film']",[],Nikkatsu,[],[],[],[],[],['Private'],"['www', '.nikkatsu', '.com']"
[],[],[],['Natural gas'],[],CNX Resources Corporation,['441 (2021)'],[],[' $756 million (2021)'],[],[' $8.100 billion (2021)'],['Public company'],"['www', '.cnx', '.com']"
['November 2002'],[],"['1-8-19 Fujimi, Chiyoda-ku, Tokyo 102-8078']",['Film'],[],Kadokawa Daiei Studio,[],[],[],[],[],"['Private', 'KK']","['kd-st', '.co', '.jp']"
"['July\xa01, 2022']",[],"['Houston, Texas']",['Petroleum industry'],[],Chord Energy Corporation,[],[],[],[],[],['Public company'],"['www', '.chordenergy', '.com']"
"['March\xa010, 1969']",['Hidenori Murata'],['Arakawa-ku'],['Japanese animation'],[],"Eiken Co., Ltd.",['50'],[],[],[],"['823,679,000 yen\xa0(December 31, 2020)']",['Kabushiki-gaisha'],[]
"['1999', '(Saba; Horizontal Ventures)']",[],"['Santa Maria', 'California', 'U.S.']","['Petroleum industry', 'Mining']",[],HVI Cat Canyon Inc.,['200'],[],[],[],[],['Privately held company'],"['www', '.greka', '.com']"
"['London, England']",[],"['Shinjuku, Tokyo']","['Film, Anime']",[],Enoki Films,[],[],[],[],[],[],['enoki-films.co.jp']
['1904'],['Gustavo Lombardo'],"['Rome, Italy']",[],[],Titanus,[],[],[],[],[],['Production company'],[]
[],[],"['Los Angeles', 'Houston', 'United States']",['Oil and Gas'],[],Blacksands Pacific,['51-200'],[],[],[],[],['Private'],"['www', '.blacksandspacific', '.com']"
['1989'],"['Aubrey McClendon', 'Tom L. Ward']","['Oklahoma City, Oklahoma', ', U.S.']",['Petroleum industry'],[],Chesapeake Energy Corporation,"['1,300 (2022)']",[],"[' ', ' (2021)']",[],"[' ', 'US$11.009 billion', ' (2021)']",['Public company'],"['chk', '.com']"
['April\xa02014'],[],"['Los Angeles, California']",['Petroleum industry'],[],California Resources Corporation,['970 (2021)'],[],[' $1.889 billion (2021)'],[],[' $3.846 billion (2021)'],['Public company'],"['crc', '.com']"
['1909'],['Clarence Berry'],"['Dallas, TX']",['Petroleum industry'],[],Berry Corporation,"['1,224 (2021)']",[],[' $544 million (2021)'],[],[' $1.456 billion (2021)'],['Public company'],"['bry', '.com']"
['1954'],['Raymond Plank'],"['Post Oak Central', 'Houston, Texas']",['Petroleum industry'],[],APA Corporation,"['2,253 (2021)']","[' ', 'US$1.891 billion', ' (2021)']","[' ', ' (2021)']",[],"[' ', 'US$13.303 billion', ' (2021)']",['Public company'],"['apacorp', '.com']"
['2002'],"['Paul M. Rady', 'Glen C. Warren, Jr.']","['Denver, Colorado']",['Petroleum industry'],[],Antero Resources Corporation,"['519 (December 31, 2021)']",[],"[' ', ' (2021)']",[],[' US$13.896 billion (2021)'],['Public company'],"['www', '.anteroresources', '.com']"
['January\xa01993'],[],"['Pointe-a-Pierre', 'Trinidad and Tobago']",['Oil and gas industry'],[],Petrotrin,"['5,500', '[2]']",[],[],[],['TT$40.5 billion'],['Public'],"['www', '.petrotrin', '.com']"
"['June\xa07, 1938']",['Lázaro Cárdenas'],['Mexico City'],['Oil and gas'],[],Petróleos Mexicanos,"['124,818 (2018)']","[' US$1.965 billion (2019)', '[1]']",[' US$74.394 billion (2019)'],[],"[' US$101.800 billion (2019)', '[1]']",['State-owned enterprise'],"['www', '.pemex', '.com']"
[],[],['Tegucigalpa'],['Oil and gas'],[],Gasolineras Uno,[],[],[],[],[],[],"['www', '.uno-terra', '.com']"
['1994'],[],"['Calgary, Alberta', 'Canada']",['Petroleum'],[],Vermilion Energy Inc.,"['1,053', '[2]']",[],['US$'],[],"['US$', '8.271\xa0billion ', 'dec18', '[1]']",['Public'],"['vermilionenergy', '.com']"
"['August\xa06, 1960']",[],['Havana'],['Oil and gas'],[],Cuba Oil Union,"['24,000 (March 2016)', '[1]']",[],[],[],[],['State'],"['www', '.cupet', '.cu', '/es']"
['1951'],[],"['Calgary', 'Alberta']",['Energy'],[],TC Energy Corporation,"['7,000', '[2]']","[' ', 'CA$', '2.166 Billion (', 'Fiscal Year Ended December 31, 2021', ')', '[1]']",['CA$'],"['Pipeline transport', 'Natural gas storage', 'Electricity generation']","[' ', 'CA$', '104.218 Billion (', 'Fiscal Year Ended December 31, 2021', ')', '[1]']",['Public'],"['www', '.tcenergy', '.com']"
"['October\xa03,\xa01991']",[],"['Vancouver', 'Canada']",['Oil and gas'],[],ShaMaran Petroleum Corp.,[],[],[],[],[],['Public'],"['www', '.shamaranpetroleum', '.com']"
['December\xa01964'],[],"['Fort McMurray', 'Alberta']",['Petroleum'],[],Syncrude Canada Ltd.,"['5,600 ', '(2009)']",[],[],[],[],['Joint Venture'],['syncrude.ca']
['1970'],['Yash Chopra'],['Mumbai'],[],[],Yash Raj Films,[],[],[],[],[],['Privately held company'],[' ']
['1986'],[],"['Mumbai', 'India']",['Motion pictures'],[],Vishesh Films,[],[],[],[],[],[],"['www', '.visheshfilms', '.com']"
['1985'],['Vidhu Vinod Chopra'],"['Mumbai', 'India']",['Motion pictures'],[],Vinod Chopra Films,[],[],[],[],[],['Private Limited Company'],['https://www.vinodchoprafilms.com/']
['1948'],"['Moola Narayana Swamy', 'B. N. Reddy']","['Chennai', 'Tamil Nadu', 'India']",['Motion picture'],[],Vijaya Vauhini Studios,[],[],[],[],[],[],[]
['1996'],"['Ronnie Screwvala', 'Zarina Screwvala']","['Mumbai', 'India']","['Film production', 'film distribution']",[],UTV Motion Pictures,[],[],[],"['Film production, marketing and distribution']",[],['Division'],"['corporate', '.disney', '.in', '/disney-companies', '/studios']"
"['Mumbai', 'Maharashtra', 'India']",[],"['Mumbai', 'Maharashtra', 'India']",['Motion pictures'],[],Trimurti Films Pvt. Ltd.,[],[],[],[],[],[],[]
['1975'],"['Kumar S. Taurani', 'Ramesh S. Taurani']","['Mumbai', 'Maharashtra', 'India']","['Entertainment', 'Music', 'Film production']",[],Tips Industries,[],[],[],"['Music Records label', 'Film Production', 'Film Promotion', 'Film Distribution']",[],['Public'],"['tips', '.in']"
"['2006', ' in Mumbai']",[],"['Mumbai', 'India']",['Film'],[],Viacom18 Studios,[],[],[],[],[],['Subsidiary'],"['www', '.viacom18studios', '.com']"
['1964'],['D. Ramanaidu'],"['Hyderabad', 'Telangana']",['Entertainment'],[],Suresh Productions,[],[],[],"['Film production', 'Film distribution']",[],['Private'],['Suresh Productions']
['22\xa0August\xa01979'],[],"['Calgary', 'Alberta']",['Oil and gas'],[],Suncor Energy Inc.,"['16,922 (2021)', '[3]']",[],['CAN'],[],"['CAN', '$83.739 billion (2021)', '[2]']",['Public'],"['suncor', '.com']"
['Delhi'],['Gulshan Kumar'],"['Noida', 'India']","['Music', 'Entertainment']",[],Super Cassette Industries Private Limited,[],[],[],"['Music record label', 'Film production']",[],['Private'],['TSeries.com']
['2000'],[],"['Calgary', 'Canada', 'Oslo', 'Norway']",['Petroleum industry'],[],Questerre Energy Corporation,"['20 ', '(end 2010)', '[3]']","[' (C$18.3 million) ', '(2010)', '[2]']",['C$'],[],"['C$269.0 million ', '(end 2010)', '[2]']","['Publicly traded', 'corporation']","['www', '.questerre', '.com']"
[],['Surinder Singh'],"['Kolkata', 'West Bengal']",['Entertainment(2001-Present)'],[],Surinder Films,[],[],[],[],[],['Private'],['Surinder Films']
"[""St. John's, Newfoundland and Labrador""]",[],"[""St. John's, Newfoundland and Labrador"", 'Canada']",['Energy'],[],Nalcor Energy,[],"['Can$132 Million ', '(2018)', '[3]']",['Can$'],[],"['Can$19.3 Billion ', '(2018)', '[3]']",['Crown Corporation'],"['www', '.nalcorenergy', '.com']"
['1880'],[],"['Calgary', 'Alberta', 'Canada']",['Petroleum'],[],Imperial Oil Limited,"['5,263 (2012)', '[2]']",[],['CAD'],[],"['$43.170 billion ', 'CAD', ' (2015)', '[2]']",['Public'],['imperialoil.ca']
['1999 by William J McCaffery as  McCaffery Energy Group Inc'],[],['Calgary'],['Oil and gas industry'],[],MEG Energy Corp.,['485 (June 2013)'],[],"['$3,931 million ']",[],"['C$7,866 million ', '(2019)', '[3]', '6%']",['Public'],"['www', '.megenergy', '.com']"
['1924'],['K. C. Irving'],"['Saint John, New Brunswick']",['Oil and petroleum'],[],Irving Oil Ltd.,[],[],[],[],[],['Private'],"['www', '.irvingoil', '.com']"
[],[],"['Calgary', 'Alberta']","['Petroleum and Natural Gas Exploration, Development and Production']",[],Ridgeback Resources Inc.,[],[],[],[],[],['Private company'],"['www', '.ridgeback', '.com']"
"['Calgary', 'Alberta', 'Canada']",[],['Headquarters in Calgary; oil and gas wells throughout western Canada'],['Oil and natural gas'],[],Obsidian Energy Ltd.,"['300 (2017)', '[1]']",[],[],[],[],['Public'],"['www', '.obsidianenergy', '.com']"
[],[],"['Calgary, Alberta', 'Canada']",['Oil & Gas Drilling & Exploration'],[],First Calgary Petroleums Ltd.,"['64 (2008)', '[1]']",[],[],[],[],[],"['www', '.fcpl', '.ca']"
['2005'],[],"['Chennai', 'Tamil Nadu']","['Film, Producer']",[],Studio Green,[],[],[],[],[],['Private'],['http://studiogreen.in']
['2009'],[],"['Toronto', 'Ontario']",['Oil and Gas'],[],Frontera Energy,"['2,506']","[' ', 'US$', ' 1.1 billion ', '(2013)']",['US$'],[],[],['Public'],['www.fronteraenergy.ca']
[],"['Marcel Tremblay', 'John Brussa']","['Calgary, Alberta', 'Canada']",['Oil & Gas Drilling & Exploration'],[],Enerplus Corporation,"['~400', '[2]']",[],['$1.29 billion (2018)'],[],[],['Public'],"['www', '.enerplus', '.com']"
"['April\xa030,\xa01949', '(as Interprovincial Pipe Line Company)']",['Imperial Oil'],"['Calgary', 'Alberta']",['Oil and gas'],[],Enbridge Inc.,"['11,000+']",['C$8.260\xa0billion(2019)'],['C$50.069\xa0billion(2019)'],"['Pipeline transport', 'Oil storage', 'Renewable Energy']","['C$163.269\xa0billion(2019)', '[1]']",['Public'],[' ']
['2001 as Crescent Point Energy Ltd.'],[],['Calgary'],['Oil and gas industry'],[],Crescent Point Energy Corp.,[],[],['CAD$1.7 billion (2020)'],[],[],['Public company'],"['www', '.crescentpointenergy', '.com']"
['2009'],[],"['Calgary', 'Alberta']","['Oil', 'Natural gas']",[],Cenovus Energy Inc.,"['~2,300 (2019)']",[],['CAD'],[],[],['Public'],"['www', '.cenovus', '.com']"
['1956'],[],['Chennai'],"['Entertainment', 'Software']",[],Sivaji Productions,[],[],[],[],[],"['Film production', 'Film distribution']",[]
['1995'],"['Shrikant Mohta', 'Mahendra Soni']",['Kolkata'],[],[],Shree Venkatesh Films,[],[],[],[],[],['Media and Entertainment Company'],['SVF']
['2001'],[],"['Mumbai', 'Maharashtra', 'India']",['Motion picture'],[],Shree Ashtavinayak Cine Vision Ltd,[],[],[],[],[],['Public'],[]
[],[],"['Mumbai, Maharastra']",[],[],Sahara One,[],[],[],[],[],[],[]
['7\xa0November 1973'],[],"['Calgary, Alberta']",['Petroleum industry'],[],Canadian Natural Resources Limited,"['9,709 (2021)']",[],[' $17.491 billion (2020)'],[],[' $75.276 billion (2020)'],['Public company'],"['www', '.cnrl', '.com']"
['1993'],[],['Calgary'],['Petroleum industry'],[],Baytex Energy Corp.,[],[],['C$'],[],"['C$', '2.047\xa0billion dec 2010']",['Public'],"['www', '.baytexenergy', '.com']"
['1996'],[],"['Calgary', 'Alberta']",['Oil and gas'],[],ARC Resources Ltd.,['500 (2021)'],[],['CAD'],[],[],['Public'],"['www', '.arcresources', '.com']"
"['Tullow', 'Ireland']",[],"['London, United Kingdom']",['Oil and gas exploration'],[],Tullow Oil plc,[],"[' $514.5\xa0million (2021)', '[1]']",['$'],[],[],['Public limited company'],"['www', '.tullowoil', '.com']"
[],[],['London'],['Oil and gas industry'],[],Regal Petroleum plc,[],[],[],[],[],['Public limited company'],"['www', '.regalpetroleum', '.com']"
['1947'],['Tarachand Barjatya'],['Mumbai'],['Entertainment'],[],Rajshri Productions,[],[],[],[],[],['Private'],"['www', '.rajshri', '.com']"
['1997'],[],"['Gurgaon', 'India']",[],[],PVR Pictures Limited,[],[],[],[],[],['Subsidiary'],"['www', '.pvrpictures', '.com']"
['1970'],['Ghattamaneni Krishna'],"['Jubilee Hills', 'Hyderabad']",['Entertainment'],[],Padmalaya Studios,[],[],[],"['Film production', 'Film distribution']",[],['Private'],[]
"['Mumbai, Maharashtra']",['Abdul Karim Nadiadwala'],"['Mumbai, Maharashtra', 'India']",['Entertainment'],[],Nadiadwala Grandson Entertainment Pvt. Ltd,[],[],[],[],[],['Private'],"['www', '.nadiadwalagrandson', '.com']"
['Subhash Ghai'],[],"['Mumbai', 'India']",['Entertainment'],[],Mukta Arts Ltd.,[],[],[],[],[],['Public'],['Mukta Arts']
"['Chennai', 'Tamil Nadu']","['Mani Ratnam', 'G. Srinivasan']","['Chennai', 'India']",['Entertainment'],[],Madras Talkies,[],[],[],[],[],['Private'],"['www', '.madrastalkies', '.com']"
"['Chennai', 'Tamil Nadu', 'India']",['Subaskaran Allirajah'],"['Chennai', 'India']",['Entertainment'],[],Lyca Productions,[],[],[],[],[],['Private'],"['www', '.lycaproductions', '.in']"
['1981'],['K.Balachander'],['Chennai'],['Entertainment'],[],Kavithalayaa Productions Private Limited,[],[],[],[],[],"['Film production', 'Film distribution']",[]
['1934'],[],"['London', 'UK']",['Oil'],[],Premier Oil plc,[],"['$455.0 million (2019)', '[1]']",['$'],[],[],['Public'],['www.premier-oil.com']
[],[],['Aberdeen'],['Oil and gas industry'],[],Dana Petroleum,['580'],[],[' (2013)'],[],"['£1.37 billion', ' (2013)', '[1]']",[],"['dana-petroleum', '.com']"
['17\xa0February 1997'],[],['Windsor'],['Utilities'],[],Centrica plc,"['20,000 (2021)', '[2]']","[' £0.948\xa0billion (2021)', '[1]']",['£'],[],"['  £27.086\xa0billion (2021)', '[1]']",['Public limited company'],"['www', '.centrica', '.com']"
['1981'],[],"['Edinburgh', 'Scotland', 'UK']",['Oil and gas'],[],Capricorn Energy PLC,[],"[' $(130.9)\xa0million (2021)', '[1]']",['$'],[],[],['Public limited company'],"['www', '.capricornenergy', '.com']"
"['1991', ' ', '1998', ' ']",['Ministry of Energy'],"['Kyiv', 'Ukraine']",['Oil and gas'],[],Naftogaz of Ukraine,"['68,386 ', '(2018)', '[2]']",[],['€'],"['Pipeline transportation, oil production, gas production, municipal heating']","[' €19.228 billion ', '(2018)', '[2]']",['National joint-stock company'],"[', ']"
['2001'],['Adolf H. Lundin'],"['Stockholm, Sweden']",['Petroleum'],[],Lundin Energy AB,"['448 (end 2020', '[1]', ')']",[],[],[],[],"['Publicly traded', 'Aktiebolag']",['www.lundin-energy.com']
['1987'],[],"['Madrid', 'Spain']",['Petroleum'],[],Repsol S.A.,"['24,134 ', '(2021)', '[1]']","[' €4.372 billion ', '(2021)', '[1]']",[' €52.130 billion '],['Fuel stations'],"[' €56.254 billion ', '(2021)', '[1]']",['Sociedad Anónima'],['www.repsol.com']
"['Madrid', 'Spain']",[],"['Madrid', 'Spain']",['Petroleum'],[],"Compañía Española de Petróleos, S.A.U.","[' 10,119 ', '(2018)', '[2]', ':\u200a69\u200a']","[' €1.218 billion ', '(2018)', '[2]', ':\u200a3\u200a']",[' €24.71 billion '],['Service stations'],"[' €13.16 billion ', '(2018)', '[2]', ':\u200a2\u200a']",['Sociedad Anónima Unipersonal'],"['www', '.cepsa', '.com']"
"['1\xa0October 2005', ' ', '1949', ' ']",[],"['Novi Sad', 'Serbia']",['Petroleum'],[],Naftna Industrija Srbije,"['6,182 ', '(2018)']",[],['€'],['Filling stations'],"[' €3.350 billion ', '(2018)', '[2]']",['Joint-stock company'],"['nis', '.rs']"
['1950'],['Ministry of Oil Industry'],"['Almetyevsk', 'Russia']",['Oil and gas'],[],PJSC Tatneft,"['60,000 (2019)\xa0']","['$3.49\xa0billion', '[1]', '\xa0(2021)']","['$17.2\xa0billion', '\xa0(2021)']",[],"['$20.4\xa0billion', '[1]', '\xa0(2021)']","['Public', 'PJSC']","['www', '.tatneft', '.ru']"
['1977'],[],['Surgut'],['Oil and gas'],[],Surgutneftgas,"['92,935']","['$3.89\xa0billion', '[3]', '\xa0(2016)']","['$20.1\xa0billion', '\xa0(2017)']",[],"['$58.5\xa0billion', '[3]', '\xa0(2016)']","['Public', 'ПАО']","['www', '.surgutneftegas', '.ru', '/en', '/']"
['1994'],[],['Yuzhno-Sakhalinsk'],['Petroleum'],[],Sakhalin Energy,"['2,230', '[2]', '\xa0(2190 (2020))']",[],"['$5.4\xa0billion', '\xa0(2017)']",[],"['$15\xa0billion', '[2]', '\xa0(2016)']",['Private'],['sakhalinenergy.com']
['2005'],[],"['Moscow', 'Russia']",['Oil and gas'],[],Rusneftegaz,[],"[' US$109 million', '[1]', '\xa0(2020)']",['\xa0(2020)'],[],"[' US$1.76 billion', '[1]', '\xa0(2020)']",['Private'],"['rusneftegaz', '.com']"
['2002'],['Mikhail Gutseriyev'],"['Moscow', 'Russia']",['refining'],[],Russneft,"['10,000 (2020)']","['$787\xa0million', '[1]', '\xa0(2021)']","['$3.66\xa0billion', '\xa0(2021)']",[],"['$3.9\xa0billion', '[1]', '\xa0(2021)']",['Public joint stock company'],['http://www.russneft.ru/eng/']
['1940'],['S. S. Vasan'],"['Madras', 'Hollywood']",['Motion pictures'],[],Gemini Studios,[],[],[],[],[],['Limited'],['http://geminiindia.in']
['March\xa02008'],[],"['Mumbai', 'Maharashtra', 'India']",['Motion pictures'],[],Star Studios,[],[],[],[],[],['Subsidiary'],"['www', '.disneystar', '.com', '/about-us', '/movies', '/']"
['1999'],"['Farhan Akhtar', 'Ritesh Sidhwani']","['Mumbai', 'Maharashtra', 'India']",['Motion pictures'],[],Excel Entertainment,[],[],[],"['Film production', 'Film distribution']",[],['Private limited company'],['Excel Entertainment']
"['Mumbai', 'Maharashtra', 'India']",['Arjan Lulla'],"['Mumbai', 'India']",['Media & Entertainment'],[],Eros International Media Ltd,[],[],"[' ', '1000 Crore (', ' 134.94 Million)\xa0(FY 2018)']","['Film production, co-production, acquisition and distribution']",[],['Subsidiary'],['Eros International']
['Bangalore'],['Sandesh Kadur'],"['Bangalore', 'India']",['Film Production'],[],Felis Creations Pvt Ltd,[],[],[],[],[],['Private Company'],"['felis', '.in']"
['February 1988 (as Eskay Video Private Limited)'],[],"['Kolkata', 'West Bengal', 'India']",[],[],Eskay Movies,[],[],[],[],[],['Media and Entertainment Company'],"['eskaymovies', '.com']"
"['Mumbai', 'Maharashtra']",['Yash Johar'],"['Mumbai', 'Maharashtra']",['Entertainment'],[],Dharma Productions Pvt. Ltd.,[],[],[],[],[],[],['dharma-production.com']
