address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
"2-18-8, Sotokanda, Chiyoda-Ku, Tokyo, 101-8621",Japan,Leisure and Arts,$1.7B,Kyoritsu Maintenance Co Ltd,"5,639",$1.5B,81 3 52957777,www.kyoritsugroup.co.jp
"Ndk Daini Ikenohata Bldg., 1-2-23, Ikenohata, Taito-Ku, Tokyo, 110-8706",Japan,Construction,$746.8M,Nippon Densetsu Kogyo Co Ltd,"4,706",$1.5B,81 3 38228811,www.densetsuko.co.jp
"1000 Urban Center Drive, Suite 501, Birmingham, Alabama, 35242",United States of America,Construction,$8.1B,Medical Properties Trust Inc,112,$1.5B,1 205 9693755,medicalpropertiestrust.com
"No.26, Zilian Road, Xinshi District, Tainan, 741",Taiwan,Technology and Communications,$1.3B,Himax Technologies Inc,"2,083",$1.5B,886 6 5050880,www.himax.com.tw
"33 Broadway, Newmarket, Auckland, 1023",New Zealand,Power,$5.2B,Mercury NZ Ltd,"1,335",$1.5B,64 9 3088200,www.mercury.co.nz
"2227 Welbilt Blvd, New Port Richey, Florida, 34655-5130",United States of America,Industrial Goods and Machinery,$3.4B,Welbilt Inc,"4,800",$1.5B,1 727 3757010,www.welbilt.com
"Menara Bank Danamonjl. Hr. Rasuna Said, Blok C No 10kel. Karet, Kec. Setiabudi, Jakarta Selatan, 12920",Indonesia,Financial Services,$1.6B,PT Bank Danamon Indonesia Tbk,"22,447",$1.5B,62 21 80645000,www.danamon.co.id
"L 24 175 Liverpool Street, Sydney, New South Wales, 2000",Australia,Metals and Mining,$4.2B,Evolution Mining Ltd,"2,689",$1.6B,61 2 96962900,evolutionmining.com.au
"Xiamen Xtep Tower, No. 89 Jiayi Road, Guanyinshan, Fujian, 361008",China,Consumer Packaged Goods,$3.3B,Xtep International Holdings Ltd,"8,500",$1.6B,,www.xtep.com.hk
"Rue Joseph Pata, Cognac, 16100",France,Consumer Packaged Goods,$9.5B,Remy Cointreau SA,"1,924",$1.6B,33 1 44134413,www.remy-cointreau.com
"Ayritie 20, Vantaa, 01510",Finland,Construction,$1.3B,Uponor Oyj,"4,326",$1.6B,358 2 0129211,www.uponor.com
"9300 Lee Hwy, Fairfax, Virginia, 22031-6050",United States of America,Technology and Communications,$1.8B,ICF International Inc,"8,000",$1.6B,1 703 9343000,www.icf.com
"No. 1 Guangfeng Industrial Avenue, West District, Zhongshan, Guangdong, 528411",China,Industrial Goods and Machinery,$1.9B,Zhongshan Broad-Ocean Motor Co Ltd,"12,704",$1.6B,86 760 88555306,www.broad-ocean.com
"Fpt Building, Lot B2, Duy Tan Road, Pham Hung Street, Cau Giay District, Hanoi",Vietnam,Technology and Communications,$3.9B,FPT Corp,"41,124",$1.6B,84 4 73007300,www.fpt.com.vn
"19, Yeocheon-Ro 217beon-Gil, Nam-Gu, Ulsan, 44714",South Korea,Chemicals,$1.2B,LOTTE Fine Chemical Co Ltd,810,$1.6B,82 52 2706114,www.lottefinechem.com
"Level 13, Block 4, Plaza Sentrl, Jalan Stesen Sentral 5, Kuala Lumpur, 50470",Malaysia,Power,$791.9M,Malakoff Corporation Bhd,"3,922",$1.6B,60 3 22633388,www.malakoff.com.my
"Costain House, Vanwall Business Park, Maidenhead, SL64UB",United Kingdom,Construction,$142.6M,Costain Group Plc,"3,311",$1.6B,44 1628 842444,www.costain.com
"Moskva, Ul. Mashi Poryvaevoy, 34, Moscow, 107078",Russia,Financial Services,$2.5B,Rosbank PAO,,$1.6B,7 495 7898877,www.rosbank.ru
"12f, Landmark Tower, 2-2-1, Minatomirai, Nishi-Ku, Yokohama-Shi, Kanagawa, 220-8112",Japan,Retailing,$1.2B,Colowide Co Ltd,"5,319",$1.6B,81 45 2745970,www.colowide.co.jp
"3-6-3, Kitano, Niiza-Shi, Saitama, 352-8666",Japan,Technology and Communications,$1.4B,Sanken Electric Co Ltd,"8,101",$1.6B,81 48 4721111,www.sanken-ele.co.jp
"10 Crown Place, London, EC2A4FT",United Kingdom,Financial Services,$2.0B,Close Brothers Group Plc,"3,823",$1.6B,44 20 76553879,www.closebrothers.com
"22 Sylvan Way, Parsippany, New Jersey, 07054-3801",United States of America,Leisure and Arts,$6.4B,Wyndham Hotels & Resorts Inc,"8,000",$1.6B,1 973 7537791,corporate.wyndhamhotels.com
"8 Crosby Dr, Bedford, Massachusetts, 01730-1402",United States of America,Consumer Packaged Goods,$1.3B,iRobot Corp,"1,316",$1.6B,1 781 4303000,www.irobot.com
"6f, No.23, Hsin Hu 3rd Road, Neihu District, Taipei, 114",Taiwan,Consumer Packaged Goods,$334.6M,"Test Rite International Co., Ltd.","4,713",$1.6B,886 2 87915888,www.testritegroup.com
"No. 238, Tianshan Avenue, High-Tech Industrial Development Zone, Shijiazhuang, Hebei, 050035",China,Pharmaceuticals and Healthcare,$7.1B,Shijiazhuang Yiling Pharmaceutical Co Ltd,"15,155",$1.6B,86 311 85901311,www.yiling.cn/en
"5-2-1, Makiminato, Urasoe-Shi, Okinawa, 901-2602",Japan,Power,$450.1M,Okinawa Electric Power Co Inc,"2,806",$1.6B,81 98 8772341,www.okiden.co.jp
"1717 S Boulder Ave, Tulsa, Oklahoma, 74119",United States of America,Metals and Mining,$2.6B,Alliance Resource Partners LP,"2,990",$1.6B,1 918 2957600,www.arlp.com
"The Hayesbery, 1-11 Hayes Road, Rosebery, New South Wales, 2018",Australia,Construction,$25.1B,Goodman Group,"1,100",$1.6B,61 2 92307400,www.goodman.com
"75-1, Hasunuma-Cho, Itabashi-Ku, Tokyo, 174-8580",Japan,Metals and Mining,$1.3B,Topcon Corp,"5,248",$1.6B,81 3 35582536,www.topcon.co.jp
"8f, No.3-1, Yuan Qu Strt,San Chong Li, Nangang Dst., Taipei, 115",Taiwan,Technology and Communications,$675.8M,SerComm Corp,"4,172",$1.6B,886 2 26553988,www.sercomm.com
"No. 592, Linping Avenue, Yuhang Economic Development Zone, Hangzhou, Zhejiang, 311100",China,Consumer Packaged Goods,$4.4B,Hangzhou Robam Appliances Co Ltd,"4,879",$1.6B,86 571 86187810,www.robam.com
"5956 W Las Positas Blvd, Pleasanton, California, 94588-8540",United States of America,Construction,$4.1B,Simpson Manufacturing Co Inc,"3,971",$1.6B,1 925 5609000,www.simpsonmfg.com
"No.123 Park 3rd Avenue, Hsinchu Science-Based Industrial Park, Baoshan, 300",Taiwan,Technology and Communications,$5.0B,Vanguard International Semiconductor Corp,"3,564",$1.6B,886 3 5770355,www.vis.com.tw
"2 Hamra Dr, Adelaide, South Australia, 5950",Australia,Metals and Mining,$6.5B,OZ Minerals Ltd,"1,037",$1.6B,61 8 82296600,www.ozminerals.com
"21823 30th Drive Se, Suite, Bothell, Washington, 98021",United States of America,Pharmaceuticals and Healthcare,$24.2B,Seagen Inc,"2,675",$1.6B,1 425 5274000,www.seagen.com
"1001 Fannin Street, Suite 1500, Houston, Texas, 77002",United States of America,Energy and Utilities,$5.7B,Chord Energy Corporation,255,$1.6B,1 281 4049500,www.chordenergy.com
"Greggs House, Quorum Business Park, Newcastle Upon Tyne, NE128BU",United Kingdom,Retailing,$3.3B,Greggs Plc,"22,883",$1.6B,44 191 2817721,corporate.greggs.co.uk
"4f, 19, Academy-Ro 51beon-Gil, Yeonsu-Gu, Incheon, 22014",South Korea,Pharmaceuticals and Healthcare,$7.7B,Celltrion Healthcare Co Ltd,,$1.6B,82 32 8506400,www.celltrionhealthcare.com
"2795 Cottonwood Parkway, Suite 400, Salt Lake City, Utah, 84121",United States of America,Construction,$20.2B,Extra Space Storage Inc,"4,309",$1.6B,1 801 5625556,www.extraspace.com
"1740 Technology Dr Ste 150, San Jose, California, 95110-1348",United States of America,Technology and Communications,$6.1B,Nutanix Inc,"6,450",$1.6B,1 408 2168360,www.nutanix.com
"1 Rockingham Way, Redhouse Interchange, Adwick-Le-Street, Doncaster, DN67NA",United Kingdom,Retailing,$472.1M,DFS Furniture plc,"5,048",$1.6B,44 1302 330365,www.dfscorporate.co.uk
"Suite 250, 1800 Hughes Landing Blvd, The Woodlands, Texas, 77380",United States of America,Construction,$966.0M,Sterling Infrastructure Inc,"2,900",$1.6B,1 281 2140800,www.strlco.com
"Level 2, 299 Coronation Drive, Milton, Brisbane, Queensland, 4064",Australia,Business and Consumer Services,$4.4B,ALS Ltd,"18,500",$1.6B,61733677900,www.alsglobal.com
"Industriezeile 35, Linz, 4020",Austria,Technology and Communications,$1.3B,Kontron AG,"5,991",$1.6B,43 732 76640,www.snt-systemhaus.at
"1200-10423 101 St Nw, Edmonton, Alberta, T5H0E9",Canada,Power,$4.0B,Capital Power Corp,827,$1.6B,1 780 3925100,www.capitalpower.com
"International Business Gateway Park, Corner Of New Road And 6th Street, Johannesburg, 1685",South Africa,Technology and Communications,$189.3M,Alviva Holdings Ltd,"3,800",$1.6B,27 11 2377000,alvivaholdings.com
"Suite 800, 2445 Technology Forest Boulevard, The Woodlands, Texas, 77381",United States of America,Retailing,$253.1M,Conn's Inc,"4,000",$1.6B,1 936 2305899,www.conns.com
"888 7th Ave, New York, 10106-0001",United States of America,Construction,$4.4B,Vornado Realty Trust,"3,224",$1.6B,1 212 8947000,www.vno.com
"5-8f, Pola Ginza Bldg., 1-7-7, Ginza, Chuo-Ku, Tokyo, 104-0061",Japan,Consumer Packaged Goods,$3.1B,POLA Orbis Holdings Inc,"4,261",$1.6B,81 3 35635517,www.po-holdings.co.jp
"5101 Tennyson Parkway, Plano, Texas, 75024",United States of America,Technology and Communications,$12.7B,Tyler Technologies Inc,"7,176",$1.6B,1 972 7133700,www.tylertech.com
"No.10 Building, Guangqu Home, Dongcheng District, Beijing, 100085",China,Technology and Communications,$2.3B,China TransInfo Technology Co Ltd,"7,090",$1.6B,86 10 50821818,www.ctfo.com
"1-6-21, Sogawa, Toyama-Shi, 930-8583",Japan,Pharmaceuticals and Healthcare,$41.2M,Nichi-Iko Pharmaceutical Co Ltd,"2,656",$1.6B,81 76 4322121,www.nichiiko.co.jp
"22-24f, Huaqiao International Mansion, Section 2, Furong Middle Road, Furong District, Changsha, Hunan, 410002",China,Financial Services,$8.2B,Founder Securities Co Ltd,"6,818",$1.6B,86 731 85832367,www.foundersc.com
"20 Davis Drive, Belmont, California, 94002-3002",United States of America,Technology and Communications,$3.5B,RingCentral Inc,"3,919",$1.6B,1 650 4724100,www.ringcentral.com
"No. 108, Meiliang Road, Mashan, Wuxi, Jiangsu",China,Pharmaceuticals and Healthcare,$37.5B,WuXi Biologics Cayman Inc,"10,593",$1.6B,,www.wuxibiologics.com
"Suite G-350, 3375 Koapaka Street, Honolulu, Hawaii, 96819-1804",United States of America,Transport and Logistics,$626.7M,Hawaiian Holdings Inc,"6,932",$1.6B,1 808 8353700,www.hawaiianairlines.com
"Post Box No. 3000, Hosur Road, Adugodi, Bangalore, 560030",India,Automotive,$6.2B,Bosch Ltd,"6,041",$1.6B,91 80 22220088,www.bosch.in
"600 N Hurstbourne Pkwy Ste 400, Louisville, Kentucky, 40222-5389",United States of America,Leisure and Arts,$8.6B,Churchill Downs Incorporated,"5,000",$1.6B,1 502 6364400,www.churchilldownsincorporated.com
"Core -1, Scope Complex, Lodhi Road, 7 Institutional Area, New Delhi, 110003",India,Metals and Mining,$656.9M,MMTC Ltd,702,$1.6B,91 11 24362200,mmtclimited.com
"15 Changi Business Park Central 1, #06-00, Singapore, 486057",Singapore,Industrial Goods and Machinery,,Excelpoint Technology Ltd,700,$1.6B,65 6 7418966,www.excelpoint.com
"Blekholmstorget 30 E7, Stockholm, 11164",Sweden,Construction,$379.4M,Nobia AB,"6,199",$1.6B,46 8 4401600,www.nobia.com
"Wisma Kossan, Lot 782, Off Batu 3 3/4 Jalan Kapar, Jalan Sungai Putus, Klang, 42100",Malaysia,Industrial Goods and Machinery,$638.7M,Kossan Rubber Industries Berhad,"7,000",$1.6B,60 3 32912657,www.kossan.com
"5th Floor Melbourne House, 44-46 Aldwych, London, WC2B4LL",United Kingdom,Industrial Goods and Machinery,$4.2B,Spectris Plc,"7,788",$1.6B,,www.spectris.com
"No.1 Higashikata-Cho, Tsuzuki-Ku, Yokohama-Shi, Kanagawa, 221-0056",Japan,Technology and Communications,$583.7M,Tokyo Electron Device Ltd,"1,279",$1.6B,81 45 4434000,www.teldevice.co.jp
"150 Peabody Pl, Memphis, Tennessee, 38103",United States of America,Business and Consumer Services,$1.9B,Frontdoor Inc,"2,081",$1.6B,1 901 7015000,www.frontdoorhome.com
"No. 18, Changsheng Road, Changping District, Beijing, 102200",China,Technology and Communications,$6.4B,China National Software & Service Co Ltd,"11,892",$1.6B,86 10 62158879,www.css.com.cn
"14901 South Orange Blossom Trail, Orlando, Florida, 32837",United States of America,Consumer Packaged Goods,$193.0M,Tupperware Brands Corp,"10,000",$1.6B,1 407 8265050,www.tupperwarebrands.com
"210 E Earll Dr, Phoenix, Arizona, 85012-2626",United States of America,Technology and Communications,$4.4B,Cable One Inc,"3,628",$1.6B,1 602 3646000,www.cableone.biz
"No.8 Fenghui South Road, High-Tech Zone, Xi'An, Shaanxi, 710075",China,Industrial Goods and Machinery,$3.3B,Xi'An Shaangu Power Co Ltd,"3,430",$1.6B,86 29 81871035,www.shaangu.com
"Building 2495, Road 2832, P.O. Box 2424, Al Seef, 428",Bahrain,Financial Services,$10.9B,Ahli United Bank BSc,"3,294",$1.6B,973 1 7585858,www.ahliunited.com
"Dusager 4, Aarhus N, 8200",Denmark,Alternative Energy,,Vestas Offshore Wind AS,"3,000",$1.6B,45 88 448900,www.mhivestasoffshore.com
"Corso Di Francia 200, Roma, 00191",Italy,Construction,$1.1B,Cementir Holding NV,"3,104",$1.6B,,www.cementirholding.it
"107, Ihyeon-Ro 30beon-Gil, Giheung-Gu, Yongin, 16924",South Korea,Pharmaceuticals and Healthcare,$654.1M,GC Corp,170,$1.6B,82 31 2609300,www.greencross.com
"Austurhraun 9, Gardabaer, 210",Iceland,Industrial Goods and Machinery,$3.1B,Marel hf,"6,645",$1.6B,354 5 638000,marel.com
"1800 W Ashton Blvd, Lehi, Utah, 84043-5490",United States of America,Alternative Energy,,Vivint Solar Inc,"1,200",$1.6B,1 801 3779111,www.vivintsolar.com
"225 Bush St Ste 1400, San Francisco, California, 94104-4249",United States of America,Alternative Energy,$6.1B,Sunrun Inc,"11,383",$1.6B,1 415 5806900,www.sunrun.com
"170 Industriel Blvd, Boucherville, Quebec, J4B2X3",Canada,Retailing,$1.3B,Uni-Select Inc.,"1,321",$1.6B,1 450 6412440,www.uniselect.com
"Avenue Du Bourget 3, Bruxelles, 1140",Belgium,Technology and Communications,$1.0B,Orange Belgium SA,"1,321",$1.6B,32 2 7457111,www.orange.be
"No. 1, Section 1, Minsheng Road, Banqiao District, New Taipei, 220",Taiwan,Paper and Packaging,$1.0B,Cheng Loong Corp,"9,680",$1.6B,886 2 22225131,www.clc.com.tw
"No. 388, Heping East Road, Shijiazhuang, Hebei, 050015",China,Pharmaceuticals and Healthcare,$1.6B,North China Pharmaceutical Co Ltd,"11,501",$1.6B,86 311 85992839,www.ncpc.com
"2f, Morinaga Plaza Bldg., 5-33-1, Shiba, Minato-Ku, Tokyo, 108-8403",Japan,Consumer Packaged Goods,$1.4B,Morinaga & Co Ltd,"2,937",$1.6B,81 3 34560115,www.morinaga.co.jp
"306-9440 202 St, Langley, British Columbia, V1M4A6",Canada,Construction,$500.0M,ADENTRA Inc,"2,734",$1.6B,1 604 8811982,www.hardwoods-inc.com
"Sulbia Bsde Lnd Cstms Clrng Area Saft, P.O. Box 25418, Safat, 13115",Kuwait,Transport and Logistics,$5.1B,Agility Public Warehousing Co,"5,005",$1.6B,965 1 809222,www.agility.com
"1505 S Pavilion Center Dr, Las Vegas, Nevada, 89135-1403",United States of America,Leisure and Arts,$4.5B,"Red Rock Resorts, Inc.","7,800",$1.6B,1 702 4953000,www.redrockresorts.com
"1-2-26, Tsutsumicho-Dori, Toyama-Shi, 930-8637",Japan,Financial Services,$997.0M,Hokuhoku Financial Group Inc,"4,670",$1.6B,81 76 4237331,www.hokuhoku-fg.co.jp
"Block - 1, Neyveli, Cuddalore, 607801",India,Power,$1.4B,NLC India Ltd,"11,246",$1.6B,91 4142 252205,www.nlcindia.in/new_website/index.htm
"L 6 161 Collins St, Melbourne, Victoria, 3000",Australia,Financial Services,$1.7B,Insignia Financial Ltd,"1,300",$1.6B,61 3 86144400,www.insigniafinancial.com.au
"19003 Ih-10 West, San Antonio, Texas, 78257",United States of America,Energy and Utilities,$1.8B,NuStar Energy LP,"1,267",$1.6B,1 210 9182000,www.nustarenergy.com
"Ryogoku City Core, 2-10-14, Ryogoku, Sumida-Ku, Tokyo, 130-0026",Japan,Paper and Packaging,$96.0M,Mitsubishi Paper Mills Ltd,"3,384",$1.6B,81 3 56001488,www.mpm.co.jp
"Suite 100, 9 Pasteur, Irvine, California, 92618",United States of America,Technology and Communications,,Razer Inc,"1,576",$1.6B,,www.razer.com
"Bagmane Technology Park, Byrasandra, C V Raman Nagar, Bangalore, 560095",India,Technology and Communications,$4.7B,MphasiS Ltd,"14,098",$1.6B,91 80 67504613,www.mphasis.com
"Xinhua Star Tower A, 238 Sanse Road, Jinjiang District, Chengdu, Sichuan, 610063",China,Retailing,$1.5B,Xinhua Winshare Publishing and Media Co Ltd,"7,481",$1.6B,86 28 86361022,www.winshare.com.cn
"Gulab Bhawan, 6a, Bahadur Shah Zafar Marg, New Delhi, 110002",India,Automotive,$549.3M,JK Tyre & Industries Ltd,"5,904",$1.6B,91 11 30179260,www.jktyre.com
"Aleje Jerozolimskie 92, Warszawa, 00-807",Poland,Metals and Mining,$279.0M,Boryszew SA,"9,000",$1.6B,48 22 6586886,www.boryszew.com.pl
"Gustav Mahlerlaan 10, Amsterdam, Noord-Holland, 1082",Netherlands,Financial Services,,ABN AMRO Private Banking,"2,848",$1.6B,31 20 6282400,www.abnamroprivatebanking.com
"2f, Bx Hall, 1-17-3, Nishi-Kata, Bunkyo-Ku, Tokyo, 113-8535",Japan,Construction,$636.2M,Bunka Shutter Co Ltd,"4,794",$1.6B,81 3 58447200,www.bunka-s.co.jp
"Rayon Yesil', Ul. Ye-10, 17/12, Astana, 010000",Kazakhstan,Metals and Mining,$7.9B,Kazatomprom,"21,000",$1.6B,7 717 2458101,www.kazatomprom.kz
"3636 North Central Ave, Ste 1200, Phoenix, Arizona, 85012",United States of America,Construction,$2.3B,Cavco Industries Inc,"6,300",$1.6B,1 602 2566263,www.cavco.com
"3500, 520 - 3rd Avenue S.W., Calgary, Alberta, T2P0R3",Canada,Energy and Utilities,$2.5B,Vermilion Energy Inc,716,$1.6B,1 403 2694884,www.vermilionenergy.com
"P.O. Box 435, Heerenveen, 8440AK",Netherlands,Consumer Packaged Goods,,Accell Group N.V.,"3,763",$1.6B,31 513 638703,www.accell-group.com
"No. 7, Rongda Road, Chaoyang District, Beijing, 100102",China,Technology and Communications,$3.1B,Taiji Computer Corp Ltd,"4,760",$1.6B,86 10 57702596,www.taiji.com.cn
"1500-625 Howe Street, Vancouver, British Columbia, V6C2T6",Canada,Metals and Mining,$3.8B,Pan American Silver Corp,"7,100",$1.6B,1 604 6841175,www.panamericansilver.com
"Suite 3000, 161 Bay Street, Toronto, Ontario, M5J2S1",Canada,Financial Services,$828.7M,Canaccord Genuity Group Inc,"2,615",$1.6B,1 416 8676078,www.cgf.com
"High Cross, Madingley Road, Cambridge, CB30HB",United Kingdom,Technology and Communications,$11.9B,AVEVA Group Plc,"6,319",$1.6B,44 1223 556655,www.aveva.com
"No.999 Meili Road, Huaiyin District, Ji'Nan, Shandong , 250018",China,Consumer Packaged Goods,$2.2B,Joyoung Co Ltd,"2,915",$1.6B,86 571 81639093,www.joyoung.com
"Birger Jarlsgatan 43, Box 5112, Stockholm, 10243",Sweden,Industrial Goods and Machinery,$4.1B,Addtech AB,"3,805",$1.6B,46 8 4704900,www.addtech.com
"One Lands' End Ln, Dodgeville, Wisconsin, 53595",United States of America,Retailing,$265.0M,Lands' End Inc,"5,000",$1.6B,1 608 9359341,www.landsend.com
"Airlines House, 113 Gurudwara Rakabganj Road, New Delhi, 110001",India,Transport and Logistics,,Air India Ltd,,$1.6B,91 11 24624074,www.airindia.in
"6-28, Rokuban-Cho, Chiyoda-Ku, Tokyo, 102-8465",Japan,Construction,$869.4M,Sumitomo Osaka Cement Co Ltd,"3,068",$1.6B,81 3 52114500,www.soc.co.jp
"So 72 Pho Tran Hung Dao, Phuong Tran Hung Dao, Quan Hoan Kiem, Hanoi",Vietnam,Financial Services,$1.5B,Baoviet Holdings,"5,180",$1.6B,84 4 39289898,www.baoviet.com.vn
"Suite 300, 3220 Tillman Drive, Bensalem, Pennsylvania, 19020",United States of America,Business and Consumer Services,$992.8M,Healthcare Services Group Inc,"39,200",$1.6B,1 215 9381661,www.hcsgcorp.com
"305, Jongga-Ro, Jung-Gu, Ulsan, 44538",South Korea,Energy and Utilities,,Korea National Oil Corp,,$1.6B,82 52 2162114,www.knoc.co.kr
"Suite 900, 40 Pacifica, Irvine, California, 92618",United States of America,Construction,,CoreLogic Inc,"5,300",$1.6B,1 866 8733651,www.corelogic.com
"Graha Cimb Niaga, Jl. Jend. Sudirman Kav. 58, Jakarta, 12190",Indonesia,Financial Services,$1.9B,PT Bank CIMB Niaga Tbk,"10,786",$1.6B,62 25 05252,www.cimbniaga.com
"555 Broadway, New York, 10012-3919",United States of America,Media,$1.4B,Scholastic Corp,"5,160",$1.6B,1 212 3436100,www.scholastic.com
"2 Nd Floor Muthootchambers, Opp Saritha, Kochi, 682018",India,Financial Services,$5.2B,Muthoot Finance Ltd,"26,716",$1.6B,91 484 2394712,www.muthootfinance.com
"Level 1, 555 Coronation Drive, Toowong, Queensland, 4066",Australia,Technology and Communications,$723.7M,Data#3 Ltd,"1,378",$1.6B,61 3 00232823,www.data3.com
"89 Avenue Charles De Gaulle, Neuilly-Sur-Seine, 92200",France,Media,$2.1B,Metropole Television SA,"2,240",$1.6B,33 1 41926666,www.groupem6.fr
"Room 03-07, 30th Floor, Shanghai Mart, 2299 Yanan Road West, 200062",China,Automotive,$338.2M,Xingda International Holdings Limited,"8,000",$1.7B,,www.xingda.com.cn
"Tokyo Fujimi Bldg., 1-11-2, Fujimi, Chiyoda-Ku, 100-0005",Japan,Chemicals,$1.5B,Nippon Kayaku Co Ltd,"5,703",$1.6B,81 3 67315200,www.nipponkayaku.co.jp
"Level 15, 133 Castlereagh Street, Sydney, New South Wales, 2000",Australia,Construction,,GHD Group Pty Ltd,"10,000",$1.6B,61 2923 97100,www.ghd.com
"968 James St, Syracuse, New York, 13203-2503",United States of America,Leisure and Arts,$116.7M,Carrols Restaurant Group Inc,"25,500",$1.7B,1 315 4240513,www.carrols.com
"Business Central Towers, 2302 A, Ofc 5, Sheikh Zayed Road, P.O. Box 95946 Dubai Media City",United Arab Emirates,Transport and Logistics,$1.4B,Aramex,"18,000",$1.7B,971 4 2833944,www.aramex.com
"10 Avenue de la Ballastiere, Libourne, 33500",France,Pharmaceuticals and Healthcare,,Ceva Sante Animale SA,"6,300",$1.7B,33 5 57554040,www.ceva.com
"Klarabergsviadukten 70, Section C6, Box 13089, Stockholm, 10302",Sweden,Automotive,,Veoneer Inc,"7,099",$1.7B,46 8 52776200,www.veoneer.com
"18 F, China Minmetals Tower, 79 Chatham Road South, Tsimshatsui, Kowloon, Hong Kong",Hong Kong,Construction,$235.5M,Minmetals Land Ltd,"1,180",$1.7B,852  26136363,www.minmetalsland.com
"Schlossplatz 1, Bad Neustadt An Der Saale, 97616",Germany,Pharmaceuticals and Healthcare,$1.1B,Rhon-Klinikum AG,"18,137",$1.7B,49 9 771650,www.rhoen-klinikum-ag.com
"5-21-3, Sendagaya, Shibuya-Ku, Tokyo, 151-0051",Japan,Medical Equipment,$1.1B,BML Inc,"4,290",$1.7B,81 3 33500111,www.bml.co.jp
"Velikiy Novgorod, 173012",Russia,Chemicals,$10.7B,Acron,"11,205",$1.7B,7 816 2996555,www.acron.ru
"Einsteinstrasse 172, Muenchen, 81677",Germany,Technology and Communications,$2.6B,Siltronic AG,"4,300",$1.7B,49 89 85643000,www.siltronic.com
"9255 Coverdale Road, Fort Wayne, Indiana, 46809",United States of America,Industrial Goods and Machinery,$3.9B,Franklin Electric Co Inc,"6,400",$1.7B,1 260 8242900,franklin-electric.com
"430 Airport Rd, Greeneville, Tennessee, 37745",United States of America,Transport and Logistics,$2.7B,Forward Air Corp,"4,035",$1.7B,1 423 6367000,www.forwardair.com
"Pirojshanagar, Eastern Express Highway, Vikhroli, Mumbai, 400079",India,Consumer Packaged Goods,$11.6B,Godrej Consumer Products Ltd,"2,601",$1.7B,91 22 25188010,www.godrejcp.com
"Big Wing, 591-1, Miyata-Cho, Hikone-Shi, Shiga, 522-8588",Japan,Industrial Goods and Machinery,$2.0B,Fujitec Co Ltd,"10,683",$1.7B,81 749 307111,www.fujitec.co.jp
"B D S Marg, Chakala, Off Western Express Highway, Andheri (E), Mumbai, 400099",India,Pharmaceuticals and Healthcare,$1.4B,Glenmark Pharmaceuticals Ltd,"15,415",$1.7B,91 22 40189999,glenmarkpharma.com
"Ste. 1500, 5400 Lbj Freeway, Dallas, Texas, 75240",United States of America,Energy and Utilities,$7.0B,Matador Resources Co,286,$1.7B,1 972 3715200,www.matadorresources.com
"Brindavan, Plot No. 177, C.S.T Road Kalina, Santacruz (East), Mumbai, Maharashtra, 400098",India,Financial Services,$2.9B,L&T Finance Holdings Ltd,"24,643",$1.7B,91 22 62125553,www.ltfs.com
"30 St.Clair Avenue West, 17th Floor, Toronto, Ontario, M4V3A1",Canada,Power,$7.1B,Northland Power Inc,"1,186",$1.7B,1 647 2881438,www.northlandpower.com/Default.aspx
"23, Academy-Ro, Yeonsu-Gu, Incheon, 22014",South Korea,Pharmaceuticals and Healthcare,$19.4B,Celltrion Inc,"1,074",$1.7B,82 2 16618722,www.celltrion.com
"R Fortunato Ferraz, 1001 1141, Vila Anastacio, Sao Paulo, 05.425-070",Brazil,Consumer Packaged Goods,$631.0M,Camil Alimentos SA,"7,000",$1.7B,55 11 30399200,www.camil.com.br
"Mall Of Asia Complex Annex Building, Coral Way Cor. J.W. Diokno Blvd., Brgy. 76, Zone 10, Cbp-1a, Pasay, 1300",Philippines,Construction,$20.1B,SM Prime Holdings Inc,"8,141",$1.7B,63 2 8311000,www.smprime.com
"1-12-3, Kasuga, Nishi-ku, Kumamoto-Shi, 860-0047",Japan,Financial Services,$1.7B,Kyushu Financial Group Inc,"4,596",$1.7B,81 96 3265588,www.kyushu-fg.co.jp
"Victoria Place, 5th Floor, 31 Victoria Street, Hamilton, HM10",Bermuda,Transport and Logistics,$4.2B,Triton International Ltd,237,$1.7B,1 441 2948033,www.tritoninternational.com
"266 - 268 Nam Ky Khoi Nghia, Phuong Vo Thi Sau, Quan 3, Ho Chi Minh",Vietnam,Financial Services,$2.2B,Saigon Thuong Tin Commercial Joint Stock Bank,"18,380",$1.7B,84 8 39320420,www.sacombank.com
"380 Polaris Parkway, Westerville, Ohio, 43082",United States of America,Consumer Packaged Goods,$5.3B,Lancaster Colony Corp,"3,200",$1.7B,1 614 2247141,www.lancastercolony.com
"24f, Jp Tower, 2-7-2, Marunouchi, Chiyoda-Ku, Tokyo, 100-7024",Japan,Technology and Communications,$2.3B,Net One Systems Co Ltd,"2,703",$1.7B,81 3 62560600,www.netone.co.jp
"436 7th Ave, Pittsburgh, Pennsylvania, 15219-1826",United States of America,Chemicals,$661.6M,Koppers Holdings Inc,"2,088",$1.7B,1 412 2272001,www.koppers.com
"Av. Abramo Randon, 770, Interlagos, Caxias Do Sul, 95.055-010",Brazil,Automotive,$493.6M,Randon SA Implementos e Participacoes,"6,413",$1.7B,55 54 32092000,www.randon.com.br
