country,employees_number_2017,employees_number_2020,founding_year,name,revenue_2017_EU,revenue_2020_EU,sector
Germany,5,15,2013,halsdorfer + ingenieure projekt,11207566,31038460,Property
France,9,23,2015,OPNA,838200,2317903,Support Services
Spain,25,39,2010,Stikets,3372820,9318626,Ecommerce
Italy,18,18,1994,CampuStore,12479120,34410600,Education
Croatia,14,27,2013,Ars Futura,574487,1580154,Technology
Italy,64,116,2015,Cemir Security,1028730,2835330,Support Services
Czech Republic,40,60,2009,Borgy CZ,8362568,22419033,Personal & Household Goods
France,190,600,2007,Groupe Zephyr,5908517,16264645,Health
France,25,57,2015,Dernier Cri,1438184,3956061,Technology
Germany,10,37,2016,yes!devs,800000,2200000,Technology
Germany,19,36,2009,Hydroflex Group,4788000,13166000,Retail
Italy,7,31,2016,Proteko Service,2003540,5502450,Support Services
Hungary,26,26,2012,MiniCRM,944107,2232347,Technology
Italy,13,39,2001,CNQ Consorzio Nazionale Qualità,783460,2151050,Waste management & recycling
Czech Republic,n/a,n/a,2010,Accolade,31477723,83981636,Property
Spain,9,27,2009,Panel Sandwich,3517519,9637845,Construction
France,28,32,1991,SYMBIOSE Informatique,12074454,33080096,Technology
Italy,24,51,2012,G.Engineering,6024830,16504780,Industrial Goods
France,50,200,2011,I-PARTICULIERS,1488875,4071600,Property
Germany,25,48,2012,Henco,2550263,6970679,Retail
Italy,25,53,2007,Giglio.com,9283620,25355630,Ecommerce
Sweden,5,16,2013,Alphaspel,1699234,4535769,Retail
Lithuania,14,24,2014,Sapiegos Klinika,579436,1578677,Health
UK,9,25,2010,OpenCorporates,1010498,2730677,Technology
France,22,49,2012,BE CLOUD,3811605,10371094,Support Services
Poland,60,130,2014,Drukarnia piga.pl,1632988,4064038,Ecommerce
France,84,227,2010,groupe mister menuiserie,25003047,68009314,Ecommerce
Germany,51,79,1999,Insetto,2210651,6010130,Retail
Portugal,9,13,2005,Technophage,823381,2237180,Pharmaceuticals
France,25,68,2008,skalis portage salarial,2287420,6202068,Support Services
Germany,5,11,2016,peoplegrapher,1314806,3561298,Advertising
Italy,2,4,2016,Reveg Fruit,870070,2356570,Food & Beverage
Bulgaria,39,79,2016,Sciant,1178653,3192139,Technology
Germany,50,130,2012,Boender & Beutel,5376347,14550131,Industrial Goods
France,419,456,2003,EKINOPS,34291000,92800000,Telecoms
Portugal,12,13,1938,Sano-Técnica,1838120,4972658,Health
Germany,16,24,2013,möbelando,6170577,16692390,Retail
Italy,12,37,2011,Democom,1238210,3347950,Telecoms
Italy,3,11,2009,Erbagil,1490280,4021010,Pharmaceuticals
Finland,9,32,2014,Axopar Boats,29247774,78765693,Travel & Leisure
Italy,11,54,2012,Advanced Composites Solutions,2006100,5393690,Automobiles
Italy,12,34,2000,Spartivento Yachts & Charter,1932580,5194630,Travel & Leisure
Poland,39,64,2014,Seargin,7576080,18624755,Technology
Germany,28,32,2009,TTP HOLDING,13997000,37607000,Support Services
Sweden,5,14,2011,Sweef furniture,3620585,9506903,Retail
Hungary,5,10,2008,SONIC Tanácsadó és Szolgáltató Kft,2009719,4646080,Technology
Belgium,30,71,2014,spotit,7606472,20387729,Cyber Security
France,11,27,2016,LABEL EXPERIENCE,655366,1756470,Financial Services
Italy,2,724,2015,LMM Logistics,5268390,14113040,Transport
Spain,15,35,2008,Medicalfit,888395,2378517,Health
Italy,23,26,2017,Nuova MG,794770,2126840,Industrial Goods
France,7,30,2016,innov and co handicap,702609,1879824,Technology
France,33,31,2003,Alma Entreprise,5023015,13438347,Construction
Italy,8,15,2016,Radit,703190,1879520,Support Services
France,80,220,2013,REGIONAL EXPRESS,8552857,22841800,Transport
France,26,59,2004,Aravati,2500644,6671500,Support Services
Germany,4,7,2013,Pöhner Hamburg,5851000,15603000,Retail
Germany,18,21,2010,Schreinerei Huber,986286,2629044,Construction
France,12,12,1996,ISR,1741112,4637943,Technology
Germany,2,5,2008,Kinga Mathe,676431,1800494,Retail
Lithuania,20,24,1992,Rivile,1467195,3905042,Technology
France,8,20,2016,MaGarantie5ans,3477788,9253546,Retail
France,36,98,2012,BEBEBOUTIK,10944325,29080296,Retail
Austria,88,122,2011,Radar Cyber Security,4794822,12727043,Technology
France,49,121,2004,CLAIR GROUP,14683064,38960985,Aerospace & Defence
Germany,105,221,2009,Appsfactory,6801966,18044631,Technology
UK,142,250,2010,Stiltz Homelifts,14051407,36960953,Interiors
Romania,48,105,2012,Star Stone,1729707,4409476,Construction
UK,10,22,2016,Coptrz,2395445,6297471,Aerospace & Defence
UK,15,35,2014,Nurole,1236098,3249493,Technology
Germany,10,15,2016,ABAO Energy,910386,2406917,Construction
Italy,16,32,2011,Welol Next,1017320,2685440,Technology
UK,22,75,2010,Intent HQ,2199126,5762891,Technology
France,14,20,2009,Café du Cycliste,2826571,7445865,Ecommerce
Germany,5,8,2016,LANGER Lüftungs- und Klimaanlagen,1749794,4609256,Construction
France,60,130,2010,Formind,6398583,16845354,Cyber Security
France,4,20,2010,Oasis Smart SIM Europe**,1167000,3065165,Telecoms
Italy,9,13,2013,Aferetica,2429230,6376910,Health
Italy,15,37,2014,Zero,16000000,42000000,Energy
France,20,70,2011,SKILLS,4443710,11650138,Support Services
Italy,1,22,2015,3E Studio,1071090,2804580,Support Services
Slovakia,1,5,2013,Pannonia Steel,675645,1768886,Construction
Italy,15,21,2009,Kronos,9009270,23579000,Fashion
Italy,11,22,2007,LaSaponaria,2409730,6304690,Beauty
Germany,50,95,2013,Die Wuhlewanderer,1900000,4970000,Health
Sweden,26,27,2007,IMINT Vidhance,1897113,4851538,Technology
Italy,18,47,2016,Arte e Passione,639410,1671730,Restaurants
France,29,87,2011,PAUL MARIUS,9515000,24869602,Retail
Bulgaria,330,730,2012,Scalefocus,12686177,33137857,Technology
Germany,7,16,2014,Whiskyzone,4117340,10750866,Retail
Italy,63,113,2002,Targa Telematics,14327610,37386150,Technology
UK,23,50,2003,SIAN Wholesale Ltd,28939861,74719260,Transport
Sweden,54,104,2002,Visage Technologies,2233448,5677639,Technology
Lithuania,1,1,2016,Riotloc,596906,1551468,Games industry
UK,31,34,2003,BullionVault,6278456,16196046,Precious metals
Spain,9,23,2000,3A Antioxidants,2968892,7704000,Chemicals & Pharmaceuticals
Germany,3,6,2016,on Metall,997518,2587718,Industrial Goods
The Netherlands,22,39,2012,Scribbr,3417536,8862818,Education
France,500,1000,2007,Selectra,24320734,62951353,Energy
Italy,7,13,2010,Energetic,661860,1711470,Energy
France,7,9,2007,Faveod,1005658,2598585,Support Services
Spain,5,15,2013,CYE Energia,9161867,23673728,Energy
Finland,33,105,2008,Integrata Oy,3647000,9409000,Financial Services
Germany,15,25,2010,Regular Trade,4526000,11671000,Retail
Hungary,6,15,2011,Expleo,900686,2696785,Energy
Italy,21,21,2015,Confezioni Velvet,1302640,3355870,Fashion
Germany,12,10,1998,Activ Bilanz,6712146,17286985,Property
Italy,5,12,2011,Family Nation,2059190,5300370,Ecommerce
Greece,13,19,1994,Majar – Matzaridis Bros,5144442,13224865,Technology
Spain,431,791,1996,Izertis,19753150,50740841,Technology
Italy,1,5,2016,Fashion Commerce,916000,2349000,Ecommerce
UK,41,105,2009,Bulk Tainer Logistics Limited,21717432,56054130,Transport
Italy,12,22,2016,Wingeco,1332330,3407310,Industrial Goods
Poland,12,25,2021,Meblobranie.pl,6909799,19295429,Ecommerce
Spain,39,67,1898,Queraltó,8575344,21900903,Ecommerce
Slovakia,8,12,1993,Phobos,1382844,3529454,Automobiles
Italy,13,5,2013,Archita Engineering,1074130,2739230,Support Services
Spain,10,27,2006,Celeritas,22805398,58139933,Transport
Germany,15,45,2014,peopleForecast,818658,2086411,Technology
Italy,41,12,2014,Digitalpa,679440,1731340,Management Consulting
Germany,100,150,2003,Faktenkontor,12153143,30967000,Advertising
France,13,53,2012,CLAREO,7399729,18854708,Retail
Italy,5,5,2013,Laca Trade,9717860,24741510,Property
